source	target
Q15843	Q9Y4K3
Q15843	Q01844
Q15843	Q15942
Q8ND90	O14964
Q8ND90	O14530
P04629	P0CG48
P04629	Q14576
P04629	O94776
P62993	Q8IZ63
P62993	P0CG48
P62993	Q15427
P62993	Q14203
P62993	Q99816
P62993	O14964
P62993	Q15750
P62993	Q9UKT9
P62993	Q6P1W5
P62993	Q08379
Q15942	Q96IJ6
P04439	Q9Y287
P04439	P0CG48
P43405	Q16633
P43405	P0CG48
Q16633	P32780
Q16633	Q8IUQ4
Q16633	P46531
Q16633	Q15796
Q16633	P23769
Q16633	P14859
Q16633	P78347
Q16633	Q06124
Q99816	P0CG48
Q99816	Q8N6Y0
Q01844	Q14576
P0C7X2	Q96IJ6
P0C7X2	Q13137
Q9UPY8	Q14203
Q9UPY8	Q8IUQ4
P63172	Q14203
P63172	P51808
P63172	P02545
Q15427	P16333
Q86X19	Q9Y287
Q86X19	O14964
Q96FN5	Q9H3L0
Q96FN5	P02545
Q96FN5	P01106
Q13137	Q9Y6K9
Q13137	Q6IQ23
Q13137	O95166
Q13137	P01106
P10415	Q9Y287
P10415	Q9Y6K9
Q06124	Q08379
O95166	Q96IJ6
Q14576	P29474
Q14576	Q9BQ95
Q14576	Q16543
Q14576	O75381
P78347	P0CG48
Q9UKT9	Q08379
Q9UKT9	P0CG48
O95777	Q96IJ6
O95777	O94776
O14770	Q6P1W5
P16333	Q96IJ6
Q8NE31	P0C7W6
Q8NE31	Q5JR59
Q5JR59	Q9H788
P05067	Q9Y287
P05067	Q9Y4K3
Q8IWV7	Q9Y287
Q8IWV7	P0CG48
P02545	P51617
P02545	Q9Y287
O14530	P0C7W6
Q16543	Q9Y6K9
Q9Y4K3	Q9Y6K9
Q9Y4K3	P49116
Q9Y4K3	Q9BQ95
O94776	Q13547
P43355	Q13547
Q6P1W5	Q9H3L0
Q6P1W5	O14964
Q6P1W5	Q8N9W6
P51617	Q9Y6K9
P51617	Q8IWL3
Q9Y6K9	Q9NYJ8
Q9Y6K9	Q15750
Q9Y6K9	P0CG48
Q9Y6K9	P19838
Q9Y6K9	P01106
P0C7W6	P42566
P0C7W6	Q9H788
P49116	Q13547
Q8N6Y0	O14964
Q8N6Y0	Q9H788
Q01850	Q96IJ6
Q01850	O14964
Q15796	P0CG48
P32780	P0CG48
Q13547	O75381
Q13547	P14859
Q13547	P01106
Q7Z4H7	Q14203
P42566	P0CG48
Q8IWL3	Q9Y287
P0CG48	P46531
P0CG48	P01106
P0CG48	Q13618
P0CG48	P34925
Q96IJ6	Q13618
Q96IJ6	P19838
Q08379	P29474
Q08379	P23769
Q9Y287	Q6IQ23
Q9Y287	P34925
