gene	n_methods
Q05639	6
P68104	6
P78371	6
Q9H000	6
P40227	6
Q9UKT9	6
Q15843	6
Q13137	6
Q5D1E8	6
P10398	6
P17987	6
O95990	6
P04259	6
Q9BQ66	6
P09914	6
O43513	6
P50990	6
Q16543	6
Q5JR59	6
Q99750	6
Q12926	6
P26641	6
P19419	6
Q9NX70	6
Q8IUH3	6
Q14576	6
Q02750	6
O00458	6
O14807	6
P00846	6
Q7RTU7	6
Q68DY1	6
O43557	6
O95273	6
O15162	6
Q8WXF8	6
Q96S65	6
P24863	6
Q8N5R6	6
Q9ULK4	6
Q01850	6
Q9Y6K9	6
P49368	6
Q8ND90	6
Q9BRK4	6
Q9BUZ4	6
Q9NVC6	6
P50991	6
Q08379	6
Q12933	6
Q8NHQ1	6
P05141	6
Q96G25	6
Q7L4P6	6
Q9NQZ6	6
Q9BWG6	6
Q53RE8	6
Q14289	5
P41240	5
Q13432	5
Q8NEY4	5
P0CG48	5
P16152	5
Q96B97	5
Q06609	5
O14654	5
Q13617	5
Q16864	5
P51610	5
Q9BYM8	5
Q01844	5
P02511	5
Q8NF91	5
P69892	5
Q9NXF8	5
O00459	5
O15503	5
O75909	5
O43559	5
Q9NRW1	5
Q8TC12	5
Q9NWS9	5
P24666	5
P14555	5
O75828	5
Q99731	5
Q96IT1	5
P07437	5
P02545	5
P01100	5
Q9Y6H6	5
Q96F46	5
Q5VSY0	5
Q8WVX3	5
P21673	5
O95989	5
Q86VW0	5
O43865	5
O14964	5
Q13162	5
Q6NSJ2	5
Q5VTL8	5
Q86SE5	5
Q969F0	5
O95251	5
P98066	5
Q14525	5
P35372	5
Q08380	5
Q12893	5
Q5T7M9	5
Q16774	5
Q9H0U9	5
Q99541	5
O43739	5
O14770	5
P36382	5
Q9GZV8	5
Q9UPY8	5
P30536	5
Q6UWN8	5
O95295	5
P31260	5
P40616	5
P49458	5
Q92478	5
P57105	5
Q9HD23	5
Q9H3M7	5
Q5SW96	5
Q4J6C6	5
Q6ZP80	5
Q7L8A9	5
Q96BA8	5
P05114	5
Q8N682	5
Q16621	5
P29992	5
P25101	5
Q6NXP0	5
P56378	5
O14734	5
P13164	5
P0DPB5	5
P19652	5
Q9Y4P9	5
P14210	5
P48201	5
O43805	5
Q15661	5
Q68G74	5
P14770	5
O00585	5
Q9H813	5
P15328	5
Q14512	5
P34903	5
Q9NS71	5
P06028	5
P55072	5
Q04917	5
P62258	5
P61981	5
