ensembl_id,symbol,Advanced Clinical,Approved Drug,Druggable Family,High-Quality Ligand,High-Quality Pocket,Med-Quality Pocket,Phase 1 Clinical,Structure with Ligand,uniprot_id,druggability_rank
ENSG00000100300,TSPO,False,True,True,True,False,False,False,False,P30536,1
ENSG00000112038,OPRM1,False,True,True,True,False,False,False,True,P35372,1
ENSG00000151617,EDNRA,False,True,True,True,False,False,False,True,P25101,1
ENSG00000091831,ESR1,False,True,True,True,True,False,False,True,P03372,1
ENSG00000011677,GABRA3,False,True,True,True,False,False,False,True,P34903,1
ENSG00000169032,MAP2K1,False,True,True,True,True,False,False,True,Q02750,1
ENSG00000196230,TUBB,False,True,True,True,False,False,False,True,P07437,1
ENSG00000101210,EEF1A2,True,False,False,False,False,False,False,False,Q05639,2
ENSG00000120899,PTK2B,True,False,True,True,True,False,False,True,Q14289,2
ENSG00000004487,KDM1A,True,False,True,True,True,False,False,True,O60341,2
ENSG00000096384,HSP90AB1,True,False,True,True,True,False,False,True,P08238,2
ENSG00000105647,PIK3R2,True,False,False,True,False,False,False,False,O00459,2
ENSG00000141510,TP53,True,False,True,True,False,True,False,True,P04637,2
ENSG00000188257,PLA2G2A,True,False,True,True,True,False,False,True,P14555,2
ENSG00000078061,ARAF,True,False,True,True,False,False,False,True,P10398,2
ENSG00000080824,HSP90AA1,True,False,True,True,True,False,False,True,P07900,2
ENSG00000170345,FOS,False,False,True,True,False,False,False,False,P01100,4
ENSG00000143727,ACP1,False,False,True,True,False,False,False,True,P24666,4
ENSG00000090061,CCNK,False,False,False,True,False,False,False,True,O75909,4
ENSG00000130066,SAT1,False,False,False,True,True,False,False,True,P21673,4
ENSG00000109846,CRYAB,False,False,False,True,False,False,False,True,P02511,4
ENSG00000182944,EWSR1,False,False,False,True,False,False,False,False,Q01844,4
ENSG00000168710,AHCYL1,False,False,False,True,False,True,False,True,O43865,4
ENSG00000110195,FOLR1,False,False,False,True,False,False,False,True,P15328,4
ENSG00000051180,RAD51,False,False,True,True,False,False,False,True,Q06609,4
ENSG00000159228,CBR1,False,False,True,True,True,False,False,True,P16152,4
ENSG00000172236,TPSAB1,False,False,True,True,True,False,False,True,Q15661,4
ENSG00000165280,VCP,False,False,True,True,True,False,False,True,P55072,4
ENSG00000088256,GNA11,False,False,False,True,False,False,False,True,P29992,4
ENSG00000117450,PRDX1,False,False,False,True,False,True,False,True,Q06830,4
ENSG00000162961,DPY30,False,False,False,True,False,False,False,True,Q9C005,4
ENSG00000103653,CSK,False,False,True,True,True,False,False,True,P41240,4
ENSG00000161405,IKZF3,False,False,False,True,False,False,False,False,Q9UKT9,4
ENSG00000196361,ELAVL3,False,False,False,True,False,False,False,False,Q14576,4
ENSG00000112237,CCNC,False,False,False,True,False,False,False,True,P24863,4
ENSG00000269335,IKBKG,False,False,True,True,False,False,False,True,Q9Y6K9,4
ENSG00000112282,MED23,False,False,False,True,False,False,False,True,Q9ULK4,4
ENSG00000117984,CTSD,False,False,True,True,True,False,False,True,P07339,4
ENSG00000003402,CFLAR,False,False,False,False,False,False,False,True,O15519,5
ENSG00000120910,PPP3CC,False,False,False,False,False,False,False,True,P48454,5
ENSG00000019991,HGF,False,False,True,False,True,False,False,True,P14210,5
ENSG00000169704,GP9,False,False,False,False,False,False,False,True,P14770,5
ENSG00000065600,PACC1,False,False,False,False,False,False,False,True,Q9H813,5
ENSG00000228278,ORM2,False,False,False,False,True,False,False,True,P19652,5
ENSG00000115414,FN1,False,False,False,False,False,True,False,True,P02751,5
ENSG00000158290,CUL4B,False,False,False,False,False,False,False,True,Q13620,5
ENSG00000186184,POLR1D,False,False,False,False,False,False,False,True,P0DPB5,5
ENSG00000156411,ATP5MJ,False,False,False,False,False,False,False,True,P56378,5
ENSG00000240583,AQP1,False,False,False,False,True,False,False,True,P29972,5
ENSG00000166913,YWHAB,False,False,False,False,False,True,False,True,P31946,5
ENSG00000143556,S100A7,False,False,False,False,False,True,False,True,P31151,5
ENSG00000108953,YWHAE,False,False,False,False,False,False,False,True,P62258,5
ENSG00000147140,NONO,False,False,False,False,False,False,False,True,Q15233,5
ENSG00000170027,YWHAG,False,False,True,False,False,True,False,True,P61981,5
ENSG00000146425,DYNLT1,False,False,False,False,False,False,False,True,P63172,5
ENSG00000132507,EIF5A,False,False,False,False,False,False,False,True,P63241,5
ENSG00000166710,B2M,False,False,False,False,True,False,False,True,P61769,5
ENSG00000143368,SF3B4,False,False,False,False,False,False,False,True,Q15427,5
ENSG00000140632,GLYR1,False,False,False,False,False,True,False,True,Q49A26,5
ENSG00000184708,EIF4ENIF1,False,False,False,False,False,False,False,True,Q9NRA8,5
ENSG00000084463,WBP11,False,False,False,False,False,False,False,True,Q9Y2W2,5
ENSG00000250361,GYPB,False,False,False,False,False,False,False,True,P06028,5
ENSG00000074319,TSG101,False,False,False,False,True,False,False,True,Q99816,5
ENSG00000136504,KAT7,False,False,False,False,False,False,False,True,O95251,5
ENSG00000143742,SRP9,False,False,False,False,False,False,False,True,P49458,5
ENSG00000071246,VASH1,False,False,False,False,False,False,False,True,Q7L8A9,5
ENSG00000159479,MED8,False,False,False,False,False,False,False,True,Q96G25,5
ENSG00000115484,CCT4,False,False,False,False,False,False,False,True,P50991,5
