source	target
Q9H2H9	P00846
Q9H2H9	Q969F0
P13224	P14770
P13224	Q14289
Q7L4P6	Q8TAU3
Q7L4P6	P05067
Q9C005	P0CG48
Q6A162	Q9Y4P9
Q6A162	O14964
Q6DKK2	Q16774
Q6DKK2	Q9NRA8
Q16666	P07339
Q16666	P05067
Q16666	Q8NF91
Q16666	Q13188
Q16666	P10321
Q16666	Q02535
Q16666	P29590
Q16666	P09038
Q16666	Q9UBU9
Q16666	Q9BZE4
Q9NZ94	Q16774
Q9NZ94	P68104
Q14512	P05230
Q14512	P98160
Q14512	P09038
Q14512	Q9NRR5
Q9NXF7	Q5SW96
Q9NXF7	Q9H3M7
O43513	Q9NVC6
Q15051	Q16774
Q15051	P55072
Q16543	Q14576
Q16543	Q05639
Q16543	P00533
P06213	O43739
P06213	P31946
O00458	P19525
O00458	P56524
O00458	Q06413
O00458	P15172
O00458	Q13547
O00458	Q96EI5
O00458	P68400
O00458	P35222
O00458	Q9BZE4
O00458	Q92769
P21673	P26641
P21673	Q13432
P21673	Q04864
Q9H832	Q16774
Q9H832	Q12933
P57105	P98164
P57105	P05067
P57105	Q14197
Q96EY1	Q06609
Q96EY1	P15408
Q9NRA8	Q01844
P17931	Q08379
P17931	Q6ZP80
P17931	P08238
P17931	P62736
P38398	P14210
P38398	P08238
Q99750	Q96HB5
Q99750	Q01844
Q99750	Q5TAQ9
Q99750	O43597
Q99750	P49639
Q99750	Q9ULM2
Q99750	Q9UK11
Q8N5U6	P07900
Q8N5U6	P68104
Q8N5U6	Q9UBU9
O14964	Q5VSY0
O14964	Q8N5R6
O14964	Q9BUZ4
O14964	O43865
O14964	Q01850
O14964	P08237
O14964	Q14525
O14964	Q9BYM8
Q9Y312	P36382
Q9Y312	P0CG48
Q9H3M7	Q9HAU4
Q9H3M7	P04637
Q96B97	Q12933
Q96B97	Q9H9H4
Q96B97	Q14289
Q96B97	O43559
Q96B97	P12268
Q96B97	P27986
P16885	Q68G74
P16885	P04637
Q96G25	Q9NVC6
Q96G25	Q8ND90
P12268	P15328
O43739	Q96HB5
O43739	Q9BRX9
O43739	Q3KP66
O43739	Q14258
O43739	P15408
O43739	Q13227
O43739	P42336
P24863	Q49A26
P24863	P40227
Q8TAU3	Q08379
Q8TAU3	Q96S65
P19525	P08238
P62136	Q96S65
P62136	Q04917
Q16621	P05114
Q16621	Q96BA8
P57682	Q68G74
P57682	Q12933
Q15654	O43559
Q15654	O00585
