source	target
Q9NRS6	Q15041
Q9NRS6	P49902
Q9NRS6	O60341
Q9NRS6	P02751
Q9NRS6	Q9UI14
Q9NRS6	Q96BY9
Q9NRS6	Q9NQC3
Q9NRS6	Q86VN1
P52789	O95376
P52789	Q9NS91
P52789	P29144
P52789	Q9GZS3
P52789	Q15717
P52789	Q8IVT5
P52789	Q9Y570
P52789	P13612
P52789	Q8IWL3
P52789	Q9NRR5
Q04771	P08567
Q04771	P0CG48
P50402	Q969F0
P50402	Q8N5R6
Q9BV68	P0CG48
Q9BV68	P35914
P02751	Q9UBQ5
P02751	P01024
Q12933	Q8N5R6
Q12933	Q969F0
Q92956	Q9NZL4
Q92956	Q99873
Q15223	P12830
Q15223	P04156
Q15223	F7VJQ1
Q15223	P11362
Q15223	O00560
Q15223	Q8TEW0
P51116	Q8WVF5
P51116	Q16666
P51116	Q9Y3Q8
P51116	P15531
P51116	Q8N5R6
P51116	Q86SE5
Q16695	P82980
Q16695	O15392
P60953	P56181
P60953	Q16666
O15392	P62807
O15392	P55085
O15392	O76095
O15392	Q15717
O15392	Q12931
Q9NQ55	Q96IT1
Q9NQ55	Q16666
P61956	Q96IT1
P61956	O43865
P61956	P0CG48
Q14194	P21673
Q14194	P55774
P49763	P17948
P49763	O60462
P49763	O14786
P49763	P15692
Q86SE5	Q12926
Q9Y228	Q9BUL8
Q9Y228	Q969F0
P12830	P0CG48
P12830	Q9BRK4
O43889	Q96BA8
O43889	Q7L5A8
O43889	Q15382
F7VJQ1	Q9Y3Q8
Q8WTR2	P15531
Q8WTR2	Q15382
Q9UMX0	P05408
Q9UMX0	O43865
Q9H159	P11388
Q9H159	P29144
Q9H159	P0CG47
Q9H159	P27448
Q9H159	Q969R5
Q9H159	O75592
Q9H159	Q8IYH5
Q9H159	Q9BPX3
Q9H159	P29590
Q9NPJ6	Q9NZL4
Q9NPJ6	P01024
Q9UBU9	P56181
Q9UBU9	Q16666
O95757	P54920
O95757	Q16666
O95376	Q15382
O95376	Q8N5R6
P55085	Q9NRP0
Q99873	Q15772
Q9UMR2	P0CG48
Q9UMR2	P01024
P09651	Q9HCD5
P09651	P01024
O60216	P01024
O60216	O14933
O76095	P05067
Q8IVT5	Q9BUL8
Q8IVT5	P54920
Q96HA8	P35914
Q96HA8	Q9BRK4
Q5SSJ5	Q9BXS6
Q5SSJ5	Q16666
O95639	Q9BRK4
O95639	P27448
Q96AD5	P36955
Q96AD5	P0CG48
P05161	Q9NRP0
P05161	O14933
Q9NQC3	Q96FQ6
P04637	P55774
P04637	Q16666
Q9HCD5	Q15714
P22314	P56181
P22314	O14933
Q9NX14	Q969F0
Q9NX14	P56181
Q14BN4	Q9BUL8
Q14BN4	Q8N998
Q16666	P11388
Q16666	Q9UKB1
Q16666	Q9UBQ5
Q16666	Q9UKV8
Q16666	Q9Y5S9
Q16666	P46531
Q16666	P05067
Q16666	Q3MHD2
Q16666	Q9GZS3
Q16666	O00560
Q16666	Q9HCE1
Q16666	O00267
Q16666	P49748
Q16666	P68400
Q16666	Q8IWA0
Q16666	Q13185
Q16666	P29590
P40692	P36955
P40692	P0CG48
Q92838	Q9NRP0
Q92838	O43865
P54920	O75396
P54920	P63027
P54920	P55072
Q8WUH6	P11021
Q8WUH6	Q9Y5S9
Q8WUH6	Q15717
Q8WUH6	Q9UIQ6
Q9P0J0	P0CG48
Q9P0J0	P56181
P15531	P55809
P25391	P0DJI8
P25391	P01024
P25391	P0CG48
Q8N205	Q16394
Q8N205	Q969F0
P0DJI8	Q9BQB6
P0DJI8	O75364
Q13618	Q53RE8
Q13618	Q12926
Q13618	P15328
P07948	P15328
P07948	P41240
P07948	P0CG48
O00155	Q969F0
O00155	Q96BA8
P12236	P56181
P12236	Q9BRK4
Q8NFQ8	Q16394
Q8NFQ8	P0CG48
Q9BQ95	Q14576
Q9BQ95	Q15382
P26038	P08567
P26038	Q96FQ6
O00267	Q96IT1
P55774	Q04724
P55774	Q13432
P55774	Q04727
P55774	Q9UKR5
Q86VN1	P0CG48
P41240	P32121
P41240	Q07666
P41240	Q8TEW0
P41240	Q8IWL3
P41240	P55072
Q9BXS6	P62807
Q13432	P21673
Q3MHD2	P35914
P55055	Q99750
P55055	P05408
Q9NWS9	Q96IT1
Q9NWS9	Q9BRK4
P62979	Q8N998
P62979	P0CG48
Q9BQ66	Q12906
Q9Y3Q8	P04156
Q9Y3Q8	P21673
Q9Y3Q8	Q8N5R6
Q9Y3Q8	Q15714
Q9Y3Q8	Q969H0
Q9Y3Q8	Q9UKB1
Q9NS91	P0CG48
P63027	Q96FQ6
P08567	P51659
P08567	P16871
P08567	P36897
P08567	P00488
P08567	Q8IWA0
P17152	Q969F0
P17152	Q96BA8
P00519	P0CG48
P00519	P01024
Q9UKB1	Q8TBF5
O43865	P32121
O43865	Q9NRR5
O43865	P62987
O43865	P11021
P34897	Q9BX68
P34897	P56181
Q969R5	P36955
P12882	Q16394
P12882	P0CG48
P37231	Q96IT1
P37231	P0CG48
Q9UKR5	P21673
O75592	P0CG48
Q12926	Q14576
Q9Y2K6	Q99750
Q9Y2K6	Q969F0
Q8N5R6	Q96R06
Q8N5R6	Q99750
Q8N5R6	O43741
Q8N5R6	Q8N6Y0
P55809	Q96FQ6
P31689	P0CG48
P31689	P35914
O75396	Q96FQ6
P05067	Q53RE8
P05067	Q15772
P05067	Q9BX68
Q07666	P05408
P11021	P36955
P11021	Q9NZL4
Q9BPX3	P0CG48
Q9BQB6	P21673
Q15041	P35914
P22087	Q96IT1
P22087	P0CG48
Q13185	Q96IT1
Q9UIQ6	Q969F0
P51659	P0CG48
O95292	Q15772
O95292	Q96FQ6
O95292	P56181
Q13263	P10914
Q13263	Q96IT1
Q13263	P0CG48
O60341	Q7Z4H7
Q9NQC7	Q5JUX0
Q9NQC7	Q9UBQ5
Q9NQC7	P0CG48
P68400	P36955
Q12983	Q15382
Q12983	Q969F0
P13612	Q9UBQ5
P13612	Q9BUL8
P15328	Q9UKV8
P15328	Q6IQ23
P15328	P49721
P15328	Q6IBW4
P16871	P0CG48
Q16394	P46531
Q16394	Q969H0
Q16394	Q12931
P63000	Q15382
P63000	P0CG48
P63000	Q9BRK4
