name	is_seed	spd	component_id
Q53RE8	1	0.0	0
Q9H159	1	0.0	1
Q16666	1	0.00228310502283105	2
Q9UBQ5	1	0.015625	2
Q9BRK4	1	0.003787878787878788	3
O95639	1	0.029411764705882353	3
P54920	1	0.0	4
P0CG48	1	0.0	5
Q96FQ6	1	0.0	6
P41240	1	0.0	7
Q92956	1	0.012658227848101266	8
Q9NZL4	1	0.010416666666666666	8
Q7Z4H7	1	0.0	9
Q99962	1	0.0	10
P52789	1	0.0	11
Q9BXS6	1	0.0	12
Q9HCD5	1	0.0	13
Q9BX68	1	0.0	14
Q9BUL8	1	0.0	15
Q8WUH6	1	0.0	16
Q15772	1	0.0	17
Q5JUX0	1	0.0	18
Q9Y3Q8	1	0.023809523809523808	19
Q8N5R6	1	0.019417475728155338	19
Q99750	1	0.004032258064516129	19
P21673	1	0.012987012987012988	19
Q14576	1	0.09090909090909091	20
Q86SE5	1	0.023809523809523808	20
Q12926	1	0.017241379310344827	20
Q9NRS6	1	0.0	21
P10914	1	0.0	22
Q15382	1	0.0	23
P15531	1	0.0	24
Q9BQ66	1	0.0	25
Q8N998	1	0.0	26
P55774	1	0.0	27
Q15223	1	0.0	28
Q9NRP0	1	0.0	29
Q969F0	1	0.0	30
P56181	1	0.0	31
O15392	1	0.013333333333333334	32
O76095	1	0.14285714285714285	32
O43865	1	0.0	33
O14933	1	0.0	34
P15328	1	0.0	35
Q96IT1	1	0.0	36
Q96BA8	1	0.0	37
P36955	1	0.0	38
P35914	1	0.0	39
P49763	1	0.0	40
O75177	1	0.0	41
Q16394	1	0.0	42
Q7L5A8	1	0.0	43
Q8TBF5	1	0.0	44
Q8WVF5	1	0.0	45
P01024	1	0.0	46
P82980	1	0.0	47
P0DJI8	1	0.0	48
P05408	1	0.0	49
P08567	1	0.0	50
