name	rank	visiting_probability	is_seed	spd	component_id
Q53RE8	36	0.01333453799536447	1	1.0	0
Q9H159	48	0.013350063431027851	1	0.20833333333333334	0
Q16666	19	0.013406589811422447	1	0.0365296803652968	0
Q9BRK4	56	0.013449779041478713	1	0.041666666666666664	0
P54920	18	0.013344609621771936	1	0.15254237288135594	0
P0CG48	16	0.01341092081523994	1	0.054820415879017016	0
Q96FQ6	14	0.013346422895380643	1	0.18421052631578946	0
P41240	31	0.013347576756161975	1	0.13186813186813187	0
Q92956	33	0.01338302548745041	1	0.11392405063291139	0
Q7Z4H7	41	0.013342253233994275	1	0.10465116279069768	0
Q99962	52	0.013374859137638336	1	0.046511627906976744	0
P52789	2	0.013347329516123468	1	0.24528301886792453	0
Q9BXS6	4	0.013345550016146328	1	0.14285714285714285	0
Q9HCD5	12	0.013344619595950045	1	0.20454545454545456	0
Q9BX68	57	0.013334373624162744	1	1.0	0
Q9BUL8	28	0.013350097257185282	1	0.09836065573770492	0
Q8WUH6	54	0.013343709545244432	1	1.0	0
Q15772	44	0.013335416022680248	1	1.0	0
Q5JUX0	10	0.013342550590291522	1	1.0	0
Q9NZL4	7	0.013383094448813559	1	0.09375	0
Q9Y3Q8	60	0.013418645421740096	1	0.11904761904761904	0
Q8N5R6	3	0.013399592363866508	1	0.10679611650485436	0
Q14576	45	0.013362178331376939	1	1.0	0
Q9UBQ5	38	0.013347526362642113	1	0.125	0
Q9NRS6	11	0.013353567853715668	1	1.0	0
Q86SE5	24	0.013372921118858516	1	0.11904761904761904	0
Q99750	21	0.01342283107101538	1	0.024193548387096774	0
P10914	49	0.01334218999374983	1	0.2	0
Q12926	32	0.013660410975011405	1	0.0603448275862069	0
Q15382	9	0.01334817513545199	1	0.15384615384615385	0
P15531	29	0.01334742825437323	1	0.08108108108108109	0
Q9BQ66	51	0.013360649862689774	1	0.009009009009009009	0
Q8N998	27	0.013342842223853102	1	1.0	0
P21673	37	0.013391647886641227	1	0.14285714285714285	0
P55774	15	0.013355918034361236	1	1.0	0
Q15223	30	0.013344295382791712	1	1.0	0
Q9NRP0	25	0.013344037204007599	1	1.0	0
Q969F0	55	0.013419024900863425	1	0.08620689655172414	0
P56181	58	0.013345299224497667	1	0.1282051282051282	0
O15392	5	0.013736103717078119	1	0.14666666666666667	0
O95639	46	0.013357726668761746	1	0.2647058823529412	0
O43865	23	0.013351193828110952	1	0.09554140127388536	0
O14933	40	0.013354836564470273	1	0.10909090909090909	0
P15328	59	0.013340882201136873	1	1.0	0
Q96IT1	20	0.013349950086580862	1	0.0625	0
Q96BA8	39	0.013394728875137924	1	0.04878048780487805	0
P36955	1	0.013346654983624312	1	1.0	0
