task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	a6/9a3f37	2576016	NFCORE_DISEASEMODULEDISCOVERY:DISEASEMODULEDISCOVERY:GRAPHTOOLPARSER (uniprot_ppi)	CACHED	0	2026-01-19 11:49:48.317	11.4s	6.3s	611.5%	384.8 MB	18.7 GB	43.6 MB	1 MB
6	a7/5796de	2595217	NFCORE_DISEASEMODULEDISCOVERY:DISEASEMODULEDISCOVERY:NETWORKEXPANSION:GT_DOMINO:GRAPHTOOLPARSER (uniprot_ppi)	CACHED	0	2026-01-19 11:50:11.668	13.2s	3.9s	600.2%	260 MB	17.6 GB	40.2 MB	10.1 MB
5	2f/3cce68	2606956	NFCORE_DISEASEMODULEDISCOVERY:DISEASEMODULEDISCOVERY:NETWORKEXPANSION:GT_ROBUSTBIASAWARE:GRAPHTOOLPARSER (uniprot_ppi)	CACHED	0	2026-01-19 11:50:21.564	11.5s	4.3s	755.8%	261.2 MB	17.6 GB	40.2 MB	4.4 MB
4	19/cc8b98	2595842	NFCORE_DISEASEMODULEDISCOVERY:DISEASEMODULEDISCOVERY:NETWORKEXPANSION:GT_ROBUST:GRAPHTOOLPARSER (uniprot_ppi)	CACHED	0	2026-01-19 11:50:11.922	13.1s	3.8s	926.0%	263.2 MB	17.6 GB	40.2 MB	4.4 MB
2	f5/d60b90	2607576	NFCORE_DISEASEMODULEDISCOVERY:DISEASEMODULEDISCOVERY:NETWORKEXPANSION:GT_DIAMOND:GRAPHTOOLPARSER (uniprot_ppi)	CACHED	0	2026-01-19 11:50:24.190	10.3s	3.6s	918.4%	259.8 MB	17.6 GB	40.2 MB	4.4 MB
3	2f/c91454	2607365	NFCORE_DISEASEMODULEDISCOVERY:DISEASEMODULEDISCOVERY:NETWORKEXPANSION:GT_RWR:GRAPHTOOLPARSER (uniprot_ppi)	CACHED	0	2026-01-19 11:50:23.423	10.4s	3.6s	728.4%	257.8 MB	17.6 GB	40.2 MB	4.4 MB
8	24/d01610	2635805	NFCORE_DISEASEMODULEDISCOVERY:DISEASEMODULEDISCOVERY:NETWORKEXPANSION:GT_DOMINO:DOMINO_SLICER (uniprot_ppi)	CACHED	0	2026-01-19 11:50:46.513	27.1s	25s	161.7%	551.3 MB	17 GB	25.2 MB	266.2 KB
7	40/e2b12f	2299018	NFCORE_DISEASEMODULEDISCOVERY:DISEASEMODULEDISCOVERY:INPUTCHECK (Entry_and_Uncoating.uniprot_ppi)	COMPLETED	0	2026-02-11 13:28:03.379	6.6s	2.3s	1619.6%	221.1 MB	17.5 GB	47.5 MB	14.4 KB
9	4d/87fb85	2299893	NFCORE_DISEASEMODULEDISCOVERY:DISEASEMODULEDISCOVERY:NETWORKEXPANSION:GT_DOMINO:PREFIXLINES (Entry_and_Uncoating.uniprot_ppi)	COMPLETED	0	2026-02-11 13:28:10.051	5.4s	18ms	125.0%	0	0	89.5 KB	1 KB
15	43/c87dec	2299886	NFCORE_DISEASEMODULEDISCOVERY:DISEASEMODULEDISCOVERY:NETWORKEXPANSION:GT_FIRSTNEIGHBOR:FIRSTNEIGHBOR (Entry_and_Uncoating.uniprot_ppi)	COMPLETED	0	2026-02-11 13:28:10.039	7.6s	2.1s	1391.7%	217.1 MB	17.5 GB	40.2 MB	1.4 MB
10	6b/8460a9	2299898	NFCORE_DISEASEMODULEDISCOVERY:DISEASEMODULEDISCOVERY:TOPOLOGY (Entry_and_Uncoating.uniprot_ppi.no_tool)	COMPLETED	0	2026-02-11 13:28:10.058	7.6s	2.1s	1189.0%	207.5 MB	17.5 GB	39.2 MB	11.5 KB
18	7b/f54a12	2304550	NFCORE_DISEASEMODULEDISCOVERY:DISEASEMODULEDISCOVERY:NETWORKANNOTATION (Entry_and_Uncoating.uniprot_ppi.no_tool)	COMPLETED	0	2026-02-11 13:28:17.665	5.2s	1.7s	1691.9%	260.4 MB	17.6 GB	40.2 MB	13.8 KB
13	1a/3def99	2299995	NFCORE_DISEASEMODULEDISCOVERY:DISEASEMODULEDISCOVERY:NETWORKEXPANSION:GT_ROBUST:ROBUST (Entry_and_Uncoating.uniprot_ppi)	COMPLETED	0	2026-02-11 13:28:10.102	16.1s	13.2s	163.6%	345.4 MB	2.9 GB	20.4 MB	68.6 KB
20	91/760f73	2307041	NFCORE_DISEASEMODULEDISCOVERY:DISEASEMODULEDISCOVERY:DRUGSTONEEXPORT (Entry_and_Uncoating.uniprot_ppi.no_tool)	COMPLETED	0	2026-02-11 13:28:22.942	8.9s	2.1s	1284.7%	221.4 MB	17.5 GB	40.3 MB	16.6 KB
11	7a/2c411d	2299964	NFCORE_DISEASEMODULEDISCOVERY:DISEASEMODULEDISCOVERY:NETWORKEXPANSION:GT_ROBUSTBIASAWARE:ROBUSTBIASAWARE (Entry_and_Uncoating.uniprot_ppi)	COMPLETED	0	2026-02-11 13:28:10.092	23.5s	20s	174.2%	360.3 MB	17.3 GB	42.5 MB	66.5 KB
12	fa/e10605	2299925	NFCORE_DISEASEMODULEDISCOVERY:DISEASEMODULEDISCOVERY:NETWORKEXPANSION:GT_DIAMOND:DIAMOND (Entry_and_Uncoating.uniprot_ppi)	COMPLETED	0	2026-02-11 13:28:10.073	24.2s	21.4s	168.6%	264.2 MB	5.4 GB	15.7 MB	7 KB
19	ee/27b4f5	2307039	NFCORE_DISEASEMODULEDISCOVERY:DISEASEMODULEDISCOVERY:SAVEMODULES (Entry_and_Uncoating.uniprot_ppi.no_tool)	COMPLETED	0	2026-02-11 13:28:22.936	12.1s	3.3s	846.3%	219.9 MB	17.5 GB	58.8 MB	24.2 KB
21	87/070d9a	2307048	NFCORE_DISEASEMODULEDISCOVERY:DISEASEMODULEDISCOVERY:VISUALIZEMODULES (Entry_and_Uncoating.uniprot_ppi.no_tool)	COMPLETED	0	2026-02-11 13:28:22.947	13.4s	5.7s	317.6%	300.6 MB	17.6 GB	72.1 MB	2.2 MB
17	00/6cbaba	2304505	NFCORE_DISEASEMODULEDISCOVERY:DISEASEMODULEDISCOVERY:TOPOLOGY (Entry_and_Uncoating.uniprot_ppi.firstneighbor)	COMPLETED	0	2026-02-11 13:28:17.631	20.6s	13.6s	236.6%	264.2 MB	17.6 GB	40.5 MB	11.6 KB
22	ec/0c6932	2309351	NFCORE_DISEASEMODULEDISCOVERY:DISEASEMODULEDISCOVERY:NETWORKEXPANSION:MODULEPARSER (Entry_and_Uncoating.uniprot_ppi.robust)	COMPLETED	0	2026-02-11 13:28:26.207	15.4s	5.6s	271.1%	256.5 MB	17.6 GB	40.2 MB	34.2 KB
