source	target
Q9HC52	Q9HCE1
Q9HC52	P57053
P05067	P06748
P05067	Q99879
P05067	P25705
P12236	Q16543
P12236	P05141
Q16695	P19338
Q16695	Q7L7L0
Q16695	Q9UNL4
Q16695	Q9NPI1
O95786	Q7Z434
O14782	Q13043
O14782	Q99459
O14782	Q92630
O14782	Q8IXZ2
O14782	Q96EK5
O14782	Q9H4B6
O14782	O15066
O14782	Q9Y496
O14782	P25054
O14782	Q9NRI5
P13612	Q93077
P13612	P06748
P13612	Q93079
P62906	P06748
P62906	Q5QNW6
P40227	P50990
P40227	P25054
P62993	Q93079
P62993	P63267
P62993	P06748
Q13162	Q06830
Q13162	P06733
Q969P0	P06748
Q969P0	Q93079
Q969P0	Q99879
Q969P0	Q5QNW6
Q6FI13	P68431
Q6FI13	P62807
Q9NZI8	Q9HCE1
Q9NZI8	P16989
Q9NZI8	P11940
Q9NZI8	P67809
Q9NZI8	O95793
Q9NZI8	Q08211
Q9NZI8	P19338
P05161	P49368
P05161	O14734
Q99459	P19338
P50990	P08559
P50990	P49368
P50990	P50991
P50990	P07437
P50990	P78371
P50990	P55072
P50990	Q71U36
P50990	P17987
P50990	Q9BQE3
P50990	Q08380
P50990	P22681
Q9H040	Q93079
Q9H040	P55072
Q08211	P33778
Q08211	P52757
Q96L14	P57053
Q96L14	O95816
Q13322	Q9BQG0
Q13322	Q99877
Q96NS5	P04406
Q96NS5	Q99877
Q14451	P06748
Q14451	Q99877
P63104	P06748
P63104	Q5QNW6
P49368	Q13043
P49368	P01106
P49368	Q92731
P49368	Q9UJM3
P07437	P48039
P07437	Q04864
P07437	Q9NRI5
P51608	Q9BQG0
P51608	Q5QNW6
Q15843	Q99878
Q15843	P19338
P05166	P05165
P05165	O95816
Q00597	P06748
Q00597	P00846
P26196	Q8WWM7
P26196	P67809
O75815	Q93077
O75815	P55072
P52757	Q93077
Q9H4B6	O14654
P42696	P06748
P42696	Q5QNW6
P04908	P06899
P04908	O60814
Q8IUH5	Q93079
Q8IUH5	P68104
P62805	Q16777
P62805	Q71DI3
P62805	O60814
P27986	P06748
P27986	Q9NQZ6
P56945	Q93077
P56945	Q9HCE1
Q06830	Q71U36
Q9NQZ6	Q9BQD3
Q9NQZ6	Q14129
Q9NQZ6	Q6P1K2
Q9NQZ6	Q9NP66
Q9NQZ6	Q8N302
Q9NQZ6	Q9ULM2
