source	target
P37198	Q9UBU9
P37198	Q16666
Q96G25	Q9ULK4
Q96G25	P05067
P38398	Q96EZ8
P38398	Q9Y5A6
P38398	Q9UHK0
Q7L4P6	Q93009
Q7L4P6	O95153
Q7L4P6	P05067
Q9UHK0	O60262
Q93008	Q9UQL6
P17844	Q15393
Q71U36	Q9Y2G8
Q71U36	P49736
Q9Y265	Q96EZ8
Q9Y5A6	P17028
Q9Y5A6	P05067
P23497	P55854
Q969G3	Q8WYH8
Q969G3	P0C7W6
Q969G3	Q9UKL0
P30419	P60022
P30419	P49736
O14981	Q15717
Q12888	P12956
Q9UMS4	O75533
Q9UMS4	Q15393
P51668	P22681
P49736	P12956
P49736	P05067
P49736	Q13509
P49736	Q13368
P49736	P08670
P49736	O14775
Q86XP3	O75533
Q86XP3	P05067
O00327	Q9UKL0
Q92769	Q9UKL0
Q92769	O00458
Q13426	P12956
Q13426	Q96QD9
Q15717	Q9P1Z3
Q15717	O60519
Q15717	P61956
Q15717	Q96GY0
Q15717	P19838
Q15717	Q99856
Q15717	P55209
Q15717	Q13363
Q15717	Q9Y5B9
Q15717	P84103
Q96IJ6	P19838
Q96GM5	Q92922
O75558	Q8N6Y0
O75558	P56545
O75558	P51172
O75558	P05067
Q9NVV9	P07947
P61956	P12956
P28370	Q92922
Q13363	Q9UKL0
Q8N5R6	Q8WYH8
Q8N5R6	P05067
P20585	P12004
P20585	P52701
P56545	P12956
P56545	P05067
O75928	P78347
P50402	P12956
P50402	Q8NHQ1
P50402	Q96GX1
P50402	Q6NUS6
Q9H0A8	Q04206
P19838	P18859
P19838	P78527
P19838	Q9UJW3
P63167	Q9NVP2
P63167	Q96FJ2
Q96FJ2	Q8IYA8
Q9Y5F6	P05067
Q9Y4E8	Q93009
Q9Y4E8	Q14683
Q99856	P29590
Q99856	P05067
P35659	Q9UER7
Q7Z7J5	Q7L190
Q8N8U2	Q9UBU9
Q8IYN2	Q9UBU9
Q8IYN2	P05067
Q96B97	P22681
Q96B97	Q14676
O00458	Q13547
O00458	P56524
Q9P1Z3	Q9Y3Q4
P51610	Q9NVP2
O60506	Q15393
O60506	Q9H0H5
Q7L190	Q14676
P56524	Q8WUI4
P48730	P29590
P48730	P05067
Q86T26	Q8TF71
Q86T26	Q9UK22
P05067	Q7L2Z9
P05067	P12931
P05067	P30281
P05067	Q96GY0
P05067	Q9BWF2
Q7L2Z9	Q9Y5B9
P43246	P12956
P27694	P12956
P27694	Q5UIP0
Q9UKV0	O15379
P51532	Q9UKL0
P60022	P54257
P60022	O60551
P60022	O75439
P60022	Q5UIP0
P60022	Q12851
P60022	P14735
P60022	P08670
O43513	Q9ULK4
O43513	Q9UJW3
P52701	P12956
P84103	P07947
Q14203	Q15393
Q14203	Q96GY0
Q12873	P55854
Q12873	Q9UBU9
P12004	P30281
Q96GS6	O60760
Q96GS6	Q8ND90
Q8N6Y0	Q96EZ8
P12931	P22681
P02545	P12956
P13010	P12956
P30281	P62136
P63165	Q9UER7
P0CG48	Q07021
P0CG48	P22681
P0CG48	Q8NFQ8
P0CG48	P14735
P0CG48	P62879
Q96SB4	Q16666
Q96ST3	Q92922
Q96ST3	Q8WUI4
Q13137	Q9UER7
Q9H2P0	Q9UER7
Q13404	P51965
P49427	Q04206
P43360	P78347
P43360	Q6NXE6
Q9UQL6	P12268
Q9UQL6	P12956
Q13547	Q9UJW3
Q9NX70	Q9ULK4
P29692	Q07021
Q09028	P12956
Q92878	P49959
Q9NVC6	Q9ULK4
Q96EY1	Q93009
Q9NPF5	Q9UER7
Q8IUQ4	P29590
Q8IUQ4	Q16633
O14734	P29590
O60262	P62873
O60262	P08754
O60262	Q96QD9
O60262	Q13368
O60262	Q8N5S1
O60262	Q9NPH0
O60262	P62879
O60262	O14775
Q8TAQ2	Q9UKL0
Q8TAQ2	P49959
P09884	Q14683
P67870	Q96EZ8
P67870	O60551
P51531	Q92922
Q14191	P12956
Q16633	P78347
O60264	Q9UER7
Q8ND90	Q9UER7
P54132	Q96EZ8
P54132	Q9Y2M0
O15379	O75533
Q9BWF2	P06241
Q04206	P51965
Q04206	Q9UJW3
P24863	Q9ULK4
P24863	P78527
O60437	Q93009
P55209	Q9Y5B9
Q16666	P12956
Q16666	P10321
Q16666	Q9H0H5
Q8TEE9	P78527
Q9Y2G8	Q13509
Q9Y2G8	P51172
Q9Y2G8	Q96GX1
Q9Y2G8	P10321
Q9Y2G8	Q6NUS6
Q9Y2G8	Q16827
O76064	P51965
Q9UBU9	P08754
Q9UBU9	Q9NZ08
Q9UBU9	O75439
P62136	O75533
P06241	P12956
P06241	Q9Y3Q4
P06241	P62873
P07947	P12956
P07947	Q8N5S1
Q14676	P49959
Q9UK22	P51965
Q9NVP2	P51965
Q14683	Q15393
P78527	P12956
O95602	Q9Y5B9
P17028	P54257
P17028	Q5UIP0
P78347	P12956
P78347	Q9UJW3
Q9UER7	Q96EZ8
P49959	P12956
Q9Y5B9	P12956
Q93009	P51965
P22681	Q16827
Q8TF71	Q9H0H5
Q8TF71	Q9NZ08
Q8TF71	Q8NFQ8
Q8TF71	Q6NXE6
O60519	Q9UJW3
Q07021	Q9NPH0
Q07021	Q96GX1
Q8WYH8	P54257
P12956	Q12851
