gene	n_methods
Q9Y6K9	6
Q08379	6
P27348	6
Q92956	6
Q9H000	6
Q99962	6
P40227	6
Q8NF91	6
Q05639	6
P68104	6
Q9UKT9	6
P78371	6
P50990	6
Q13137	6
O43557	6
Q8IUH3	6
O95990	6
O15162	6
Q9Y2W2	6
Q5D1E8	6
Q15772	6
Q9NQZ6	6
Q16774	6
O95273	6
P05408	6
Q8N682	6
Q96S65	6
Q9NX57	6
Q7L4P6	6
Q9BX68	6
Q9BQ66	6
Q99750	6
Q5JR59	6
Q8N5R6	6
Q9BUZ4	6
Q9BRK4	6
P50402	6
Q9HCD5	6
P49368	6
Q8ND90	6
P26641	6
P50991	6
Q12933	6
Q9BWG6	6
Q9Y3Q8	6
Q12926	6
P17987	6
Q8NHQ1	6
Q9NRY6	6
Q13432	5
P63172	5
P02545	5
P98066	5
Q13162	5
Q9C005	5
Q49A26	5
P0CG48	5
P54920	5
Q01844	5
Q04917	5
P08238	5
P04637	5
O00585	5
Q9NRW1	5
Q6UWN8	5
Q8TC12	5
Q96FQ6	5
Q16864	5
O75177	5
Q16394	5
P30536	5
Q53RE8	5
P14555	5
Q16621	5
O15503	5
Q14512	5
O14933	5
P15328	5
Q15233	5
Q14525	5
P41240	5
P35372	5
O75909	5
P24666	5
Q7L5A8	5
O95989	5
P52789	5
P16152	5
Q96EY1	5
Q06609	5
Q08380	5
P05114	5
P69892	5
Q9NXF8	5
Q4J6C6	5
Q5SW96	5
P07307	5
P06028	5
O43805	5
P15531	5
P36955	5
Q96IT1	5
Q96F46	5
Q12893	5
Q8TBF5	5
P82980	5
Q9H9H4	5
Q96BA8	5
P40616	5
Q6ZP80	5
P56378	5
O14734	5
Q9UPY8	5
Q9NRS6	5
P36382	5
P31260	5
Q5JUX0	5
O43865	5
P31151	5
Q15223	5
P14770	5
Q9H813	5
Q9NRP0	5
Q9H0U9	5
Q9GZV8	5
P49458	5
P19652	5
P0DJI8	5
P01024	5
O43739	5
Q8WUH6	5
P0DPB5	5
Q8WVF5	5
P00846	5
O14807	5
P13164	5
P14210	5
Q9Y4P9	5
P08567	5
Q68G74	5
P49763	5
Q15661	5
Q99541	5
Q8N998	5
P48201	5
P35914	5
P12236	5
P05141	5
P07900	5
Q969F0	5
Q16666	5
P55072	5
P62258	5
P61981	5
Q9BXS6	5
P07437	5
Q15427	5
P31946	5
P61769	5
Q9BUL8	5
Q16543	5
Q06830	5
Q9NZL4	5
Q02750	5
Q15654	5
P55198	5
Q6NSJ2	5
Q7Z4H7	5
Q7L8A9	5
O95295	5
P01100	5
Q8WVX3	5
Q14576	5
Q9UBQ5	5
Q92882	5
P63241	5
P10914	5
Q15382	5
P21673	5
O76095	5
P55774	5
Q86SE5	5
P56181	5
O15392	5
O95251	5
O95639	5
Q9H159	5
Q99731	5
O75828	5
O14654	5
P60033	4
P02751	4
P29972	4
Q13617	4
P13612	4
Q7Z6Z7	4
Q13573	4
Q13618	4
Q14103	4
P19320	4
P38398	4
Q9UBU9	4
Q07666	4
P06576	4
Q9UKV8	4
P11021	4
P34897	4
P49736	4
P03372	4
Q13620	4
Q9NQC7	4
P32121	4
Q14999	4
O75530	4
O95870	3
Q96SW2	3
P15056	3
P04049	3
Q14129	3
P17612	3
Q9NY72	3
P07996	3
O60341	3
Q9Y312	3
Q14BN4	3
Q969R5	3
O00560	3
P68400	3
P55196	3
Q5JVL4	3
P07948	3
Q15051	3
O00483	3
O43586	3
P84077	3
Q9HBV2	3
Q9P2G9	3
P0C7X2	3
Q6IQ23	3
P34947	3
Q99496	3
P25391	3
P60411	3
Q92624	3
O95817	3
Q86X19	3
O15169	3
P48039	3
P13224	3
Q00765	3
P98160	3
Q7L0Q8	3
P17931	3
P53779	3
Q15041	3
Q96SQ5	3
Q15714	3
O43463	3
P09429	3
P05067	3
P50222	3
Q9P0N5	3
O75364	3
Q6IBW4	3
O43889	3
Q13188	3
P08047	3
Q96GX5	3
Q9C0B0	3
P16333	3
Q8N9F7	3
Q9ULM2	3
Q9UMX0	3
Q9UI14	3
Q9NP66	3
Q6A162	3
P27986	3
Q9NQC3	3
P30041	3
P08865	3
P21860	3
P30556	3
P07359	3
Q9H8W4	3
Q13200	3
Q9Y5S9	3
Q15369	3
Q8N205	3
P50542	3
Q8N8B7	3
O00400	3
P09038	3
P40425	3
Q16082	3
P51116	3
P49639	3
Q9C0F1	3
Q9BQB6	3
P29590	3
P42336	3
P36873	3
Q8IUH5	3
P16885	3
P20309	3
P08559	3
O43597	3
Q13439	3
Q9HCE1	3
Q06124	3
P20023	3
Q15717	3
Q9NQP4	3
P15692	3
P04114	3
P62136	3
P46108	3
Q9NVU0	3
Q9UIQ6	3
P62195	3
Q8TAU3	3
Q9H2H9	3
Q9P0L2	3
Q9BUA3	3
P55055	3
P05161	3
P16591	3
Q9UKB1	3
Q00597	3
Q9NSG2	3
Q9BQE4	3
Q9NRR5	3
P12830	3
P01130	3
P17302	3
P02776	2
Q9BYT8	2
