source	target
Q99729	Q9GZQ8
Q99729	Q9NZI8
Q99729	Q9H0R8
Q99729	Q9H492
Q99729	Q9NQC7
P62906	Q00839
P62906	P84098
P62906	Q9NQC7
P62906	P62979
P62906	Q93034
P62906	Q92905
P62906	Q9H0R8
P62906	P63104
P62906	Q7Z6Z7
P62906	Q96L21
P62906	Q13233
P62906	Q86VP6
P62906	P68104
P62906	P83731
P62906	P62913
P62906	Q02878
P62906	Q71UM5
P62906	Q12905
P62906	Q07020
P62906	Q9Y3U8
P62906	P62917
P62906	Q13618
P62906	Q12906
P62906	Q13148
P62906	Q9UQL6
P62906	Q9UBX2
P62906	Q99558
P62906	Q8NHW5
P62906	Q9BV73
P62906	Q504Q3
P62906	Q02543
P62906	P63173
P62906	Q14999
P62906	P68371
P62906	Q9UKV8
P62906	Q13616
P62906	Q15050
P62906	Q9UNX3
P62906	Q14872
P62906	Q15843
P62906	P62910
P62906	P63220
P62906	Q86VM9
Q08211	Q99459
Q08211	Q96GG9
Q08211	Q92905
Q08211	Q9H492
Q08211	Q9H0R8
Q08211	Q13233
Q08211	Q92841
Q08211	Q9NZI8
Q08211	Q86VP6
Q08211	Q99558
Q08211	Q12905
Q08211	Q9UBS0
Q08211	Q71U36
Q08211	Q13617
Q08211	Q9UBX2
Q08211	Q14999
Q08211	Q15843
Q08211	Q9NRD1
Q08211	Q49A26
Q08211	Q9BV73
Q08211	Q9UL18
Q08211	Q504Q3
Q08211	Q12906
Q08211	Q9UQ35
Q08211	Q9UNX3
Q08211	Q13573
Q08211	Q9NQC7
Q08211	Q13151
Q08211	Q9UKV8
Q08211	Q15050
Q08211	Q92956
Q08211	Q13616
Q08211	Q9GZQ8
Q08211	Q14872
Q08211	Q92499
Q08211	Q13620
Q08211	Q93034
Q08211	Q9UQL6
Q08211	Q13148
Q08211	Q13618
Q9NZI8	Q9UQL6
Q9NZI8	Q9UBS0
Q9NZI8	Q9UKV8
Q9NZI8	Q9UL18
Q9NZI8	Q9UBX2
Q02543	Q12906
Q02543	Q504Q3
Q02543	Q07020
Q02543	Q15050
Q02543	Q9NQC7
Q02543	Q9BV73
Q02543	Q9Y3U8
Q02543	Q86VM9
Q02543	Q9UKV8
Q02543	Q86VP6
Q02543	Q9UL18
Q02543	Q14872
Q02543	Q02878
Q02543	Q9H492
Q02543	Q49A26
Q02543	Q96L21
Q02543	Q92905
Q02543	Q8NHW5
Q02543	Q9H0U9
Q02543	Q13616
Q02543	Q13148
Q15050	Q49A26
Q15050	Q15427
Q15050	Q16666
Q15050	Q9NZI8
Q9UNX3	Q9Y3U8
P62910	Q07020
P62910	Q86VM9
P62910	Q92905
P62910	Q9NQC7
P62910	Q15050
P62910	Q00839
P62910	Q99558
P62910	P84098
P62910	Q02543
P62910	Q504Q3
P62910	Q9NRD1
P62910	Q8NHW5
P62910	Q9UNX3
P62910	P62917
P62910	Q02878
P62910	P83731
P62910	Q12906
P62910	Q13148
P62910	Q13616
P62910	Q86VP6
P62910	P62913
P62750	Q71UM5
P62750	P62854
P62750	Q13617
P62750	P63220
P62750	Q8NHW5
P62750	Q12905
P62750	P83731
P62750	Q12906
P62750	P62910
P62750	P62841
P62750	P84098
P62750	Q86VP6
P62750	P62753
P62750	Q9GZQ8
P62750	Q96L21
P62750	Q93034
P62750	Q14999
P62750	Q13620
P62750	P62913
P62750	Q86VM9
P62750	Q9NQC7
P62750	Q9Y3U8
P62750	P62857
P62750	P62899
P62750	Q13148
P62750	Q96GG9
P62750	Q92905
P62750	Q02878
P62750	P62979
P62750	P62829
P62750	P62993
P62750	Q9H0R8
P62750	Q9UBX2
P62750	Q13618
P62750	Q13616
P62750	P63173
P62750	Q02543
P62750	P62851
P62750	Q15843
P62750	P62847
P62750	Q9UBS0
P62750	Q9UL18
P62750	Q9UKV8
P62750	Q13573
P62750	Q15050
P62750	Q969P0
P62750	P67809
P62750	Q9BV73
P62750	Q07020
P62750	P62888
P62750	P62917
P62750	Q504Q3
P62750	P68104
P62750	P62906
P62750	Q14872
P62750	Q00839
Q07020	Q969P0
Q07020	Q71UM5
Q07020	Q13618
Q07020	Q99558
Q07020	Q14999
Q07020	Q12905
Q07020	Q13233
Q07020	Q96L21
Q07020	Q9NRD1
Q07020	Q15050
Q07020	Q15843
Q07020	Q92905
Q07020	Q9BV73
Q07020	Q9UNX3
Q07020	Q9H0R8
Q07020	Q9UBX2
Q07020	Q504Q3
Q07020	Q9H492
Q07020	Q13617
Q07020	Q8NHW5
Q07020	Q86VP6
Q07020	Q9UL18
Q07020	Q93034
Q07020	Q9Y3U8
Q07020	Q13616
Q07020	Q86VM9
Q07020	Q96GG9
Q07020	Q7Z6Z7
Q07020	Q12906
Q07020	Q9UKV8
Q07020	Q9NQC7
Q07020	Q13620
Q02878	Q92905
Q02878	Q08211
Q02878	Q9NQC7
Q02878	Q9NRD1
Q02878	Q15050
Q02878	Q7Z6Z7
Q02878	Q86VP6
Q02878	Q86VM9
Q02878	Q13620
Q02878	Q9H0R8
Q02878	Q99558
Q02878	Q969P0
Q02878	Q12905
Q02878	Q12906
Q02878	Q9UQ35
Q02878	Q71UM5
Q02878	Q13616
Q02878	Q9Y3U8
Q02878	Q9UNX3
Q02878	Q96GG9
Q02878	Q13618
Q02878	Q13148
Q02878	Q9UBX2
Q02878	Q8NHW5
Q02878	Q9H492
Q02878	Q13617
Q02878	Q07020
Q02878	Q93034
Q02878	Q15843
Q02878	Q9UL18
Q02878	Q9BV73
Q02878	Q9UKV8
Q02878	Q14999
Q02878	Q504Q3
Q02878	Q96L21
P62899	Q9BV73
P62899	Q969P0
P62899	P63173
P62899	Q9Y3U8
P62899	Q96L21
P62899	Q13617
P62899	Q07020
P62899	Q12905
P62899	Q8NHW5
P62899	Q9UBX2
P62899	Q02878
P62899	P62917
P62899	Q99459
P62899	Q71UM5
P62899	Q01844
P62899	Q9H492
P62899	Q15050
P62899	Q13620
P62899	P83731
P62899	P68104
P62899	Q504Q3
P62899	Q13148
P62899	Q08211
P62899	Q9H0R8
P62899	P84098
P62899	Q12906
P62899	Q86VM9
P62899	Q02543
P62899	Q9UKV8
P62899	P63104
P62899	P62979
P62899	Q9UL18
P62899	P63220
P62899	Q13618
P62899	P62993
P62899	P62913
P62899	Q9NQC7
P62899	Q93034
P62899	Q13573
P62899	P62906
P62899	Q92905
P62899	Q13616
P62899	Q15843
P62899	Q86VP6
P62854	Q02543
P62854	Q9Y3U8
P62854	P63173
P62854	P62910
P62854	Q12906
P62854	Q07020
P62854	P63220
P62854	Q14999
P62854	P83731
P62854	P62913
P62854	Q08211
P62854	P62906
P62854	Q9NQC7
P62854	Q8NHW5
P62854	P62888
P62854	Q9UL18
P62854	Q96L21
P62854	Q02878
P62854	Q12905
P62854	P62857
P62854	P62979
P62854	P84098
P62854	Q00839
P62854	P62993
P62854	Q9UNX3
P62854	P62917
P62854	Q9UKV8
P62854	P62899
P62854	Q504Q3
P62854	Q9UBQ5
P62854	Q15843
Q504Q3	Q71U36
Q504Q3	Q9UQ35
Q504Q3	Q99729
Q504Q3	Q9BRK4
Q504Q3	Q9NZI8
Q504Q3	Q9Y3U8
Q504Q3	Q9UNX3
Q504Q3	Q99832
P62888	P63173
P62888	P63220
P62888	Q9BV73
P62888	Q9UBX2
P62888	Q02878
P62888	Q504Q3
P62888	Q92905
P62888	Q13616
P62888	Q9UNX3
P62888	P62899
P62888	Q13620
P62888	P62917
P62888	Q8NHW5
P62888	Q49A26
P62888	Q969P0
P62888	Q00005
P62888	Q86VM9
P62888	Q13233
P62888	Q05639
P62888	P68104
P62888	Q86VP6
P62888	P62993
P62888	Q00839
P62888	P83731
P62888	Q15843
P62888	Q96L21
P62888	Q07020
P62888	Q9NQC7
P62888	Q9Y3U8
P62888	P62906
P62888	Q9H0R8
P62888	P62910
P62888	Q99558
P62888	P84098
P62888	Q02543
P62888	P62913
P62888	Q13618
P62913	Q12905
P62913	Q969P0
P62913	Q93034
P62913	P62917
P62913	Q86VM9
P62913	Q86VP6
P62913	P62979
P62913	Q96L21
P62913	Q15050
P62913	Q15843
P62913	Q00839
P62913	Q71UM5
P62913	Q13148
P62913	Q00005
P62913	P63220
P62913	Q9UBX2
