source	target
P15531	Q96HA8
P15531	P51116
P0CG48	P35372
P0CG48	O60337
P0CG48	P40692
P0CG48	Q9C005
P0CG48	Q9UKT9
P0CG48	Q5D1E8
P0CG48	P98066
P0CG48	O15169
P0CG48	P98160
P0CG48	Q9UMX0
P0CG48	P07948
P0CG48	P36897
P0CG48	Q92624
P0CG48	P62195
P0CG48	P00387
P0CG48	P25391
P0CG48	P51659
P0CG48	P11362
P0CG48	P84077
P0CG48	Q9Y312
P0CG48	Q04771
P0CG48	Q9UHL9
P0CG48	Q86VN1
P0CG48	Q96AD5
P0CG48	Q15369
P0CG48	P63010
P03372	Q9NXF8
P03372	P27348
Q96BY9	Q9NRS6
Q96BY9	P21673
P11021	P36955
P11021	Q16543
P11021	Q8WUH6
Q08379	Q9BWG6
Q08379	P80370
Q08379	P15622
Q08379	Q8TAU3
Q08379	Q9H668
P55085	Q9NRP0
P55085	P02545
P62195	O43805
P62195	O14807
O95870	P48201
O95870	P13164
P17612	P01100
P17612	P36382
Q9BUZ4	Q6A162
Q9BUZ4	Q9Y2W2
Q9BUZ4	Q12933
Q9BUZ4	P13224
Q9BUZ4	P12814
P04049	P61981
P04049	O14807
P15056	P61981
P15056	O14807
P27348	P61981
P27348	P50402
P27348	P17302
P27348	P62258
P27348	Q06830
P27348	Q16543
P27348	P07437
P27348	P31946
P27348	O14654
P27348	P50990
P27348	Q15772
P27348	Q04917
P27348	P55196
P27348	Q9NRR5
P27348	P23142
P27348	P30556
P27348	Q13617
P27348	P06732
P27348	F7VJQ1
P27348	P68400
Q8NHQ1	P14555
Q8NHQ1	Q9BXS6
Q8NHQ1	O95251
Q96SW2	P40227
Q96SW2	Q8WUH6
Q08380	P17987
Q08380	Q14999
Q8TAU3	Q96S65
P54920	P55072
Q99962	P50402
Q99962	P05452
Q16394	Q92882
Q16394	Q8N205
P07996	P98066
P07996	P08567
Q8TEW0	Q15223
Q8TEW0	P61981
P05408	Q9UMX0
P05408	P55055
P05408	P30556
P05408	Q07666
P05408	O43586
Q13620	Q16543
Q13620	Q53RE8
Q13620	P63172
P55072	P04114
P55072	Q02750
P55072	P41240
P55072	Q9BQE4
P55072	Q92956
P55072	O15503
P55072	P63241
P55072	Q9BUL8
P55072	P35241
P55072	Q96EK5
Q9Y6K9	P01100
Q9Y6K9	Q13137
Q9Y6K9	P05141
Q9Y6K9	Q5D1E8
Q9Y6K9	Q96EY1
Q9Y6K9	P55198
Q9Y6K9	P02008
Q9Y6K9	O15488
Q15661	P09429
Q15661	P16333
Q15661	P27986
P56181	P12236
P56181	Q9UBU9
P56181	P34897
P56181	Q9HCE1
P15692	P49763
P15692	P07900
P62136	Q96S65
P62136	P62258
P46108	P61981
P46108	Q68G74
Q9NVU0	Q8WUH6
Q9NVU0	P12236
Q01814	Q9NRP0
Q01814	P62258
P14210	Q6UY14
P14210	P05452
P14210	P38398
P14210	P02751
P14210	P08581
P14210	P50222
P14210	P04004
P14210	Q9Y5Y6
P14210	P16070
Q9UIQ6	Q8WUH6
Q9UIQ6	Q01844
P07437	Q9NQP4
P07437	P48039
P07437	P60033
P07437	Q13573
P07437	Q04864
P07437	O43586
P07437	P36873
P07437	Q6IBW4
Q15382	Q12933
Q15382	O43889
Q15382	Q9UI14
Q16774	Q15051
Q16774	Q6DKK2
Q16774	Q9H832
Q16774	O00483
Q16774	Q9HCE1
Q16774	Q16082
Q16774	Q9NZ94
Q16774	Q14103
P40616	Q13439
Q14129	Q9NQZ6
Q14129	Q12933
Q92882	P02545
Q13439	P48201
P49368	P17987
P49368	Q9P2G9
Q9HCE1	Q16543
Q9HCE1	P48201
Q9HCE1	Q9NXF8
Q9HCE1	Q96FQ6
Q9UBQ5	Q16666
Q5JUX0	Q9NQP4
Q5JUX0	P34947
Q5JUX0	P32121
Q5JUX0	Q9BUA3
Q5JUX0	Q9NQC7
Q5JUX0	Q15717
Q15717	Q96S65
Q15717	P61981
Q15717	Q8WUH6
P02545	Q15233
P02545	Q8WVX3
P02545	Q8NF91
P02545	Q7L5A8
P02545	P63172
P02545	Q9BQB6
P02545	Q15041
P02545	Q96GX5
P02545	Q8N0S2
P02545	O95789
P02545	O43889
P02545	Q9NQC3
P02545	Q96HR9
P02545	Q9ULM2
P02545	Q14999
P04114	Q99541
P60033	P13164
P60033	Q05639
P60033	Q15233
F7VJQ1	Q15223
Q9NRY6	O15162
Q9UK11	Q9NQZ6
Q9UK11	Q99750
O76095	O15392
P26045	P61981
P26045	O14734
Q96EY1	P20309
Q7Z4H7	Q6NSJ2
Q7Z4H7	P05067
Q9H000	Q12926
O43739	P15408
O43739	Q8N0S2
O43739	P35568
O43739	O43482
O43739	Q3KP66
O43739	Q969H4
O43739	P06213
O43739	P42336
P49902	P04637
P49902	Q9NRS6
Q13162	Q01844
Q13162	Q06830
Q13162	P04004
Q12926	Q86SE5
Q12926	Q14576
Q12926	Q8IUH3
P04637	P17987
P04637	P55774
P04637	P53779
P04637	P20023
P04637	P16885
P04637	Q9UKV8
P04637	Q15714
P04637	P08047
P04637	P12429
P04637	Q13200
P04637	P29590
P04637	O15524
P04637	P08559
P04637	P68871
P04637	P16070
P04637	P09429
Q00610	P61981
Q00610	Q5SW96
Q06124	P62258
Q06124	P36955
Q9H9H4	O60504
Q96S65	P29972
Q96S65	Q96SQ5
Q96S65	P36873
Q96S65	Q8N8B7
Q9NX57	Q9UBU9
P17931	Q6ZP80
P17931	P05141
P49736	P62258
P49736	P69892
Q9NYD6	P61981
Q9NYD6	Q9NRS6
Q92956	Q12933
O95273	P82980
P0C7X2	Q9NQZ6
P0C7X2	Q12933
Q07666	Q01844
Q8N5R6	Q9BWG6
Q8N5R6	Q99750
Q8N5R6	Q9Y3Q8
Q8N5R6	Q6DKK2
Q8N5R6	Q96R06
Q9NRW1	Q7L8A9
Q9NRW1	P05067
Q9NRW1	P84077
Q96HR9	Q9NRS6
O60504	Q9NQZ6
Q16666	Q49A26
Q16666	Q8NF91
Q16666	O95251
Q16666	P09038
Q8TEU7	P61981
Q8TEU7	O14807
Q6ZP80	Q8N205
Q00403	P35914
