source	target
Q12926	Q14576
Q12926	Q9NZI8
P11940	P25705
Q9Y4E8	Q16777
O95153	Q7L4P6
P12931	O95786
O75928	Q13363
O75928	O95273
Q99879	P49736
O60519	Q15717
O60519	Q9UJW3
Q9NR30	Q08211
O60262	Q9UHK0
O60262	Q8N5S1
O60262	Q9NPH0
O60262	P04899
O60262	Q96QD9
O60262	P62879
P33778	Q08211
P33778	P05067
P28370	P51532
P62937	P00338
P62937	P05067
Q9H3P2	Q8IZ63
Q9H3P2	Q8IUQ4
P67809	Q08211
P67809	P78362
P30281	Q13363
P51808	P63172
P02545	P84103
P02545	Q9Y287
P02545	Q96FN5
Q07021	P25705
Q07021	Q9NPH0
P0C7W6	Q969G3
Q7Z7J5	Q7L190
Q9Y2M0	P68431
Q5QNW6	P49736
Q9Y6K9	O95786
Q9Y6K9	O15488
O60814	P62805
P49959	Q08211
A5A3E0	Q96KN2
P51531	Q96ST3
Q9BQE3	P25705
P07195	P00338
Q99623	Q14676
Q9UK22	P51965
Q9UK22	P51668
Q9UK22	Q86T26
Q9UMS4	Q14683
Q9UMS4	P07947
P67870	Q16666
P67870	O60551
O14981	Q15717
P23527	Q9HCE1
P23527	P49736
P63167	Q16666
Q96EY1	P38398
O14770	Q6P1W5
Q9UHK0	P38398
Q9HAV7	P27694
P22681	P07947
Q9P1Z3	Q15717
Q9P1Z3	Q9Y3Q4
Q96GS6	O60760
Q96GS6	Q08379
Q13547	Q96ST3
Q13547	P08670
Q13547	Q9UJW3
P63165	Q9UKT9
Q7Z434	O95786
Q7Z434	Q9BYX4
Q7Z434	Q9BPW9
Q92624	Q13426
Q92624	P05067
P12277	Q9HCE1
Q8N5R6	P50402
O95602	Q9Y265
Q15717	Q8TAQ2
Q15717	P19838
Q15717	Q9Y265
Q15717	P62826
Q15717	Q96B97
Q15717	Q13247
Q15717	Q8IYN2
Q15717	Q92769
Q15717	Q96GY0
Q8TAQ2	Q96ST3
Q8TAQ2	P62993
Q8TAQ2	O75381
Q8TAQ2	Q01844
Q6FI13	P68431
Q6FI13	P62993
Q8TF71	Q9H0H5
Q8TF71	Q6NXE6
Q8TF71	Q8NFQ8
Q8TF71	Q86T26
Q8TF71	Q9NZ08
Q8TF71	Q96KN2
Q8TF71	Q9BPW9
Q8TF71	O15488
Q9HCC0	P19838
P43355	P78347
Q8NHQ1	P26196
P12004	Q08211
P55854	Q9UER7
Q92878	Q9UER7
P29590	Q96ST3
P29590	O14734
P29590	P04629
Q9Y5A6	P38398
Q9Y5A6	P05067
Q7L4P6	Q93009
Q7L4P6	P05067
Q9UBU9	Q08211
Q9UBU9	Q8IYN2
Q9UBU9	O75439
Q9UBU9	Q96QD9
Q9UBU9	Q9NZ08
Q9UBU9	Q16543
Q8N9W6	Q6P1W5
P13010	Q08211
P84243	P51532
P84243	Q9UJW3
Q99856	P23497
Q13137	Q9UER7
Q08379	Q9UKT9
Q08379	P29474
Q14576	P78362
Q14576	O75381
Q14576	Q01844
Q14576	P04629
Q14576	P01023
Q14576	P29474
Q14576	Q16543
Q14576	Q9BQ95
P52701	Q16666
P17844	Q08211
Q8N257	P68431
Q12888	Q16666
Q8ND90	Q9UER7
P62826	Q96ST3
Q13404	P51965
P06241	Q08211
P06241	Q8N5S1
P06241	Q9Y3Q4
Q13243	P84103
Q86XP3	Q9Y265
Q86XP3	Q15427
P62736	Q14203
P62736	P27694
P05166	P19838
P05166	Q9HCE1
Q9NZI8	Q08211
Q04206	Q08211
Q04206	Q9BQ95
Q04206	Q9UJW3
Q8IUQ4	P62805
Q8IUQ4	P49427
Q9BYX4	P62136
Q92922	Q96ST3
P68104	P68431
Q9Y2G8	Q71U36
Q16633	P78347
Q96KK5	P49736
Q7L2Z9	P62805
Q9NPF5	Q9UER7
P62136	Q9BTM1
P78527	Q08211
P04406	Q13363
P04406	P01023
P04406	P05067
Q9Y4K3	Q08211
P10809	P68431
P10809	P62993
Q96RQ3	Q14203
Q93079	P49736
Q6P1W5	P07947
Q6P1W5	P62993
Q8IYA8	Q96FJ2
Q9UPY8	Q14203
P05165	P19838
P06748	P25705
P06748	P04899
Q9UQL6	Q9UKT9
Q9UQL6	P62879
Q8WYH8	Q9UKT9
P06733	P00338
P06733	P62807
P12036	P62993
O15379	P51532
Q96B97	P25705
P12268	P27694
P12268	P38398
P22061	Q12873
P22061	P62993
O75558	Q9UKT9
O75558	P05067
P54132	Q14683
Q8N8U2	Q16695
Q8N8U2	Q9HCE1
Q96EZ8	Q9UER7
Q7Z4H7	P16989
Q7Z4H7	P05067
Q9Y287	P05067
P35659	Q9UER7
Q99878	P49736
P51668	O95786
P51668	Q9BWF2
P29692	Q13363
P29692	P05067
P49736	P20671
P49736	Q99877
P49736	P57053
P49736	Q9BTM1
P49736	Q93077
P49736	P58876
P49736	P62993
P49736	P05067
P20585	P27694
P09884	Q14683
P43360	Q14203
P43360	Q6NXE6
P0CG48	Q9UKT9
P0CG48	P49427
P0CG48	P14735
P0CG48	Q8NFQ8
Q8N6Y0	Q96GM5
P63267	P50402
P78347	P68431
P78347	Q9UJW3
Q92769	Q9UKT9
Q96IJ6	P19838
P0C0S8	P68431
Q92522	Q16666
P19338	Q08211
P43246	Q14683
Q8TEE9	Q96ST3
O60264	Q96ST3
O60264	P62993
Q8WWM7	P26196
