drugbank_id,drug_score,drug_neg_log_score,drug_name,drug_atc_code,drug_atc_label,uniprot_id,symbol,ensembl_id
DB04855,7.155287739337206e-05,4.14537289704135,Dronedarone,C01,Cardiac therapy ,Q8WUI4,HDAC7,ENSG00000061273
DB04855,7.155287739337206e-05,4.14537289704135,Dronedarone,C01,Cardiac therapy ,P07947,YES1,ENSG00000176105
DB04855,7.155287739337206e-05,4.14537289704135,Dronedarone,C01,Cardiac therapy ,P09884,POLA1,ENSG00000101868
DB04855,7.155287739337206e-05,4.14537289704135,Dronedarone,C01,Cardiac therapy ,Q92769,HDAC2,ENSG00000196591
DB04855,7.155287739337206e-05,4.14537289704135,Dronedarone,C01,Cardiac therapy ,P06748,NPM1,ENSG00000181163
DB04855,7.155287739337206e-05,4.14537289704135,Dronedarone,C01,Cardiac therapy ,P12931,SRC,ENSG00000197122
DB04855,7.155287739337206e-05,4.14537289704135,Dronedarone,C01,Cardiac therapy ,O15379,HDAC3,ENSG00000171720
DB04855,7.155287739337206e-05,4.14537289704135,Dronedarone,C01,Cardiac therapy ,Q9BQE3,TUBA1C,ENSG00000167553
DB04855,7.155287739337206e-05,4.14537289704135,Dronedarone,C01,Cardiac therapy ,Q9UKV0,HDAC9,ENSG00000048052
DB04855,7.155287739337206e-05,4.14537289704135,Dronedarone,C01,Cardiac therapy ,P12268,IMPDH2,ENSG00000178035
DB04855,7.155287739337206e-05,4.14537289704135,Dronedarone,C01,Cardiac therapy ,Q13547,HDAC1,ENSG00000116478
DB04855,7.155287739337206e-05,4.14537289704135,Dronedarone,C01,Cardiac therapy ,Q71U36,TUBA1A,ENSG00000167552
DB04855,7.155287739337206e-05,4.14537289704135,Dronedarone,C01,Cardiac therapy ,P56524,HDAC4,ENSG00000068024
DB04855,7.155287739337206e-05,4.14537289704135,Dronedarone,C01,Cardiac therapy ,P04629,NTRK1,ENSG00000198400
DB04855,7.155287739337206e-05,4.14537289704135,Dronedarone,C01,Cardiac therapy ,P06241,FYN,ENSG00000010810
DB04855,7.155287739337206e-05,4.14537289704135,Dronedarone,C01,Cardiac therapy ,Q9UQL6,HDAC5,ENSG00000108840
DB09083,6.130419255089772e-05,4.212509823369727,Ivabradine,C01,Cardiac therapy,Q8WUI4,HDAC7,ENSG00000061273
DB09083,6.130419255089772e-05,4.212509823369727,Ivabradine,C01,Cardiac therapy,P07947,YES1,ENSG00000176105
DB09083,6.130419255089772e-05,4.212509823369727,Ivabradine,C01,Cardiac therapy,P09884,POLA1,ENSG00000101868
DB09083,6.130419255089772e-05,4.212509823369727,Ivabradine,C01,Cardiac therapy,Q92769,HDAC2,ENSG00000196591
DB09083,6.130419255089772e-05,4.212509823369727,Ivabradine,C01,Cardiac therapy,P06748,NPM1,ENSG00000181163
DB09083,6.130419255089772e-05,4.212509823369727,Ivabradine,C01,Cardiac therapy,P12931,SRC,ENSG00000197122
DB09083,6.130419255089772e-05,4.212509823369727,Ivabradine,C01,Cardiac therapy,O15379,HDAC3,ENSG00000171720
DB09083,6.130419255089772e-05,4.212509823369727,Ivabradine,C01,Cardiac therapy,Q9BQE3,TUBA1C,ENSG00000167553
DB09083,6.130419255089772e-05,4.212509823369727,Ivabradine,C01,Cardiac therapy,Q9UKV0,HDAC9,ENSG00000048052
