gene	n_methods
Q9UKT9	6
Q15750	6
O00308	6
O14964	6
Q8N5U6	6
Q9NYJ8	6
Q9BSJ6	6
O95273	6
Q9BYM8	6
Q96S65	6
Q9BQ66	6
Q9NQZ6	6
Q9Y4K3	6
Q9NVC6	6
P51617	6
Q7RTU7	6
Q9NX70	6
O43513	6
Q9ULK4	6
Q96G25	6
O00458	6
P49116	6
P24863	6
Q8N4H5	5
Q9H3M7	5
Q15007	5
P57105	5
Q5TAQ9	5
P08237	5
P51610	5
Q96JM7	5
Q9HD26	5
O43559	5
Q15843	5
Q01081	5
Q8WW12	5
P17980	5
Q9HAU4	5
Q16666	5
P55072	5
Q99816	5
P0CG48	5
Q96B97	5
Q8N9W6	5
Q5VSY0	5
Q15427	5
Q6NXP0	5
Q5VTL8	5
Q14289	5
Q9P1W9	5
Q8TAU3	4
Q92769	4
P35222	4
Q13547	4
P56524	4
P15923	4
Q9UBU9	3
P62136	3
Q15717	3
P29972	3
P27986	3
P05067	3
P78362	3
P08238	3
Q9ULM2	3
Q9NX40	3
Q13643	3
P15622	3
Q14129	3
P36873	3
Q93062	3
Q96SQ5	3
Q15006	2
P0C7X2	2
P26641	2
Q8N6Y0	2
Q9H0R8	2
Q6P1W5	2
Q12952	2
P32970	2
O15056	2
P51784	2
Q8TEY7	2
P05412	2
Q9HCE1	2
P04637	2
P63279	2
P03372	2
P15172	2
A0JLT2	2
Q5T200	2
Q00987	2
O75844	2
Q9BZE4	2
Q9UHL9	2
Q96PU4	2
O43251	2
Q9BQD3	2
Q15311	2
P07550	2
P68400	2
P60520	2
Q6NYC1	2
Q92734	2
Q9H492	2
Q15637	2
P60709	2
P61981	2
O95400	2
P19525	2
Q9GZZ9	2
Q5VTB9	2
P35240	2
P19838	1
P35869	1
Q12778	1
P28065	1
P14921	1
P19793	1
P61218	1
P10828	1
P15976	1
P17947	1
P25791	1
Q8WTS6	1
P49848	1
Q13133	1
P23193	1
P18074	1
P41182	1
O95644	1
Q03181	1
P55055	1
P04150	1
P48443	1
P23769	1
P29083	1
Q96HR3	1
Q9BWU1	1
Q969G3	1
O15350	1
Q13950	1
P06400	1
P29590	1
P10276	1
Q86YW9	1
P17676	1
P06401	1
P11473	1
Q01196	1
P11831	1
P49715	1
P41235	1
P08047	1
P19447	1
Q9UJW3	1
Q00403	1
P62875	1
Q9UBK2	1
P31749	1
Q96ST3	1
P36954	1
P36956	1
P10827	1
Q02447	1
Q13887	1
Q5VYS4	1
Q8TE01	1
Q8N7G1	1
O75469	1
O95988	1
O00267	1
O75376	1
O75177	1
O94762	1
O15514	1
O95365	1
O15105	1
O15379	1
Q9P086	1
P0CAP2	1
Q7Z713	1
O43524	1
P16220	1
Q14994	1
Q03112	1
Q15528	1
O75448	1
O60244	1
O75586	1
Q9Y5B0	1
P30954	1
P04629	1
O14645	1
O15392	1
P01100	1
O95402	1
Q86TW2	1
Q9BQ65	1
P0C7P0	1
O14980	1
P48436	1
Q7L4I2	1
Q8TB05	1
Q8N6N6	1
P57796	1
B0FTY2	1
B2R4U6	1
P78556	1
Q09028	1
Q8N9V2	1
Q5VVX9	1
Q12765	1
O14920	1
Q9BWE0	1
P51795	1
Q96J02	1
Q15012	1
Q8N2H9	1
Q15306	1
O94885	1
Q99706	1
Q8NFU5	1
Q09FC8	1
P28482	1
P25490	1
Q969H0	1
P63165	1
P49841	1
P38398	1
P22736	1
Q9Y6Q9	1
Q9Y4A5	1
P20226	1
Q92830	1
O75478	1
O75925	1
Q09472	1
P18847	1
Q9NPJ6	1
P38936	1
P40763	1
Q01094	1
Q14241	1
Q7KZ85	1
Q9NQG5	1
Q15796	1
Q8IXW5	1
Q9HCN4	1
Q92993	1
P48552	1
P52435	1
Q9UHW5	1
Q92831	1
Q92934	1
O43542	1
Q7Z6Z7	1
Q8N8B7	1
Q14258	1
Q9Y6K9	1
P07900	1
P62993	1
O14497	1
A0A0C4ZLG8	1
Q86VP6	1
Q96RT1	1
P52948	1
P02545	1
P51532	1
Q99873	1
Q13363	1
P52434	1
Q15648	1
P78527	1
P09874	1
P12931	1
P84022	1
Q92793	1
Q15788	1
Q92922	1
Q9Y2X0	1
Q9H944	1
P62987	1
Q92731	1
Q9Y5L4	1
Q9Y618	1
P10275	1
P20749	1
Q9H204	1
Q71SY5	1
Q96GM5	1
Q07869	1
Q96RI1	1
Q9NWS0	1
P19388	1
Q9Y3C7	1
Q05516	1
P13984	1
P01106	1
Q14192	1
P35269	1
P26358	1
P24385	1
Q13569	1
Q9Y3R0	1
Q6P2C8	1
Q9BTT4	1
Q9NWA0	1
Q96RN5	1
Q93074	1
Q96PU8	1
Q9H668	1
Q71F56	1
Q9UHV7	1
Q9BUE0	1
Q15466	1
Q15596	1
P50750	1
Q86X55	1
P62487	1
P50613	1
Q92759	1
Q13503	1
Q8TAQ2	1
Q12824	1
P51531	1
Q16665	1
Q96EB6	1
P51946	1
Q13485	1
P17844	1
Q04206	1
P42224	1
P53803	1
P24928	1
P30876	1
P32780	1
Q15797	1
P46531	1
Q99814	1
Q14686	1
Q9UK53	1
P19387	1
Q15650	1
P37231	1
Q13351	1
P49336	1
