ensembl_id,symbol,Advanced Clinical,Approved Drug,Druggable Family,High-Quality Ligand,High-Quality Pocket,Med-Quality Pocket,Phase 1 Clinical,Structure with Ligand,uniprot_id,druggability_rank
ENSG00000068024,HDAC4,False,True,True,True,False,True,False,True,P56524,1
ENSG00000196591,HDAC2,False,True,True,True,False,True,False,True,Q92769,1
ENSG00000165916,PSMC3,False,True,False,True,False,False,False,True,P17980,1
ENSG00000116478,HDAC1,False,True,True,True,False,False,False,True,Q13547,1
ENSG00000120899,PTK2B,True,False,True,True,True,False,False,True,Q14289,2
ENSG00000102096,PIM2,False,False,True,True,True,False,True,True,Q9P1W9,3
ENSG00000168036,CTNNB1,False,False,True,True,False,False,False,True,P35222,4
ENSG00000165280,VCP,False,False,True,True,True,False,False,True,P55072,4
ENSG00000112237,CCNC,False,False,False,True,False,False,False,True,P24863,4
ENSG00000177463,NR2C2,False,False,True,True,False,True,False,False,P49116,4
ENSG00000161405,IKZF3,False,False,False,True,False,False,False,False,Q9UKT9,4
ENSG00000112282,MED23,False,False,False,True,False,False,False,True,Q9ULK4,4
ENSG00000100324,TAB1,False,False,True,True,True,False,False,True,Q15750,4
ENSG00000184216,IRAK1,False,False,True,True,False,False,False,True,P51617,4
ENSG00000198945,L3MBTL3,False,False,False,True,False,False,False,True,Q96JM7,4
ENSG00000155868,MED7,False,False,False,False,False,False,False,True,O43513,5
ENSG00000047932,GOPC,False,False,False,False,False,False,False,True,Q9HD26,5
ENSG00000129559,NEDD8,False,False,False,False,False,False,False,True,Q15843,5
ENSG00000063322,MED29,False,False,False,False,False,False,False,True,Q9NX70,5
ENSG00000159479,MED8,False,False,False,False,False,False,False,True,Q96G25,5
ENSG00000074319,TSG101,False,False,False,False,True,False,False,True,Q99816,5
ENSG00000150991,UBC,False,False,False,False,True,False,False,True,P0CG48,5
ENSG00000143368,SF3B4,False,False,False,False,False,False,False,True,Q15427,5
ENSG00000042429,MED17,False,False,False,False,False,False,False,True,Q9NVC6,5
ENSG00000185359,HGS,False,False,False,False,False,False,False,True,O14964,5
ENSG00000198373,WWP2,False,False,False,False,False,False,False,True,O00308,5
ENSG00000175768,TOMM5,False,False,False,False,False,False,False,True,Q8N4H5,5
ENSG00000172534,HCFC1,False,False,False,False,False,False,False,True,P51610,5
ENSG00000108854,SMURF2,False,False,False,False,True,False,False,False,Q9HAU4,6
