P13385,Q8NER5
P55316,Q9NSC2
Q15049,Q9Y4J8
Q9H2J7,Q9ULR3
P28335,P78352
P28335,Q16720
P28335,Q9NZH0
P28335,P60201
P28335,Q01814
O60939,Q9UQ16
O60939,Q13509
O60939,P23468
Q05639,Q92784
Q12926,Q86SE5
Q12926,Q9ULR5
Q12926,Q14576
Q12926,Q6VAB6
Q12926,Q8N6W0
Q15818,Q8N2G4
Q02962,Q9HBH7
Q02962,Q14627
Q02962,Q96S79
Q02962,Q92876
P60880,Q16623
P60880,Q86UR5
P60880,Q86SS6
P60880,Q9BQG1
P60880,Q9C026
Q13224,Q7Z7J9
Q13224,Q15700
Q13224,Q9UQM7
Q13224,Q13554
O75069,Q8IYR0
P05129,Q13224
P05129,P14867
P05129,Q96A00
P05129,Q92686
P05129,P48058
P05129,Q9NY46
P05129,P14136
P05129,Q05586
O60282,Q12840
O75553,P51693
O75553,Q9NWB1
O75553,Q96MN9
O75553,P98164
O75553,Q6P1W5
O76081,Q9Y2G0
O76081,Q86TV6
O76081,P19086
O76081,Q93045
O76081,Q12756
O76081,P09471
P10451,Q9NZI2
P10451,Q9UBN1
P10451,P78559
P10451,Q9H426
P10451,Q7Z570
Q00005,Q05639
O15540,Q9UI15
P17600,Q92777
Q9HC56,Q9NS75
P35609,Q13224
P35609,Q9H2S1
P35609,P78352
P35609,Q14D33
P35609,Q05586
O14514,O15354
O14514,P78352
Q6VAB6,Q96N16
Q17RF5,Q8TDW7
P62166,Q9NZV8
P62166,Q9BTV5
P62166,Q8N5S1
P20265,P35716
Q8N6N7,Q9ULD0
P04350,Q9Y574
P04350,Q01101
Q6ZU52,Q9BUH8
P00540,P35609
P00540,P14136
P00540,Q96JN2
A5D8V7,Q7Z6G3
P14136,Q16352
P14136,Q9UIF3
P14136,Q6ZU52
P14136,Q8IYR0
Q07002,Q8NA56
P26367,P41225
P26367,P50458
P26367,Q9H2X6
P26367,Q92786
P26367,P58304
Q12860,Q92752
Q12860,Q9UHC6
P19022,Q13002
P19022,Q9UQB3
P19022,Q9BV47
P19022,Q9UI47
P19022,Q05586
Q8WXF0,Q9ULR3
P78352,Q09470
P78352,P78508
P78352,P98164
P78352,Q9P0K1
P78352,Q9NZ94
P78352,Q8N2Q7
P78352,Q12879
P78352,Q05586
P78352,Q16478
P78352,Q13002
P78352,Q01814
P78352,Q8WXI2
P78352,Q9Y566
P78352,P78559
P78352,Q7LC44
P78352,Q9P2E7
P78352,Q15700
P78352,Q13224
P78352,Q9Y2T3
P78352,Q15303
P78352,Q14957
P78352,Q9NZV8
P78352,Q9BUH8
P42262,P42263
P42262,P78352
P42262,Q13002
P42262,Q99490
Q05586,Q13224
Q05586,Q16352
Q05586,Q15303
Q05586,Q12879
Q05586,Q15700
Q7Z6J6,Q92823
P08183,Q8NCQ5
Q9NZV8,Q9P0X4
P09471,P49802
P09471,Q9UQM7
P09471,P63215
P09471,P30542
P09471,Q00975
P09471,Q9UQD0
Q13509,Q6ZVZ8
Q13509,Q92876
Q13509,Q9UBL9
Q13509,Q9Y5Q6
