source	target
P63172	Q9Y4X4
P51617	Q15750
P51617	Q8IV45
P51617	Q15306
P51617	Q9Y6K9
P51617	Q9NYJ8
P51617	Q9Y4K3
Q8ND90	Q96BY2
Q8ND90	Q96JP0
Q8ND90	Q9UQ90
Q8ND90	Q9H0A9
Q8ND90	Q96IZ5
Q08379	Q5H9K5
Q08379	Q86VK4
Q08379	Q8IXS8
Q08379	Q14D33
Q08379	Q96S90
Q08379	Q0P5N6
Q08379	Q96IZ5
Q08379	Q96M11
Q08379	Q9UPN6
Q08379	Q9NPJ8
Q9Y4K3	Q9Y6K9
Q8N5C8	Q9Y6K9
Q8N5C8	Q9Y4K3
Q8N5C8	Q9NYJ8
Q8IXQ5	Q8N4J0
Q86V59	Q8ND90
Q86V59	Q96BY2
Q86V59	Q9Y6K9
Q9NYJ8	Q9Y6K9
Q9NYJ8	Q9Y4K3
Q49A92	Q5JR59
Q15750	Q9Y6K9
Q15750	Q8N4J0
Q15750	Q8N5C8
Q15750	Q9NYJ8
Q15750	Q9Y4K3
Q15750	Q9UIC8
Q01484	Q92823
P49116	Q8IXQ5
P49116	Q9NYJ8
P49116	Q15750
P49116	Q9Y4K3
Q16204	Q8TF05
Q16204	Q5JR59
Q96P71	Q9Y6K9
Q86VK4	Q8ND90
Q8N4J0	Q9NYJ8
Q5JR59	Q9UPN6
Q5JR59	Q96S90
Q5JR59	Q86VK4
Q5JR59	Q9UQ90
Q5JR59	Q96MS0
Q5JR59	Q8WWX9
Q5JR59	Q8TB37
Q8TF05	Q9Y4K3
Q14D33	Q8ND90
Q14D33	Q5JR59
P57771	Q9NPJ8
P57771	Q08379
Q86XT2	Q99816
Q10589	Q15750
Q10589	Q9NYJ8
Q15306	Q9Y4K3
O14964	Q86XT2
O14964	Q12765
O14964	Q08379
O14964	Q99816
O14964	Q8ND90
O14964	Q10589
Q12765	Q9NYJ8
Q12765	Q15750
P51808	P63172
Q8NFM7	Q9Y4K3
Q99706	Q9Y4K3
O00165	Q9UPY8
O00165	Q01484
A6NHR9	Q99816
O14920	Q9NYJ8
O14920	Q8N5C8
O14920	Q9Y6K9
O14920	Q9Y4K3
O14920	Q15750
O14920	P51617
O14920	P49116
O76080	Q9Y4K3
O76080	Q9Y6K9
O14836	Q9Y4K3
O14836	P51617
O95872	Q08379
O95872	Q8ND90
O14576	P51808
O14576	P63172
Q5VYS4	Q9Y4K3
Q08AG5	Q5JR59
Q96G61	Q9Y4K3
P30954	Q9Y4K3
Q09FC8	Q5JR59
