source	target
O14770	P60709
O14770	P62987
O14770	Q9Y586
O14770	P48431
O14770	P08047
O14770	P04083
O75381	Q14576
O75381	Q13547
O75381	Q14203
Q15750	Q9Y6K9
Q15750	P62993
P49116	Q13547
Q99816	O14964
Q99816	P62987
Q99816	P62993
Q99816	Q01844
Q96PD2	Q9Y287
Q96PD2	Q9Y4K3
P05067	O14964
P05067	Q9Y287
Q13547	Q9NYJ8
Q13547	Q9Y4K3
Q13547	P19838
Q13547	P48431
Q8IWL3	P63172
Q8IWL3	Q9Y287
Q08379	O14964
Q08379	P0C7X2
Q08379	Q9Y586
Q08379	P62993
Q15427	P62993
Q15843	P60709
Q15843	Q9Y4K3
Q15843	O14964
Q15843	Q01844
Q15843	Q15942
Q92896	P0CG48
Q92896	Q9Y287
Q01844	Q14576
P08047	Q16666
P08047	P0CG48
P51617	P02545
P51617	Q9Y6K9
P51617	Q13618
Q16543	Q14576
Q16543	Q9Y6K9
Q16543	Q14203
P02545	Q9Y287
Q96IJ6	P0C7X2
Q96IJ6	O95166
Q96IJ6	P16333
Q96IJ6	Q15942
Q96IJ6	Q01850
Q96IJ6	Q13618
Q96IJ6	P19838
Q9Y287	P10415
Q9Y287	Q86X19
Q9Y287	Q8IWV7
Q9Y287	P34925
Q01484	P16333
Q01484	P62993
P10415	Q9Y6K9
Q8ND90	O14964
Q14576	Q9BQ95
Q13137	Q9Y6K9
Q13137	O95166
P63172	Q14203
P63172	P51808
Q14203	Q9UPY8
Q14203	P62993
P0CG48	Q9Y6K9
P0CG48	P62993
P0CG48	Q13618
P0CG48	Q8IWV7
P0CG48	P34925
P04083	Q9Y6K9
Q9Y6K9	Q9NYJ8
Q86X19	O14964
P62987	O14964
Q9BQ95	Q9Y4K3
O14964	P62993
O14964	Q01850
P62993	Q8IZ63
