source	target
P63172	Q14204
P63172	Q14203
P63172	Q13618
P63172	Q9Y6G9
P63172	Q13409
P62993	Q99816
P62993	Q8IZ63
P62993	Q15750
P62993	Q14203
P62993	Q15427
P62993	Q13618
P62993	Q9GZT8
P62993	Q08379
P62993	Q01484
P62993	Q14258
P62993	Q14204
P78362	Q13618
P78362	Q9Y3C6
P78362	Q14576
P78362	Q14258
Q01844	Q15843
Q01844	Q99816
Q01844	Q14576
Q01844	Q15427
Q01844	Q16543
Q01844	Q9Y3C6
Q01844	Q13618
P51617	Q15750
P51617	Q16543
P51617	P62987
P51617	Q13618
P51617	Q9Y6K9
P51617	Q9NYJ8
P51617	Q9Y4K3
P21796	Q01844
P21796	P51808
P21796	P63172
P21796	P62987
P21796	Q9Y4K3
Q14203	Q14204
Q14203	Q16543
Q14203	Q9Y6G9
Q14203	Q9UPY8
Q14203	Q14258
Q14258	Q15427
Q14258	Q9Y4K3
Q14258	Q9Y6G9
Q14258	Q9H0A8
Q14258	Q99816
Q14258	Q9H4A6
Q14258	Q9P2P5
Q14258	Q15942
P62987	Q9NYJ8
P62987	Q15843
P62987	Q9Y4K3
P62987	Q9Y6K9
P62987	P62993
P62987	Q13137
P62987	Q15750
P62987	Q99816
Q13618	Q15843
Q13618	Q96IJ6
Q13618	Q14203
Q13618	Q15427
Q13618	Q14204
Q13618	Q9Y6G9
Q13618	Q16543
Q13573	Q5JR59
Q13573	Q9Y3C6
Q13573	Q15427
Q13573	Q14203
Q13573	Q9Y6K9
Q13573	Q14204
Q13573	Q99816
Q13573	Q13618
Q13573	Q9P2P5
Q8ND90	Q9GZT8
Q08379	Q13573
Q99816	Q9GZT8
Q9Y4K3	Q9Y6K9
Q15942	Q96IJ6
P0CG48	Q13137
P0CG48	Q99816
P0CG48	Q14258
P0CG48	P62987
P0CG48	Q13618
P0CG48	Q13409
P0CG48	Q15843
P0CG48	Q9Y6K9
P0CG48	Q9NYJ8
P0CG48	Q9Y4K3
P0CG48	P21796
P0CG48	Q15750
P0CG48	P62993
Q13137	Q9Y6K9
Q13137	Q9Y4K3
Q13409	Q14203
Q13409	Q14204
Q13409	Q13618
Q13409	Q9Y6G9
Q15843	Q9Y4K3
Q15843	Q15942
Q9NYJ8	Q9Y6K9
Q9NYJ8	Q9Y4K3
Q15750	Q9Y6K9
Q15750	Q9NYJ8
Q15750	Q9Y4K3
Q8IZ63	Q9Y3C6
Q14204	Q9Y4K3
Q14204	Q9Y6G9
Q14204	Q9Y6K9
Q16543	Q9Y4K3
Q16543	Q9BQ95
Q16543	Q9Y6K9
P05067	Q9Y4K3
P05067	Q14258
P05067	Q16543
P05067	P62993
P05067	P05412
P05067	Q8NCE2
P05067	Q9Y287
P05067	Q9BQ95
P05067	Q9NYJ8
P05067	P78362
P05067	Q13618
P05067	Q9Y2H9
P05067	P63172
P05067	Q16666
Q13547	Q9NYJ8
Q13547	Q9Y4K3
Q13547	Q13573
Q96IJ6	Q9H4A6
Q96IJ6	Q9P286
Q96IJ6	Q9P2P5
P05412	Q13573
P05412	P78362
P05412	Q9Y6K9
P05412	Q14203
P05412	P21796
P05412	Q13409
P05412	P0CG48
P05412	Q15942
P05412	Q16543
P05412	Q13547
P05412	Q15427
P05412	P19838
P05412	Q99816
P05412	Q08379
P05412	Q01844
P05412	Q9UPY8
P05412	P62987
P05412	P62826
P05412	Q14258
P05412	Q14204
P05412	P51617
P16333	Q96IJ6
P16333	Q01484
P16333	P62993
P16333	P62987
P16333	Q15427
P49116	Q13573
P49116	Q13547
P49116	Q9NYJ8
P49116	Q14258
P49116	Q15750
P49116	Q16543
P49116	Q9Y4K3
P19838	Q13618
P19838	P62987
P19838	Q9Y6K9
P19838	Q9BQ95
P19838	P62826
P19838	Q9H0A8
P19838	Q96IJ6
P19838	Q13547
P19838	Q9NYJ8
Q8NCE2	Q96IJ6
Q9BQ95	Q9Y4K3
Q9BQ95	Q9Y2H9
P43034	Q13409
P43034	P63172
P43034	Q14203
P43034	Q14204
P43034	Q14258
P43034	Q9Y6G9
P43034	P51808
Q9Y6G9	Q9Y6K9
Q93052	Q96IJ6
Q93052	Q9GZT8
O95166	Q13618
O95166	P78362
O95166	Q13137
O95166	Q8NCE2
O95166	Q96IJ6
O95166	P62987
O95166	P05412
O95166	Q01844
Q12926	Q14576
Q12926	Q13573
Q12926	Q13618
O95777	Q96IJ6
O14770	P62987
O14770	Q14258
O14770	P05067
Q01850	Q96IJ6
Q14576	Q16543
Q14576	Q9BQ95
Q14576	Q9Y2H9
P01023	Q16543
P01023	Q9Y2H9
P01023	P62993
P01023	Q9BQ95
P01023	P21796
P01023	Q14576
P01023	P05067
P0C7X2	Q08379
P0C7X2	Q8ND90
P0C7X2	Q13137
P0C7X2	Q96IJ6
O14964	P0CG48
O14964	Q15843
O14964	Q01850
O14964	P62987
O14964	Q08379
O14964	P05067
O14964	Q99816
O14964	Q8ND90
O14964	P62993
P51808	Q9GZT8
P51808	Q13409
P51808	Q9Y6G9
P51808	P63172
P51808	Q14204
O95273	P05412
O75381	Q14204
O75381	Q14576
O75381	Q13409
O75381	Q13547
O75381	Q14203
O14576	P43034
O14576	P51808
O14576	Q9Y6G9
O14576	Q13618
O14576	Q14203
O14576	Q14204
O14576	P63172
O14576	Q13409
