source	target
P63172	Q14203
P51617	Q15750
P51617	Q9Y6K9
P51617	Q9NYJ8
P51617	Q9Y4K3
Q14203	Q7Z4H7
Q14203	Q9UPY8
Q9Y4K3	Q9Y6K9
P0CG48	Q13137
P0CG48	Q99816
P0CG48	Q15843
P0CG48	Q9Y6K9
P0CG48	Q9NYJ8
P0CG48	Q9Y4K3
P0CG48	Q15750
Q13137	Q9Y6K9
Q13137	Q9Y4K3
Q15843	Q9Y4K3
Q9NYJ8	Q9Y6K9
Q9NYJ8	Q9Y4K3
Q15750	Q9Y6K9
Q15750	Q9NYJ8
Q15750	Q9Y4K3
Q13547	Q9NYJ8
Q13547	Q9Y4K3
P49116	Q13547
P49116	Q9NYJ8
P49116	Q15750
P49116	Q9Y4K3
O14964	P0CG48
O14964	Q15843
O14964	Q08379
O14964	Q99816
O14964	Q8ND90
P51808	P63172
