source	target
Q7Z4H7	Q14203
Q14203	Q16543
Q14203	Q9UPY8
Q14203	P63172
Q14203	P62993
P05067	Q9Y287
P05067	Q9Y4K3
P05067	O14770
P62987	O14770
P62987	Q9Y4K3
Q96PD2	Q9Y287
Q96PD2	Q9Y4K3
O14964	Q15843
O14964	Q8ND90
O14964	Q08379
O14964	Q01850
O14964	Q86X19
O14964	P62993
P62993	P0CG48
P62993	Q8IZ63
P62993	Q08379
P62993	Q01484
P62993	Q15750
P62993	Q15427
Q92896	Q9Y287
Q92896	P0CG48
Q92734	Q9Y6K9
Q92734	Q8N9W6
Q92734	Q16666
Q92734	Q5JR59
Q92734	Q15843
Q92734	Q99816
P16333	Q96IJ6
P16333	Q01484
Q15942	Q96IJ6
Q15942	Q15843
P60709	O14770
P60709	Q15843
Q8ND90	Q9GZZ9
Q9Y4K3	Q16543
Q9Y4K3	Q13137
Q9Y4K3	Q15750
Q9Y4K3	P51617
Q9Y4K3	Q9Y6K9
Q9Y4K3	P0CG48
Q9Y4K3	Q15843
Q9Y4K3	Q13547
Q9Y4K3	Q9BQ95
Q9Y4K3	Q96SW2
Q9NYJ8	Q13547
P0CG48	Q13618
P0CG48	Q8IWV7
P0CG48	Q99816
P0CG48	P34925
Q9BQ95	Q14576
P63172	P51808
P63172	Q8IWL3
Q96SW2	O14770
Q8IWL3	Q9Y287
Q8IWL3	P51617
Q01850	Q96IJ6
P02545	P51617
P02545	Q9Y287
Q13137	O95166
Q13137	P0C7X2
O14770	Q93062
O14770	Q9Y586
O14770	P40424
O95166	Q96IJ6
Q9GZZ9	Q8N9W6
Q99816	Q01844
Q14576	Q16543
Q14576	O75381
Q14576	Q01844
Q93062	Q8N9W6
Q13618	Q96IJ6
Q13618	Q15843
P0C7X2	Q96IJ6
Q8IWV7	Q9Y287
Q13547	P49116
Q13547	O75381
Q13547	P40424
P34925	Q9Y287
Q08379	Q9Y586
Q9H0A8	P19838
Q96IJ6	P19838
P49116	Q16543
P10415	Q9Y6K9
P10415	Q9Y287
P19838	Q9Y6K9
Q86X19	Q9Y287
Q01844	Q15843
Q16543	P51617
