source	target
Q6IQ23	Q9Y287
Q6IQ23	Q5JR59
O95166	Q96IJ6
O95166	Q13137
P0C7X2	Q96IJ6
P0C7X2	Q08379
Q9Y6K9	P51617
Q9Y6K9	Q13137
Q9Y6K9	P19838
Q9Y6K9	P10415
Q9Y6K9	Q16543
Q13547	Q9NYJ8
P62987	P0CG48
P62987	O14770
P51617	Q9Y4K3
P51617	Q15750
Q99816	O14964
Q99816	Q01844
O60341	Q08379
O60341	P0C7W6
O60341	P63172
P34925	P0CG48
P34925	Q9Y287
Q13137	P0CG48
Q15843	Q01844
Q15843	O14964
Q15843	Q15942
Q15843	Q96SW2
Q15154	Q08379
Q15154	P0C7W6
P02545	Q9Y287
P02545	P63172
P19838	Q96IJ6
Q96SW2	O14770
Q9HBZ2	O14770
Q9HBZ2	Q08379
Q9Y287	Q92896
Q9Y287	Q86X19
Q9Y287	P05067
Q9Y287	Q8IWV7
Q9Y287	Q8IWL3
Q9Y287	Q96PD2
Q9Y287	P10415
Q8IWL3	P63172
P08047	P0CG48
P08047	O14770
Q15427	P16333
Q15427	Q01844
Q14203	Q9UPY8
Q14203	P63172
Q14203	Q13618
Q14203	P04629
Q14203	Q16543
Q14203	O75381
Q14203	Q14258
P16333	Q96IJ6
Q9H0A8	Q14258
Q14258	O14770
Q15942	Q96IJ6
Q9Y4K3	Q9BQ95
Q9Y4K3	Q96PD2
Q8NE31	P0C7W6
Q8NE31	Q5JR59
P63172	P51808
P63172	P05067
Q92896	P0CG48
Q15750	Q9NYJ8
Q16543	Q14576
Q01844	Q14576
Q9NYJ8	P49116
Q01850	Q96IJ6
Q01850	O14964
Q13618	Q96IJ6
P0CG48	O14964
P0CG48	Q8IWV7
P0C7W6	O14530
O14964	Q08379
O14964	Q8ND90
O14964	P04629
O14964	Q86X19
Q8ND90	O14530
O75381	Q14576
Q9BQ95	Q14576
Q14576	P04629
