source	target
P63172	Q9Y4X4
P63172	Q14203
P51617	Q15750
P51617	Q96CG3
P51617	Q9Y6K9
P51617	Q9NYJ8
P51617	Q9Y4K3
P17036	Q5JR59
Q14203	Q9BYV8
Q14203	Q9UPY8
Q8ND90	Q96ME1
Q08379	Q5H9K5
Q08379	Q96LX7
Q08379	Q86VK4
Q08379	Q8IXS8
Q08379	Q7Z4I7
Q08379	Q68DK2
Q08379	Q96S90
Q08379	Q8N143
Q08379	Q96ME1
Q08379	Q3B820
Q08379	Q8IYE0
Q08379	Q15973
Q99816	Q9UKU7
Q9Y4K3	Q9Y6K9
Q8N5C8	Q9Y6K9
Q8N5C8	Q9Y4K3
Q8N5C8	Q9NYJ8
Q13137	Q3B820
Q13137	Q9Y3M9
Q13137	Q8N143
Q13137	Q8N5C8
Q13137	Q9Y6K9
Q13137	Q9Y4K3
Q13137	Q7Z4I7
Q13137	Q96ME1
Q86V59	Q8ND90
Q86V59	Q9Y6K9
Q9NYJ8	Q9Y6K9
Q9NYJ8	Q9Y4K3
Q15750	Q9Y6K9
Q15750	Q8N5C8
Q15750	Q9NYJ8
Q15750	Q9Y4K3
Q8IZ63	Q9Y3C6
Q01484	Q92823
P63167	Q14203
P63167	P63172
P49116	Q9NYJ8
P49116	Q15750
P49116	Q9Y4K3
Q9NSK7	Q9Y6K9
P56211	Q9Y6K9
Q86VK4	Q8ND90
Q5T686	Q9Y6K9
Q02045	Q9Y6K9
Q9BR61	Q9Y6K9
Q5JR59	Q9UBR2
Q5JR59	Q96LX7
Q5JR59	Q8IYE0
Q5JR59	Q96S90
Q5JR59	Q86VK4
Q5JR59	Q7Z4I7
Q5JR59	Q8N988
Q5JR59	Q9H2A7
Q5JR59	Q9Y3M9
Q5JR59	Q96SK3
Q5JR59	Q96ME1
Q96CG3	Q9Y4K3
Q3B820	Q5JR59
Q8IYE0	Q8ND90
Q68DK2	Q8ND90
P17482	Q13137
P17482	Q8ND90
P17482	Q08379
P56279	Q13137
P56279	Q08379
Q86XT2	Q9UKU7
Q86XT2	Q99816
P01375	Q9Y6K9
P01375	Q15750
P01375	Q9NYJ8
Q10589	Q15750
Q10589	Q9NYJ8
O14964	Q86XT2
O14964	Q12765
O14964	Q08379
O14964	Q99816
O14964	Q8ND90
O14964	Q10589
Q12765	Q9NYJ8
Q12765	Q15750
P51808	P63172
O94885	P51617
O94885	Q9Y4K3
O94885	Q9Y6K9
Q8NFM7	Q9Y4K3
Q99706	Q9Y4K3
O00165	Q9UPY8
O00165	Q01484
O95273	Q3B820
O95273	Q9BYI3
O95273	Q9P2Z0
O95273	Q15973
O95273	Q8NEP9
O95273	Q8IYE0
O95273	P52737
P52737	Q5JR59
O76080	Q9Y4K3
O76080	Q9Y6K9
O14836	Q9Y4K3
O14836	P51617
A5D8V6	Q08379
A5D8V6	Q99816
A5D8V6	O14964
O95872	Q08379
O95872	Q8ND90
O43237	P63167
O43237	P51808
O43237	P63172
Q5VYS4	Q9Y4K3
Q7Z6K4	Q9Y6K9
Q09FC8	Q5JR59
