source	target
Q9GZZ9	Q8N9W6
Q9GZZ9	Q8ND90
P63172	Q14203
P63172	P51808
P63172	P02545
Q9Y6K9	Q9NYJ8
Q9Y6K9	Q92734
Q9Y6K9	Q16543
Q9Y6K9	P19838
Q9Y6K9	P10415
Q9Y6K9	P04083
Q15843	O14964
Q15843	P0CG48
Q15843	Q01844
Q15843	P60709
Q15843	Q15942
P51617	Q9NYJ8
P51617	P02545
P51617	Q13618
P51617	Q8IWL3
P51617	Q16543
Q92896	Q9Y287
Q92896	P0CG48
Q01850	O14964
Q01850	Q96IJ6
Q96PD2	Q9Y287
Q96PD2	Q9Y4K3
Q92734	Q8N9W6
Q92734	Q99816
Q92734	Q5JR59
Q92734	O14964
Q16543	Q14576
Q08379	O14964
Q08379	P62993
Q08379	P0C7X2
Q08379	Q9HBZ2
P04083	O14770
P04083	Q14203
P19838	Q96IJ6
Q8N9W6	Q93062
P0CG48	Q99816
P0CG48	Q13137
P0CG48	Q15750
P0CG48	Q8IWV7
P0CG48	P62993
P0CG48	P34925
Q04724	Q13547
Q04724	O14770
Q9Y4K3	Q9NYJ8
Q9Y4K3	Q9BQ95
Q9Y4K3	Q96SW2
Q9Y4K3	P05067
P49116	Q9NYJ8
Q14203	Q7Z4H7
Q14203	Q9UPY8
Q14203	P62993
Q15427	P62993
Q01484	P16333
Q01484	P62993
P34925	Q9Y287
Q01844	Q14576
Q01844	Q99816
Q5JR59	Q6IQ23
Q8IWL3	Q9Y287
Q9Y287	Q8IWV7
Q9Y287	Q86X19
Q9Y287	P02545
Q9Y287	P10415
Q9Y287	P05067
Q9Y287	Q6IQ23
P60709	O14770
Q6IQ23	Q13137
Q8ND90	O14964
Q13137	O95166
Q13137	P0C7X2
Q13137	Q9HBZ2
P16333	Q96IJ6
P62993	Q8IZ63
P62993	Q99816
P62993	Q15750
P62993	O14964
Q13618	Q96IJ6
Q15942	Q96IJ6
Q9BQ95	Q14576
O14964	Q86X19
Q96SW2	O14770
Q13547	O75381
Q13547	Q9NYJ8
Q13547	P48431
Q9NYJ8	Q15750
O95166	Q96IJ6
Q96IJ6	P0C7X2
O14770	Q93062
O14770	P48431
O14770	Q9HBZ2
O75381	Q14576
