name	connected_components_id	isSeed	nrOfOccurrences	significance	trees	is_seed	spd	component_id
Q7Z4H7	0	1	30	1.0	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29	1	0.014925373134328358	0
Q14203	0	1	30	1.0	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29	1	0.021645021645021644	0
O14964	0	1	30	1.0	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29	1	0.028985507246376812	0
Q8ND90	0	1	30	1.0	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29	1	0.01834862385321101	0
Q9Y4K3	0	1	30	1.0	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29	1	0.025390625	0
Q9NYJ8	0	1	30	1.0	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29	1	0.009900990099009901	0
P0CG48	0	1	30	1.0	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29	1	0.00776914539400666	0
Q9UPY8	0	1	30	1.0	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29	1	0.03333333333333333	0
P63172	0	1	30	1.0	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29	1	0.02912621359223301	0
Q13137	0	1	30	1.0	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29	1	0.01935483870967742	0
O14770	0	1	30	1.0	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29	1	0.2692307692307692	0
Q99816	0	1	30	1.0	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29	1	0.01818181818181818	0
Q14576	0	1	30	1.0	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29	1	0.5	0
Q15427	0	1	30	1.0	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29	1	0.008849557522123894	0
Q13547	0	1	30	1.0	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29	1	0.010309278350515464	0
Q08379	0	1	30	1.0	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29	1	0.00967741935483871	0
Q8IZ63	0	1	30	1.0	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29	1	0.5	0
Q9H0A8	0	1	30	1.0	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29	1	0.022727272727272728	0
Q96IJ6	0	1	30	1.0	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29	1	0.5384615384615384	0
Q8N9W6	0	1	30	1.0	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29	1	0.5	0
Q16666	0	1	30	1.0	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29	1	0.002583979328165375	0
P49116	0	1	30	1.0	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29	1	0.041666666666666664	0
Q5JR59	0	1	30	1.0	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29	1	0.006535947712418301	0
Q15750	0	1	30	1.0	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29	1	0.015384615384615385	0
Q01484	0	1	30	1.0	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29	1	0.058823529411764705	0
Q9Y287	0	1	30	1.0	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29	1	0.3	0
Q9Y6K9	0	1	30	1.0	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29	1	0.011142061281337047	0
P51808	0	1	30	1.0	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29	1	0.05555555555555555	0
P51617	0	1	30	1.0	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29	1	0.031746031746031744	0
Q15843	0	1	30	1.0	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29	1	0.025547445255474453	0
P05067	0	0	3	0.1	4,15,25	0	0.0017543859649122807	0
P62987	0	0	3	0.1	8,14,27	0	0.0049261083743842365	0
Q96PD2	0	0	3	0.1	2,13,21	0	0.16666666666666666	0
P62993	0	0	30	1.0	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29	0	0.00922722029988466	0
Q92896	0	0	4	0.13333333333333333	1,12,20,29	0	0.11764705882352941	0
Q92734	0	0	10	0.3333333333333333	1,5,8,11,14,17,20,23,26,29	0	0.05263157894736842	0
P16333	0	0	4	0.13333333333333333	6,10,17,24	0	0.00784313725490196	0
Q15942	0	0	4	0.13333333333333333	3,13,20,27	0	0.018518518518518517	0
P60709	0	0	3	0.1	9,12,25	0	0.005012531328320802	0
Q9BQ95	0	0	8	0.26666666666666666	1,5,9,13,17,21,25,29	0	0.019801980198019802	0
Q96SW2	0	0	3	0.1	7,13,26	0	0.020833333333333332	0
Q8IWL3	0	0	3	0.1	3,14,22	0	0.004491017964071856	0
Q01850	0	0	4	0.13333333333333333	5,9,16,23	0	0.0392156862745098	0
P02545	0	0	3	0.1	8,16,24	0	0.0037735849056603774	0
O95166	0	0	4	0.13333333333333333	1,11,18,25	0	0.0045662100456621	0
Q9GZZ9	0	0	10	0.3333333333333333	0,3,6,9,12,15,18,21,24,27	0	0.02531645569620253	0
Q93062	0	0	10	0.3333333333333333	2,4,7,10,13,16,19,22,25,28	0	0.0136986301369863	0
Q13618	0	0	5	0.16666666666666666	0,7,14,21,28	0	0.0028680688336520078	0
P0C7X2	0	0	5	0.16666666666666666	4,8,15,22,29	0	0.0425531914893617	0
Q8IWV7	0	0	3	0.1	0,15,23	0	0.02857142857142857	0
P34925	0	0	4	0.13333333333333333	7,9,17,26	0	0.028169014084507043	0
Q9Y586	0	0	3	0.1	4,17,29	0	0.15384615384615385	0
P10415	0	0	4	0.13333333333333333	6,10,18,27	0	0.018691588785046728	0
P19838	0	0	4	0.13333333333333333	2,12,19,26	0	0.00847457627118644	0
Q86X19	0	0	4	0.13333333333333333	5,11,19,28	0	0.005390835579514825	0
P40424	0	0	3	0.1	6,16,28	0	0.06666666666666667	0
O75381	0	0	7	0.23333333333333334	2,6,10,14,18,22,26	0	0.02666666666666667	0
Q01844	0	0	7	0.23333333333333334	3,7,11,15,19,23,27	0	0.00539568345323741	0
Q16543	0	0	8	0.26666666666666666	0,4,8,12,16,20,24,28	0	0.018315018315018316	0
O95273	1	1	30	1.0	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29	1	0.0	1
P62826	2	1	30	1.0	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29	1	0.0	2
