name	rank	visiting_probability	is_seed	spd	component_id
P63172	18	0.019285573941395334	1	0.06086956521739131	0
Q15427	11	0.019064877409217015	1	0.05785123966942149	0
P51617	27	0.019140248128204716	1	0.0763888888888889	0
Q9Y6K9	26	0.019215478570159972	1	0.03636363636363636	0
Q14203	41	0.01927963309007643	1	0.056179775280898875	0
Q13547	14	0.01929796978508979	1	0.027538726333907058	0
Q16666	20	0.019079194138648645	1	0.00684931506849315	0
Q8ND90	36	0.019135787201002813	1	0.06040268456375839	0
Q08379	39	0.019188851970103143	1	0.047979797979797977	0
Q99816	32	0.01912900674747379	1	0.07853403141361257	0
Q9Y4K3	9	0.019311892248029205	1	0.034071550255536626	0
P62826	10	0.01907293467560701	1	0.03208556149732621	0
P0CG48	4	0.019317950297658266	1	0.01984877126654064	0
Q13137	37	0.019118321100144126	1	0.0425531914893617	0
Q15843	31	0.01910220774624403	1	0.025	0
Q9UKT9	25	0.019096047637263386	1	0.06422018348623854	0
Q9NYJ8	3	0.019215118863624047	1	0.0975609756097561	0
Q15750	23	0.0192220243280821	1	0.0625	0
Q8IZ63	24	0.01906649502520303	1	1.0	0
Q01484	40	0.019075353354452384	1	0.06976744186046512	0
Q6P1W5	33	0.01948528007109312	1	0.13333333333333333	0
Q7Z4H7	22	0.01907598089080599	1	0.09302325581395349	0
Q9H0A8	17	0.019067274259521767	1	0.061224489795918366	0
Q96IJ6	34	0.019062480413014223	1	0.29411764705882354	0
Q96FN5	19	0.019064268871882194	1	1.0	0
O94776	30	0.01907889555390549	1	0.04895104895104895	0
P49116	35	0.01913133468404419	1	0.14545454545454545	0
Q9Y287	42	0.019076640611528445	1	0.05714285714285714	0
Q14576	2	0.01905543408734916	1	1.0	0
P0C7W6	7	0.01907129237135886	1	0.5263157894736842	0
Q5JR59	13	0.019137533072551616	1	0.04326923076923077	0
Q9UPY8	12	0.01907784123156177	1	0.17647058823529413	0
Q9GZV8	8	0.01907096639827274	1	0.1	0
Q8N6Y0	15	0.019128630824921156	1	0.06153846153846154	0
Q16633	5	0.019083999492968344	1	0.21052631578947367	0
Q9BQ66	38	0.01909230033405988	1	0.009009009009009009	0
O14770	6	0.019165827099060468	1	0.15384615384615385	0
P43355	29	0.019092880235056547	1	0.05	0
O14964	21	0.019239594108915126	1	0.06746031746031746	0
P51808	28	0.019098416309009908	1	0.2	0
Q8N9W6	16	0.019147903070310453	1	1.0	0
O95273	1	0.019125394971339218	1	0.019801980198019802	0
Q15910	85	0.0002945720069588319	0	0.028735632183908046	0
P62993	43	0.0016238600388156425	0	0.023191094619666047	0
P78362	60	0.00038425156160205756	0	0.01910828025477707	0
Q01844	55	0.0004526117239825737	0	0.0265625	0
Q14258	52	0.0005050097089876187	0	0.009708737864077669	0
P62987	87	0.0002925756465488857	0	0.04	0
Q13618	57	0.0004371946127574685	0	0.02023608768971332	0
Q92734	64	0.00036627682368542305	0	0.1	0
Q93062	51	0.0005089751084104822	0	0.0547945205479452	0
Q13573	82	0.00029951226529972586	0	0.038011695906432746	0
Q8IUQ4	73	0.0003376430942873027	0	0.028409090909090908	0
Q9GZT8	80	0.0003026529885206797	0	0.0390625	0
Q15796	101	0.00027217180341221857	0	0.02763819095477387	0
Q9Y2I6	90	0.00028674828345668637	0	0.0410958904109589	0
Q16543	53	0.0004967167896023173	0	0.04477611940298507	0
Q14204	102	0.0002716460808091855	0	0.08670520231213873	0
P78347	76	0.00032363517663521753	0	0.11678832116788321	0
P46531	62	0.0003741498188357108	0	0.06584362139917696	0
Q13561	61	0.0003786831291194797	0	0.11382113821138211	0
