source	target
Q15051	P07900
Q15051	Q16774
O00459	Q08379
O00459	O14654
O00459	Q9UBU9
O00459	P05067
Q6QNY1	Q8TC12
Q6QNY1	O95295
Q8IXM3	Q4J6C6
Q8IXM3	P04637
P62195	O14807
P62195	P07437
Q9NYL9	O14770
Q9NYL9	P62258
P05549	Q5SW96
P05549	P04637
Q9BUZ4	O15162
Q9NRW1	Q7L8A9
O95990	Q8ND90
O95990	O15162
Q96EI5	O00458
Q96EI5	P04637
O95817	P07900
O95817	Q53RE8
Q9Y6K9	O43513
Q9Y6K9	Q16543
Q9Y6K9	Q13137
Q9Y6K9	Q05639
Q9Y6K9	P05141
Q9Y6K9	P55198
Q9Y6K9	Q96EY1
Q9Y6K9	P68104
Q9Y6K9	P12236
Q9Y6K9	P01100
Q9Y6K9	Q02535
Q9Y6K9	Q9BSJ8
P09429	Q15661
P09429	P04637
Q8N5U6	O60341
Q8N5U6	P08238
Q8N5U6	Q04724
Q8N5U6	Q9UBU9
Q08379	Q8IUH5
Q08379	Q8IWL3
Q08379	Q96SQ5
Q08379	P0C7X2
Q08379	P15622
Q08379	Q9H668
Q08379	Q06413
P56378	Q9C0B0
P35372	P0CG48
P35372	P84077
Q04864	O14734
Q04864	P07437
Q07954	P07900
Q07954	P57105
P60709	P07900
P60709	P57105
P60709	O14770
P12268	Q96B97
P12268	P15328
Q01081	Q01844
Q01081	Q9UBU9
O15056	Q96B97
O15056	P57105
P57105	O75208
P57105	P98164
P57105	Q15311
P57105	Q9BSJ8
P57105	O75844
P57105	Q14197
P57105	P07550
Q8N5R6	O15162
Q8N5R6	Q6DKK2
Q8N5R6	Q96GN5
Q8N5R6	Q9UGN5
Q8N5R6	P05067
P48431	O14770
P48431	Q08380
Q9P0N5	Q12893
Q9P0N5	P50402
P07550	P07437
P07550	P29992
P21964	P55072
P21964	Q8TC12
P15408	O43739
P15408	Q9C005
P55072	P04637
P55072	O15503
P55072	P41240
P55072	O43251
P55072	P26045
Q01850	O14964
Q01850	P48454
P84077	Q99541
P84077	P49368
P84077	Q9Y2W2
Q13573	P07900
Q13573	Q5SW96
P07437	P60033
P07437	Q08380
P07437	P49721
P07437	Q15717
P07437	Q6IBW4
O43559	Q96B97
O43559	O15162
P09914	P08238
P98164	Q5SW96
P68104	Q9Y6H6
P68104	P08237
P68104	Q9UBU9
O96006	Q9Y4P9
O96006	O60341
O75828	P16152
O75828	Q01844
Q04917	P62258
Q04917	Q86X19
Q04917	P42336
Q96IT1	Q9NWS9
P24666	P06213
Q9NQZ6	Q9BQD3
Q9NQZ6	Q6P1K2
Q9NQZ6	P0C7X2
Q9NQZ6	P15622
Q9NQZ6	O60504
Q9NQZ6	Q9UHL9
Q9NQZ6	Q9NP66
Q9NQZ6	Q9ULM2
Q9NQZ6	P27986
Q969H4	O43739
Q969H4	Q6NSJ2
O14734	Q8IWL3
O14734	P50542
O14734	P29590
O14734	P08559
O14734	P05161
O14734	P26045
O14734	Q8NBE8
Q96B97	Q9H9H4
Q96B97	P27986
P31946	P06213
P31946	P62258
P31946	Q8TEU7
P31946	Q9C0B0
Q16774	Q6DKK2
Q16774	O00483
Q16774	Q9HCE1
Q16774	Q9NZ94
Q16774	Q14103
Q16774	Q9UBU9
Q12893	Q8IUH5
Q12893	Q86X19
Q12893	Q9NY72
Q15427	Q01844
Q15427	P16333
Q15427	Q13618
Q9HD23	Q9H0U9
Q96EY1	O60341
Q9H000	Q12926
Q9H000	Q9BYM8
Q9H000	Q9UBU9
Q9C0B0	P07900
Q9C0B0	P50990
Q9C0B0	P62258
Q5T7M9	Q8WWB7
Q5T7M9	P55058
Q5T7M9	Q9UNA3
Q5T7M9	Q92187
Q5T7M9	P28845
Q5T7M9	Q8NAC3
Q5T7M9	Q9UGN5
Q13620	P07900
Q13620	Q53RE8
P06213	O43739
Q13617	P07900
Q13617	Q53RE8
Q8TEU7	O14807
P50402	Q9C005
P50402	Q8NFH5
P50402	O43889
P50402	Q8NF91
P50402	Q8NHQ1
P35222	O00458
P35222	Q15843
Q9BRX9	P78371
Q9BRX9	O43739
P29590	P04637
Q15843	Q99729
Q15843	Q08380
Q15843	Q16864
Q15843	Q14103
Q15843	Q15369
Q14197	P05141
Q01844	Q9BQD3
Q01844	O15162
Q01844	P63241
Q01844	Q9NRA8
Q01844	Q9Y2W2
Q01844	P60033
Q01844	Q9H3N1
P62258	Q02750
P62258	O95295
P62258	P10398
P62258	P56524
P62258	P35568
P62258	P55196
P62258	Q07866
Q8WVC6	Q8TC12
Q8WVC6	P0CG48
P51610	P63172
Q8N682	O43889
Q8N682	P05067
Q9BQB6	P02545
Q9BQB6	P48201
P08047	P07900
P08047	P00846
O14654	Q08380
P27986	Q15661
P27986	P10398
P27986	Q9Y2W2
P16070	P14210
P16070	P04637
Q99541	P04114
Q99541	P53779
P12236	O15162
P12236	Q5JR59
P12236	Q8WWB7
P12236	O75208
P12236	O00483
P12236	P40967
Q15654	P01100
Q15654	O43865
P00846	Q00765
P00846	O00400
P00846	Q00597
O60504	Q9H9H4
P98066	P0CG48
O60341	P13056
O60341	Q13432
O60341	Q6NSJ2
O60341	P63172
O60341	Q06830
O60341	Q49A26
O60341	Q9NP66
Q13618	P07900
Q13618	P15328
Q13618	Q53RE8
P05161	P07900
O15162	Q6UY14
P62136	Q96S65
P62136	P04637
P50542	O95989
Q15717	Q96S65
Q15717	Q9H0U9
Q15717	P02545
Q3KP66	Q13137
Q3KP66	O43739
Q96GN5	Q8WXF8
Q00534	P07900
Q00534	Q8WXF8
Q15369	O14807
P49721	P15328
Q4J6C6	Q9UPT9
Q86VW0	Q9BRK4
Q9Y4P9	Q9H8W4
Q96F46	Q9Y4K3
Q96F46	Q8NAC3
P68400	P07900
P68400	O00458
Q9HAV0	O14770
Q9HAV0	P29992
Q96S65	Q96SQ5
Q96S65	P36873
Q96S65	P29972
Q9H3M7	Q9HAU4
Q9H3M7	P04637
Q9H3M7	Q9NZ94
Q9H8W4	Q9Y4K3
Q9H8W4	Q15233
Q14289	P08238
Q14289	Q7L0Q8
P53779	P04637
Q92769	O00458
Q92769	P04637
Q13227	O43739
Q13227	P04637
P35568	O43739
P06576	P48201
P06576	P07900
Q9H9H4	Q99816
P27348	P04637
Q6P1K2	P07900
Q13162	Q06830
Q13162	Q9UBU9
Q13162	P04114
P15056	P07900
P15056	O14807
P15328	Q9UKV8
P15328	P07948
P15328	Q6IBW4
P13056	O95989
P34741	P48454
P34741	P14210
P40425	Q9NXF8
P40425	O14770
P41240	Q02535
P41240	Q14192
P40616	Q13439
Q9NVC6	Q96G25
Q9NVC6	Q00765
Q9NVC6	Q9NX70
Q9NVC6	Q9ULK4
Q9NVC6	P04637
Q99729	Q8WXF8
P50990	Q08380
P50990	P05067
O95295	O95251
Q9HCE1	P04637
Q9HCE1	P48201
Q9HCE1	Q9NXF8
Q00765	Q9NXF8
P04114	P07900
P14210	P08581
P14210	P02751
P14210	Q6UY14
P40227	Q08380
Q9ULM2	P02545
Q9NXF8	P03372
Q9NXF8	O60337
Q5TAQ9	P50991
P13164	P60033
P56524	O00458
Q9HAU4	Q02535
P28845	Q5VSY0
Q9UBU9	P07900
Q9UBU9	Q9NX57
Q9UBU9	P48201
Q9UBU9	O95989
Q9UBU9	Q99816
Q9UBU9	O43865
Q9UBU9	P08237
Q9UBU9	O14964
Q92187	P62736
Q06413	O00458
P42336	O43739
P42336	O14807
P16333	Q15661
Q00610	P49368
Q00610	Q5SW96
Q02535	Q68DY1
Q02535	P19419
Q02535	Q16666
Q9NY72	Q9ULK4
O00400	P08238
P04637	P62736
P04637	P02545
P04637	Q16666
P04637	P02511
P04637	P21673
P04637	Q9Y5Q9
P04637	Q9BZE4
O15519	P07900
O15519	Q8WXF8
P02751	P07900
P50991	Q08380
P36873	P78371
Q13547	P78371
Q13547	O00458
P0CG48	Q9BYM8
