source	target
P50991	P78371
P50991	P60033
P50991	Q13618
Q99731	P98066
Q96B97	Q99816
Q96B97	P12268
Q9H8W4	Q9Y4P9
Q9H8W4	Q9Y4K3
Q9H8W4	Q15233
P40967	Q8TC12
P40967	P12236
Q9P0N5	Q12893
Q9P0N5	P50402
Q9P0N5	O14654
Q9UBU9	Q9NX57
Q9UBU9	P48201
Q9UBU9	Q9NXF8
Q9UBU9	Q16543
Q9UBU9	Q8N5U6
Q9UBU9	P68104
Q9UBU9	Q16774
Q9UBU9	P78371
Q9H668	Q5SW96
Q9H668	Q08379
Q96EI5	O00458
Q96EI5	P04637
Q00534	Q8WXF8
Q00534	Q16543
Q13620	Q16543
Q13620	Q53RE8
O00459	P07437
O00459	Q08379
P26045	O14734
P26045	P62258
O75909	Q9BRK4
Q9HD23	Q9H0U9
Q9NXF7	Q5SW96
Q9NXF7	Q9H3M7
P61981	Q5VTL8
P61981	P78371
P61981	Q07866
Q01081	Q01844
O95295	O95251
Q8IWL3	Q8TC12
Q8IWL3	Q08379
Q8IWL3	O14734
Q9BSJ8	Q9Y6K9
Q9BSJ8	P57105
Q9H3M7	P04637
P30536	Q96BA8
Q15661	P27986
Q15661	P16333
Q15661	P09429
Q93009	Q7L4P6
Q93009	Q16543
Q00610	Q5SW96
Q00610	Q9Y6K9
P56524	P62258
P56524	O00458
P57105	Q07954
P57105	Q14197
P57105	P98164
P57105	Q9H9J2
P57105	Q13705
P57105	O75844
P57105	O75208
O15371	Q7L4P6
O15371	Q9BRK4
P68400	O00458
P68400	Q16543
P68400	Q9H0U9
Q8WVX3	P02545
P15328	P07948
P15328	Q13618
P15328	Q9UKV8
P15328	P49721
P15328	Q6IBW4
P15328	P12268
Q13705	P07900
Q8NF91	P02545
Q8NF91	P50402
Q8NF91	Q9BYT8
O75828	P16152
O75828	Q01844
O75828	P01130
O14807	P55196
O14807	P04049
O14807	Q7L0Q8
O14807	P62195
O14807	Q8TEU7
O14807	P15056
O14807	Q7Z6Z7
O14807	P42336
O14807	Q15369
P08559	O14734
P08559	P50402
Q99816	Q9H9H4
Q99816	P04637
Q99816	Q01844
Q92478	P05067
Q15051	Q16774
Q15051	P50402
Q9BQB6	P48201
Q9BQB6	P02545
Q16543	P05067
Q16543	P50402
Q16543	O15519
Q16543	P19525
Q96EY1	P07900
Q96EY1	Q13618
P19525	O00458
Q3KP66	O43739
Q3KP66	Q13137
Q92769	O00458
Q92769	P04637
O60341	P05230
O60341	Q8N5U6
O60341	Q6NSJ2
O60341	O96006
O60341	Q9NP66
O60341	Q9C0B0
P15408	O43739
P15408	P01100
Q13617	Q53RE8
Q13617	P27348
Q96F46	Q9Y4K3
Q96F46	Q8NAC3
Q13137	O95990
P01100	P29972
P01100	Q9Y6K9
P01100	Q04724
Q9UPT6	Q5SW96
Q9UPT6	Q02750
Q9NY72	Q12893
Q9NY72	Q9ULK4
Q86SE5	Q01844
Q8ND90	O95990
Q04864	O14734
Q04864	P07437
Q08380	P78371
Q13432	P21673
Q13432	P09429
P10398	Q02750
P10398	P50402
Q92882	P02545
Q9Y6K9	Q02535
Q9Y6K9	P07948
Q9Y6K9	P55198
Q9Y6K9	P36873
Q9Y6K9	Q676U5
Q9Y6K9	P62987
P05067	Q6UWN8
P05067	Q53RE8
P05067	Q9NRW1
P05067	Q16666
P05067	Q9Y4K3
P05067	O14964
P05067	P07339
P05067	Q8N682
O43559	O15162
Q8WVC6	P0CG48
Q8WVC6	Q8TC12
O00400	P00846
O00400	P08238
P49368	P78371
P49368	P60033
Q9NRR5	P27348
Q9NRR5	Q14512
Q9NRR5	Q8N5R6
Q9NRR5	O14964
Q9NRR5	O43865
Q02750	Q9Y4K3
Q02750	Q14103
Q02750	P42336
Q02750	Q9BRX9
O00458	Q13547
O00458	Q06413
O00458	Q9BZE4
O00458	P35222
Q9C005	P50402
P29590	O14734
P29590	O15162
Q9UHL9	Q9NQZ6
Q9UHL9	P0CG48
P24666	P35222
Q7Z6Z7	P62258
Q68DY1	Q02535
Q68DY1	Q14192
Q9BSL1	P0CG48
