source	target
P04637	P21673
P04637	P0CG48
P04637	P07900
P04637	Q9H3M7
P04637	P55072
P04637	P07437
P04637	P68104
P04637	P40227
P04637	P05141
P04637	P78371
P04637	P62736
P04637	Q16666
P04637	P49368
P04637	Q15843
P04637	Q99816
P04637	Q9NVC6
P04637	P50991
P04637	P27348
P04637	P08238
P04637	Q01844
P04637	P61981
P04637	P50990
P04637	Q9Y4K3
P04637	P62258
P31946	P62736
P31946	P61981
P31946	Q04917
P31946	P50402
P31946	P55072
P31946	Q02750
P31946	P62258
P07900	Q9Y6K9
P07900	P68104
P07900	P78371
P07900	Q14289
P07900	Q96EY1
P07900	Q08380
P07900	P51610
P07900	P08238
P07900	P10398
P07900	P09914
P07900	P55072
P07900	Q9BYM8
P07900	Q16543
P07900	Q15843
P07900	Q8N5U6
P07900	P62258
Q01844	Q15843
Q01844	Q96G25
Q01844	Q99816
Q01844	Q9HAU4
Q01844	Q14576
Q01844	Q14289
Q01844	Q15427
Q01844	Q16543
Q01844	Q9NRA8
Q01844	Q15233
Q01844	Q86SE5
Q01844	Q9Y2W2
Q01844	Q13162
P02511	P61769
P02511	P04637
P27348	Q9HAU4
P27348	P50991
P27348	Q04917
P27348	P50990
P27348	P62736
P27348	Q15843
P27348	P68104
P27348	P31946
P27348	P62258
P27348	P50402
P27348	Q06830
P27348	P55072
P27348	Q16543
P27348	P61981
Q04917	Q15843
P08238	Q9Y6K9
P08238	P78371
P08238	P0CG48
P08238	Q08380
P08238	Q16543
P08238	Q8N5U6
P08238	P62258
P08238	P31946
P08238	P10398
P08238	P55072
P08238	Q14289
P08238	P09914
P61981	Q01844
P61981	P68104
P61981	P78371
P61981	P62258
P61981	Q15843
P61981	Q5VTL8
P61981	Q9Y2W2
P61981	Q04917
P62258	Q05639
P62258	Q15843
P62258	Q16543
P62258	Q02750
P62258	P62736
P62258	Q04917
P05141	P07900
P05141	P12236
P05141	Q9Y6K9
P05141	Q9HAU4
P05141	Q16543
P12236	Q9BRK4
P12236	Q04917
P12236	Q9HAU4
P12236	Q15654
P12236	Q9Y6K9
P12236	Q5JR59
P12236	P62258
P12236	Q16543
Q9BUZ4	Q9Y2W2
Q9BUZ4	Q9Y4K3
Q9BUZ4	Q9HAU4
P62736	Q9HAU4
P62736	Q8ND90
Q9BRK4	Q9NWS9
P50402	Q16543
P50402	Q8NFH5
P50402	Q9C005
P50402	Q8NF91
P50402	Q01844
P50402	Q8N5R6
P50402	P62258
P50402	Q8NHQ1
P55072	Q16543
P55072	Q04917
P55072	P63241
P55072	Q02750
P55072	Q9Y4K3
P55072	P78371
P55072	P62258
P55072	P61981
P55072	Q05639
P55072	Q99816
Q8ND90	Q96G25
Q08379	Q9BUZ4
Q99816	Q9H9H4
Q9Y4K3	Q9Y6K9
P30536	Q96BA8
P50990	P50991
P50990	P78371
P50990	Q08380
P50990	P55072
P0CG48	P50990
P0CG48	Q13162
P0CG48	P61981
P0CG48	P98066
P0CG48	Q13137
P0CG48	Q99816
P0CG48	P50991
P0CG48	P55072
P0CG48	P16152
P0CG48	Q96EY1
P0CG48	P31946
P0CG48	Q96B97
P0CG48	Q15843
P0CG48	P49368
P0CG48	P35372
P0CG48	Q9Y6K9
P0CG48	P40227
P0CG48	Q9Y4K3
P0CG48	P50402
P0CG48	Q9C005
P0CG48	P78371
P0CG48	Q9HAU4
P0CG48	Q05639
P0CG48	Q9BYM8
P98066	Q99731
Q13137	Q9Y6K9
Q13137	Q9Y4K3
Q13137	Q8N5R6
Q13137	Q9BUZ4
P50991	P62736
P50991	P55072
P50991	P78371
P50991	Q08380
P50991	Q5TAQ9
P16152	Q9Y4K3
Q96EY1	Q9Y6K9
Q96B97	Q99816
Q96B97	Q9H9H4
Q15843	Q9HAU4
