source	target
P61981	P27348
P61981	Q8TEU7
P61981	P07437
P61981	Q5VTL8
P61981	O14654
P61981	P55072
P61981	Q04917
P61981	Q9Y2W2
P61981	P10398
P61981	Q15843
P61981	P78371
P61981	P05067
P61981	P27986
P61981	P26045
P61981	P56524
P61981	Q9BZE4
P61981	P55196
P48201	Q13439
P48201	Q9BQB6
P48201	P06576
P48201	Q8N2G8
P51610	P13056
P51610	O43889
P25101	P29992
Q8TC12	Q8IWL3
Q8TC12	Q9H5K3
Q8TC12	P21964
Q8TC12	P55058
Q8TC12	O75208
Q8TC12	Q9Y5M8
Q8TC12	P40967
Q8TC12	Q8WVC6
Q8TC12	Q9BSJ8
P42336	O43739
P42336	Q9C005
P42336	O14807
Q6P1K2	P07900
Q6P1K2	Q9NQZ6
P08559	O14734
P08559	P0CG48
Q3B820	O95273
Q3B820	Q7L4P6
Q3B820	P02545
P40967	P12236
Q9BZE4	O00458
Q01844	Q9NRA8
Q01844	Q15427
Q01844	Q9BQD3
Q01844	P63241
Q01844	Q86SE5
Q01844	Q01081
Q01844	P19419
Q01844	O95817
Q01844	Q92769
Q01844	P09429
Q01844	Q15717
Q01844	Q14103
Q01844	Q99729
Q01844	Q93062
Q9BRK4	Q86VW0
Q9BRK4	O75909
Q9BRK4	Q9NWS9
Q9BRK4	Q13432
Q9BRK4	P15622
O95251	P04637
O95251	Q16666
O95251	Q8NHQ1
O95251	O95295
O95251	P21673
O95251	Q13137
O95817	Q53RE8
O95817	P31946
Q92769	O00458
P49721	P15328
P49721	P0CG48
Q8TEU7	O14807
Q92187	Q5T7M9
Q92187	P62736
P55198	Q9Y6K9
P55198	Q05639
Q96FT7	Q9H813
Q96FT7	Q5T7M9
Q9NX57	Q9UBU9
Q96IT1	Q9NWS9
Q9Y6K9	Q02535
Q9Y6K9	P06576
Q9Y6K9	Q13573
Q9Y6K9	Q15311
Q9Y6K9	Q00610
Q9Y6K9	Q9BSJ8
Q01081	P78362
Q01850	O14964
Q01850	P48454
P02545	O00459
P02545	O43889
P02545	Q92882
P02545	P63172
P02545	Q8NF91
P02545	Q8WVX3
P02545	Q9BQB6
P02545	O75844
Q16543	P12236
Q16543	P05141
Q16543	Q14576
Q16543	Q96SQ5
Q99816	O14964
Q99816	P55072
Q99816	Q96B97
Q99816	Q9H9H4
Q99816	Q15233
O43559	Q15654
P06213	O43739
P06213	O14964
Q8N2G8	Q9H813
Q68DY1	Q02535
P16333	Q15427
P16333	Q15661
Q15427	Q9BRX9
O14964	O43865
O14964	Q5VSY0
O14964	P08237
O14964	P27986
Q08379	Q8IWL3
Q08379	O60341
Q08379	Q9H668
Q07954	P57105
Q07954	P07900
Q14197	P57105
Q14197	Q96EY1
P50990	P49368
P50990	P05067
P0CG48	O75828
P0CG48	O75604
P0CG48	Q9Y4K3
P0CG48	P16152
P0CG48	P07948
P0CG48	P35372
P0CG48	Q05639
P0CG48	P08047
P0CG48	Q13620
P0CG48	Q96EY1
P0CG48	Q9HAU4
P0CG48	Q9C005
P0CG48	P98066
P0CG48	Q9UBU9
P0CG48	Q9BYM8
P0CG48	Q13162
P0CG48	P62195
P0CG48	O60337
P0CG48	Q13617
P0CG48	P84077
P0CG48	Q13618
P0CG48	P15056
P0CG48	Q14258
P0CG48	Q15369
P0CG48	P63010
P0CG48	P35568
P0CG48	P07550
P0CG48	Q9UKV8
P0CG48	Q676U5
P0CG48	Q9UHL9
P0CG48	Q9Y5M8
P0CG48	P68400
P0CG48	Q7Z6Z7
P0CG48	P35222
P0CG48	Q8WVC6
P0CG48	Q9H492
P12268	P15328
P12268	Q96B97
O75604	Q7L4P6
P07339	Q16666
P30536	Q96BA8
Q8N682	O43889
Q8N682	P05067
Q8WXF8	O15519
Q8WXF8	Q00534
Q8WXF8	Q96GN5
Q8WXF8	Q99729
Q8WXF8	O43251
Q8WXF8	Q676U5
Q8WXF8	Q9Y5Q9
Q9UPT9	Q4J6C6
Q9UPT9	Q9H813
Q9UPT9	Q96BA8
P07550	P57105
P63010	Q5SW96
Q13439	P40616
Q92478	P05067
Q9BYT8	Q5SW96
Q9BYT8	Q8NF91
P05067	P57105
P05067	Q6UWN8
P05067	Q92882
Q9NVC6	Q9NX70
Q9NVC6	Q00765
O15162	Q8N5R6
O15162	Q96SQ5
P19525	O00458
P19525	Q9Y4K3
Q9Y4P9	O96006
P09914	P08238
P09914	P07900
P29992	Q14258
P29992	Q6IQ23
Q9Y5Q9	P04637
Q13620	Q53RE8
Q13620	O14654
Q9H9H4	O60504
Q9P0N5	Q12893
Q9P0N5	O14654
Q6DKK2	Q9NRA8
Q6DKK2	Q16774
P0C7X2	Q7L4P6
P0C7X2	Q15654
P0C7X2	Q9NQZ6
Q8N5R6	Q8ND90
Q8N5R6	Q9UGN5
P08238	Q14289
P08238	Q6IQ23
P08238	O00400
Q9C0B0	P07900
Q9C0B0	P56378
Q9C0B0	O60341
Q13162	Q06830
P41240	P55072
P13056	Q15233
Q04917	Q86X19
Q8N5U6	O60341
P31946	O00459
P31946	Q02750
Q9UKV8	P15328
Q9BRX9	O43739
Q00610	Q5SW96
Q96B97	Q14289
Q96B97	O15056
P40227	P49368
Q96SQ5	Q96S65
P40425	O14770
P40425	Q9NXF8
Q9H000	Q12926
Q9H000	Q9BYM8
Q15661	P27986
Q15661	P09429
Q5VSY0	P28845
Q7L8A9	Q9NRW1
Q6IBW4	P07437
Q6IBW4	P15328
P55196	O14807
O15503	P55072
O43889	Q12893
O43889	Q96BA8
O43889	P50402
P50991	P49368
Q86X19	Q12893
Q96F46	Q9Y4K3
Q96F46	Q8NAC3
Q15654	P12236
Q15654	P01100
Q15654	O43865
Q5SW96	Q9NXF7
Q5SW96	A6NKD9
Q5SW96	P01130
Q5SW96	Q13573
Q5SW96	Q9UPT6
Q5SW96	Q07866
Q5SW96	P98164
Q5SW96	Q9H668
P27348	Q06413
Q8NF91	Q8NFH5
Q53RE8	Q13617
Q53RE8	Q13618
Q15717	Q4J6C6
Q15717	Q96S65
Q15717	O75909
O60504	Q9NQZ6
P50402	Q8NFH5
P15056	O14807
Q13227	P04637
Q13227	O43739
P07948	P15328
Q13432	P21673
Q13432	O60341
Q13432	P09429
P28845	Q5T7M9
P63172	O60341
Q96EI5	P04637
Q96EI5	O00458
Q16864	Q15843
Q13705	P57105
Q13705	P07900
P15336	O14770
P15336	P07900
O43513	Q9NX70
O14770	Q14258
O14770	Q9HBZ2
O14770	Q04724
O14770	Q93062
Q9UBU9	P07900
P01100	P19419
P01100	P29972
P01100	Q04724
P15622	Q9NQZ6
P49368	Q5TAQ9
P49368	Q08380
P49368	P24863
Q8NAC3	Q5T7M9
P15328	Q6IQ23
P68104	Q9Y6H6
P68104	P08237
P68104	Q8IUH5
P68104	Q9NZ94
Q5T7M9	Q9H5K3
Q5T7M9	P55058
Q5T7M9	Q8WWB7
Q5T7M9	Q9UNA3
Q5T7M9	Q9UGN5
P63241	Q04864
Q04864	O14734
Q04864	Q92882
P98066	Q99731
O75844	P57105
P26045	O14734
Q7L0Q8	O14807
Q7L0Q8	Q14289
Q8NBE8	P07900
Q8NBE8	O14734
Q14289	Q9BUZ4
Q8IUH5	Q12893
Q00765	P00846
Q00765	Q9NXF8
P62258	Q02750
Q9HBZ2	Q9BYM8
Q9H813	Q9UNA3
P03372	Q9NXF8
P03372	Q9Y4K3
P00846	P08047
P00846	O00400
P00846	Q00597
P55072	P21964
P55072	O43251
P55072	P04114
Q05639	P05161
O60341	Q49A26
O60341	Q6NSJ2
O60341	O96006
O60341	Q9NP66
P36873	Q9Y4K3
P36873	Q96S65
P29972	Q96S65
Q00597	P07900
Q9BYM8	P29590
P12236	Q5JR59
P12236	Q8WWB7
P12236	O75208
P12236	O00483
Q9HD23	Q9H0U9
Q9HD23	Q8IWL3
P62195	O14807
O14807	P04049
O14807	Q15369
O14807	Q7Z6Z7
Q8NHQ1	Q96GN5
Q8NHQ1	Q9ULM2
O14734	Q8IWL3
O14734	P05161
O14734	P29590
P61769	P02511
Q12926	Q14576
Q12926	Q8IUH3
Q9BQD3	Q9NQZ6
P62736	Q8ND90
A6NKD9	P02511
Q96G25	Q8ND90
Q96G25	Q9NX70
Q9UPT6	Q02750
Q8IWL3	P40616
Q15311	P57105
Q9HAU4	Q9H3M7
Q14258	O43739
O43741	P04637
O43741	Q7L4P6
Q16774	Q15051
Q16774	O00483
Q16774	Q14103
Q16774	Q9NZ94
P78362	Q6NXP0
P35222	O00458
P04114	P07900
P04114	Q99541
O60337	Q9NXF8
P24863	Q9NX70
