source	target
Q99729	Q9H0R8
Q99729	Q9Y297
Q99729	Q9UBU9
Q99729	Q9C0B0
Q99729	Q9H492
Q99729	Q9HCE1
Q99729	Q9NQC7
Q49A26	Q9NPJ6
Q49A26	Q9NRC8
Q15022	Q9Y297
Q15022	Q5T200
Q15022	Q49A26
Q15022	Q92616
Q15022	Q15427
Q15022	Q9NVC6
Q15022	Q9UBU9
Q15022	Q8NF91
Q15022	Q9GZV8
Q15022	Q92769
Q15022	Q93009
Q15022	Q9BUZ4
Q15022	Q15717
Q14790	Q9H492
Q14790	Q5S007
Q14790	Q9Y6K9
Q14790	Q9Y4K3
Q14790	Q8WXF8
Q14790	Q9GZV8
Q504Q3	Q71U36
Q504Q3	Q99729
Q504Q3	Q9BRK4
Q504Q3	Q9NRA8
Q504Q3	Q9BYM8
Q504Q3	Q92793
Q9H0R8	Q9H492
Q9H0R8	Q9HCE1
Q9H0R8	Q9UKV8
Q9H0R8	Q9UBU9
Q9H0R8	Q9NS23
Q9Y297	Q9Y6K9
Q9Y297	Q9Y4E8
Q9UBU9	Q9Y4E8
Q9UBU9	Q9Y2W2
Q9UBU9	Q9Y297
Q9C0B0	Q9UMX0
Q9C0B0	Q9H2H9
Q9H492	Q9UMX0
Q9H492	Q9UKV8
Q9H492	Q9NRR5
Q9H492	Q9HCE1
Q9H492	Q9NS23
Q9HCE1	Q9NP66
Q9HCE1	Q9Y297
Q9HCE1	Q9NRC8
Q9HCE1	Q9Y2W2
Q9HCE1	Q9NX70
Q9HCE1	Q9NXF8
Q9NQC7	Q9UMX0
Q9NQC7	Q9Y6K9
Q9NQC7	Q9Y4E8
Q9NQC7	Q9Y4K3
O95817	P04792
O95817	Q13501
O95817	P63172
O95817	Q15427
O95817	P12830
O95817	P00441
O95817	P63104
O95817	P62993
O95817	P31946
O95817	P07900
O95817	Q01844
O95817	Q5S007
O95817	P02511
O95817	Q9H832
O95817	P27348
O95817	Q04917
O95817	P05161
O95817	P08238
O95817	Q9Y6K9
O95817	Q96RD7
O95817	Q00839
O95817	P09874
O95817	P61981
O95817	P62258
O95817	P42858
O95817	P05141
O95817	P08670
O95817	P46108
O95817	P63279
O95817	P62195
O95817	P21796
O95817	P12236
O95817	Q13283
O95817	P12931
O95817	Q9UBU9
O95817	Q13620
O95817	Q15554
O95817	P84022
O95817	Q53RE8
O75208	Q9HCE1
O75208	P48047
O75208	Q8TC12
O75208	P12236
O75208	P57105
P04637	P19525
P04637	P61956
P04637	Q13620
P04637	P61221
P04637	P21673
P04637	P17066
P04637	Q9HCE1
P04637	P29590
P04637	P08670
P04637	Q00610
P04637	P0CG48
P04637	P53779
P04637	P05412
P04637	P07900
P04637	P63104
P04637	P24941
P04637	P49336
P04637	Q9H3M7
P04637	P55072
P04637	P08047
P04637	P49407
P04637	P36873
P04637	Q99608
P04637	Q92793
P04637	P04792
P04637	Q71U36
P04637	P10275
P04637	P09651
P04637	Q9UER7
P04637	Q969H0
P04637	Q13501
P04637	Q92993
P04637	P15927
P04637	P46379
