name	submodule	is_seed	spd	component_id
Q9BUZ4	1	1	0.08333333333333333	0
Q9BRK4	1	1	0.1319796954314721	0
Q8NHQ1	1	1	0.12389380530973451	0
Q8ND90	1	1	0.17857142857142858	0
Q08379	1	1	0.10256410256410256	0
Q13137	1	1	0.13291139240506328	0
Q01850	1	1	0.09615384615384616	0
Q8N5R6	1	1	0.13513513513513514	0
P04259	1	1	0.06060606060606061	0
Q99750	1	1	0.21084337349397592	0
Q96S65	1	1	0.2	0
O95990	1	1	0.13333333333333333	0
O75909	1	1	0.125	0
O15162	1	1	0.1619047619047619	0
Q9BUY5	1	0	0.3333333333333333	0
Q9UQ90	1	0	0.10810810810810811	0
Q9H7H0	1	0	0.17391304347826086	0
Q9BVG8	1	0	0.10869565217391304	0
Q07002	1	0	0.09433962264150944	0
Q08117	1	0	0.06201550387596899	0
Q5H9K5	1	0	0.2857142857142857	0
Q00587	1	0	0.16666666666666666	0
Q6IPM2	1	0	0.3	0
Q9H1D0	1	0	0.2	0
Q96ME1	1	0	0.21212121212121213	0
Q03989	1	0	0.1875	0
Q9NWQ4	1	0	0.19230769230769232	0
Q9BUH8	1	0	0.2222222222222222	0
Q5W5X9	1	0	0.1875	0
Q9H0I2	1	0	0.2857142857142857	0
Q86VK4	1	0	0.2727272727272727	0
Q9H6L4	1	0	0.13636363636363635	0
Q7L5A3	1	0	0.25	0
Q7Z4I7	1	0	0.3	0
Q8IXS8	1	0	0.2	0
Q8TBE0	1	0	0.3888888888888889	0
Q86W54	1	0	0.10714285714285714	0
Q5TAP6	1	0	0.3333333333333333	0
Q6PIY7	1	0	0.25	0
Q96GV9	1	0	0.25	0
Q9UKJ5	1	0	0.2	0
Q96GS6	1	0	0.2	0
Q68DK2	1	0	0.3076923076923077	0
Q96SQ5	1	0	0.20833333333333334	0
Q96IZ5	1	0	0.3	0
Q14296	1	0	0.18181818181818182	0
Q7Z2X4	1	0	0.23076923076923078	0
Q6P5X5	1	0	0.16666666666666666	0
Q9ULM2	1	0	0.15789473684210525	0
Q8TCX5	1	0	0.14705882352941177	0
Q96NG3	1	0	0.21428571428571427	0
P78337	1	0	0.23809523809523808	0
Q15735	1	0	0.2	0
Q9H0A9	1	0	0.25	0
P17482	1	0	0.15	0
P56279	1	0	0.13043478260869565	0
Q8N143	1	0	0.3333333333333333	0
Q96LJ7	1	0	0.4	0
Q9H1Q7	1	0	0.16666666666666666	0
Q9HB63	1	0	0.125	0
O60269	1	0	0.2	0
Q14584	1	0	0.3333333333333333	0
Q15937	1	0	0.5	0
Q8IY34	1	0	0.25	0
Q5T0F9	1	0	0.25	0
Q8N4T4	1	0	0.14285714285714285	0
P00540	1	0	0.10638297872340426	0
Q5T681	1	0	0.6666666666666666	0
Q8N5I3	1	0	0.2	0
Q9BR84	1	0	0.5	0
Q15077	1	0	1.0	0
Q96LX7	1	0	0.5	0
P82987	1	0	0.5	0
O75896	1	0	0.16666666666666666	0
O94967	1	0	0.3076923076923077	0
O95872	1	0	0.21428571428571427	0
P14207	1	0	1.0	0
Q15053	1	0	1.0	0
Q9NX70	2	1	0.10227272727272728	0
Q9ULK4	2	1	0.050955414012738856	0
Q96G25	2	1	0.16666666666666666	0
Q9NVC6	2	1	0.1111111111111111	0
P24863	2	1	0.23943661971830985	0
O43513	2	1	0.14285714285714285	0
O60244	2	0	0.13333333333333333	0
Q8TB05	2	0	0.5	0
A0JLT2	2	0	0.07476635514018691	0
P35372	3	1	0.05333333333333334	0
Q9H813	3	1	0.037037037037037035	0
Q8WVX3	3	1	0.25	0
O00458	3	1	0.08333333333333333	0
Q70CQ3	3	0	0.05555555555555555	0
Q92616	3	0	0.07766990291262135	0
P32970	3	0	0.0273972602739726	0
O60518	3	0	0.037037037037037035	0
O15121	3	0	0.10344827586206896	0
P35212	3	0	0.5	0
Q16864	4	1	0.05660377358490566	0
O43865	4	1	0.03076923076923077	0
P56378	4	1	1.0	0
Q9C0B0	4	0	0.02491103202846975	0
Q9H299	4	0	0.125	0
O95155	4	0	0.027777777777777776	0
P10398	5	1	0.04040404040404041	0
O43739	5	1	0.14285714285714285	0
O14807	5	1	0.14285714285714285	0
P15056	5	0	0.043478260869565216	0
P42336	5	0	0.05747126436781609	0
Q9Y2L6	5	0	0.6666666666666666	0
P12236	6	1	0.03278688524590164	0
Q53RE8	6	1	0.2	0
O95817	6	0	0.010050251256281407	0
O43772	6	0	0.07142857142857142	0
Q02750	7	1	0.06451612903225806	0
P19419	7	1	0.045454545454545456	0
Q16539	7	0	0.020833333333333332	0
Q9H4B4	7	0	0.07142857142857142	0
Q08380	8	1	0.07333333333333333	0
O14654	8	1	0.02564102564102564	0
Q9Y6M0	8	0	0.125	0
Q9Y4D8	8	0	0.2	0
P50990	9	1	0.1751412429378531	0
P50991	9	1	0.23036649214659685	0
P49368	9	1	0.2283464566929134	0
P40227	9	1	0.21800947867298578	0
P78371	9	1	0.20784313725490197	0
Q99832	9	0	0.2242152466367713	0
Q96AZ1	9	0	0.1836734693877551	0
P48643	9	0	0.21739130434782608	0
Q8WW22	9	0	0.13953488372093023	0
Q49AN0	9	0	0.05263157894736842	0
Q9C0K7	9	0	0.25	0
Q9H7D0	9	0	0.12698412698412698	0
Q9BPW8	9	0	0.1323529411764706	0
Q8TD08	9	0	0.125	0
Q6P3X3	9	0	0.15789473684210525	0
Q6NXE6	9	0	0.13636363636363635	0
Q9NW82	9	0	0.21428571428571427	0
Q9HBY8	9	0	0.4	0
Q86VZ2	9	0	0.25	0
Q92526	9	0	0.39285714285714285	0
Q969R5	9	0	0.14754098360655737	0
Q9UPM9	9	0	0.5294117647058824	0
Q8NES3	9	0	0.5	0
Q96BT7	9	0	0.7	0
Q9NPJ1	9	0	0.35294117647058826	0
Q8NB37	9	0	0.12121212121212122	0
Q9BQS8	9	0	0.13725490196078433	0
Q7Z624	9	0	0.16	0
Q9P2G9	9	0	0.11764705882352941	0
Q9BUR4	9	0	0.1891891891891892	0
Q8N5D0	9	0	0.35714285714285715	0
Q9Y2U9	9	0	0.11904761904761904	0
O14530	9	0	0.2641509433962264	0
P57775	9	0	0.22727272727272727	0
Q8IYD2	9	0	0.6875	0
O95568	9	0	0.175	0
Q9NXB0	9	0	0.15714285714285714	0
Q9Y3L5	9	0	0.2916666666666667	0
