Sample	drugstone_link	link_raw
Egress_and_Envelopment.amygdala.diamond	<a href=https://drugst.one/?id=63df39aeccfa49698bd50ee67ed5ef72>Egress_and_Envelopment.amygdala.diamond</a>	https://drugst.one/?id=63df39aeccfa49698bd50ee67ed5ef72
Egress_and_Envelopment.amygdala.domino	<a href=https://drugst.one/?id=36f42843ff7c47e1ba374c276c1d88c7>Egress_and_Envelopment.amygdala.domino</a>	https://drugst.one/?id=36f42843ff7c47e1ba374c276c1d88c7
Egress_and_Envelopment.amygdala.no_tool	<a href=https://drugst.one/?id=bc51c61475c1480580b179b74f5c2bc5>Egress_and_Envelopment.amygdala.no_tool</a>	https://drugst.one/?id=bc51c61475c1480580b179b74f5c2bc5
Egress_and_Envelopment.amygdala.robust	<a href=https://drugst.one/?id=d5988eba8dca43c289a755dc99cd8e9f>Egress_and_Envelopment.amygdala.robust</a>	https://drugst.one/?id=d5988eba8dca43c289a755dc99cd8e9f
Egress_and_Envelopment.amygdala.robust_bias_aware	<a href=https://drugst.one/?id=cc21364319ad437a8a94821fd990181d>Egress_and_Envelopment.amygdala.robust_bias_aware</a>	https://drugst.one/?id=cc21364319ad437a8a94821fd990181d
Egress_and_Envelopment.amygdala.rwr	<a href=https://drugst.one/?id=6ec48d0034d44d1596a240f0192034e2>Egress_and_Envelopment.amygdala.rwr</a>	https://drugst.one/?id=6ec48d0034d44d1596a240f0192034e2
Egress_and_Envelopment.brain.diamond	<a href=https://drugst.one/?id=7aceae80ed3740669a1358ff19f656fb>Egress_and_Envelopment.brain.diamond</a>	https://drugst.one/?id=7aceae80ed3740669a1358ff19f656fb
Egress_and_Envelopment.brain.domino	<a href=https://drugst.one/?id=747c8a5c3c934a0e94e3d92f85ad279b>Egress_and_Envelopment.brain.domino</a>	https://drugst.one/?id=747c8a5c3c934a0e94e3d92f85ad279b
Egress_and_Envelopment.brain.no_tool	<a href=https://drugst.one/?id=4efc20c46bd74477ae0ff63b5bf11ba3>Egress_and_Envelopment.brain.no_tool</a>	https://drugst.one/?id=4efc20c46bd74477ae0ff63b5bf11ba3
Egress_and_Envelopment.brain.robust	<a href=https://drugst.one/?id=3b40830c8c2e48d19d031dcf477dcff1>Egress_and_Envelopment.brain.robust</a>	https://drugst.one/?id=3b40830c8c2e48d19d031dcf477dcff1
Egress_and_Envelopment.brain.robust_bias_aware	<a href=https://drugst.one/?id=a5896c8cba93437794741914c9774ff4>Egress_and_Envelopment.brain.robust_bias_aware</a>	https://drugst.one/?id=a5896c8cba93437794741914c9774ff4
Egress_and_Envelopment.brain.rwr	<a href=https://drugst.one/?id=92a80caf01884b47b3cc5b5a669227b9>Egress_and_Envelopment.brain.rwr</a>	https://drugst.one/?id=92a80caf01884b47b3cc5b5a669227b9
Egress_and_Envelopment.dorsal_root_ganglia.diamond	<a href=https://drugst.one/?id=1b9f9aeee4434a168b3590ad746fe5d8>Egress_and_Envelopment.dorsal_root_ganglia.diamond</a>	https://drugst.one/?id=1b9f9aeee4434a168b3590ad746fe5d8
Egress_and_Envelopment.dorsal_root_ganglia.domino	<a href=https://drugst.one/?id=c0afcbc8856442db8dcf6cbefd502e18>Egress_and_Envelopment.dorsal_root_ganglia.domino</a>	https://drugst.one/?id=c0afcbc8856442db8dcf6cbefd502e18
Egress_and_Envelopment.dorsal_root_ganglia.no_tool	<a href=https://drugst.one/?id=3a23d761075d4126a0ce911845de5048>Egress_and_Envelopment.dorsal_root_ganglia.no_tool</a>	https://drugst.one/?id=3a23d761075d4126a0ce911845de5048
Egress_and_Envelopment.dorsal_root_ganglia.robust	<a href=https://drugst.one/?id=6d46b4de21944db995f40da1ab650133>Egress_and_Envelopment.dorsal_root_ganglia.robust</a>	https://drugst.one/?id=6d46b4de21944db995f40da1ab650133
