Sample	custom_content_topology-nodes	custom_content_topology-edges	custom_content_topology-seeds	custom_content_topology-diameter	custom_content_topology-components	custom_content_topology-largest_component	custom_content_topology-max_dist_to_seed	custom_content_topology-isolated_nodes
Egress_and_Envelopment.amygdala.diamond	364	9755	164	6.0	20	345	2	19
Egress_and_Envelopment.amygdala.domino	182	637	42	7.0	1	182	1	0
Egress_and_Envelopment.amygdala.firstneighbor	6123	160429	164	5.0	1	6123	1	0
Egress_and_Envelopment.amygdala.no_tool	164	405	164	7.0	43	118	0	38
Egress_and_Envelopment.amygdala.robust	302	453	164	10.0	10	289	1	5
Egress_and_Envelopment.amygdala.robust_bias_aware	306	455	164	12.0	8	298	1	6
Egress_and_Envelopment.amygdala.rwr	382	5255	164	5.0	1	382	1	0
Egress_and_Envelopment.brain.diamond	368	9796	168	6.0	22	347	2	21
Egress_and_Envelopment.brain.domino	172	603	43	7.0	1	172	1	0
Egress_and_Envelopment.brain.firstneighbor	6249	164072	168	6.0	1	6249	1	0
Egress_and_Envelopment.brain.no_tool	168	408	168	7.0	45	120	0	40
Egress_and_Envelopment.brain.robust	315	461	168	11.0	8	307	1	6
Egress_and_Envelopment.brain.robust_bias_aware	316	478	168	12.0	8	307	1	5
Egress_and_Envelopment.brain.rwr	420	6305	168	5.0	1	420	1	0
Egress_and_Envelopment.dorsal_root_ganglia.diamond	375	9810	175	6.0	23	353	2	22
Egress_and_Envelopment.dorsal_root_ganglia.domino	264	870	74	9.0	1	264	1	0
Egress_and_Envelopment.dorsal_root_ganglia.firstneighbor	6377	171609	175	5.0	1	6377	1	0
Egress_and_Envelopment.dorsal_root_ganglia.no_tool	175	419	175	6.0	50	122	0	45
Egress_and_Envelopment.dorsal_root_ganglia.robust	326	480	175	10.0	10	315	1	7
Egress_and_Envelopment.dorsal_root_ganglia.robust_bias_aware	322	469	175	12.0	7	315	1	5
Egress_and_Envelopment.dorsal_root_ganglia.rwr	430	6604	175	6.0	1	430	1	0
Egress_and_Envelopment.hypothalamus.diamond	366	9873	166	6.0	23	344	2	22
Egress_and_Envelopment.hypothalamus.domino	230	954	34	7.0	1	230	1	0
Egress_and_Envelopment.hypothalamus.firstneighbor	6160	162180	166	6.0	1	6160	1	0
Egress_and_Envelopment.hypothalamus.no_tool	166	405	166	7.0	45	118	0	40
Egress_and_Envelopment.hypothalamus.robust	303	429	166	12.0	6	298	1	5
Egress_and_Envelopment.hypothalamus.robust_bias_aware	303	430	166	13.0	7	296	1	5
Egress_and_Envelopment.hypothalamus.rwr	439	6820	166	6.0	1	439	1	0
Egress_and_Envelopment.salivary_gland.diamond	370	9932	170	6.0	23	348	2	22
Egress_and_Envelopment.salivary_gland.domino	203	683	49	11.0	2	198	1	0
Egress_and_Envelopment.salivary_gland.firstneighbor	6245	167064	170	6.0	1	6245	1	0
Egress_and_Envelopment.salivary_gland.no_tool	170	413	170	6.0	48	119	0	43
Egress_and_Envelopment.salivary_gland.robust	332	494	170	12.0	5	328	1	4
Egress_and_Envelopment.salivary_gland.robust_bias_aware	333	499	170	12.0	5	328	1	3
Egress_and_Envelopment.salivary_gland.rwr	446	7165	170	5.0	1	446	1	0
Egress_and_Envelopment.uniprot_ppi.diamond	400	11079	200	6.0	33	368	2	32
Egress_and_Envelopment.uniprot_ppi.domino	262	961	57	8.0	1	262	1	0
Egress_and_Envelopment.uniprot_ppi.firstneighbor	8253	227705	200	5.0	1	8253	1	0
Egress_and_Envelopment.uniprot_ppi.no_tool	200	491	200	7.0	59	136	0	54
Egress_and_Envelopment.uniprot_ppi.robust	384	553	200	12.0	11	371	1	8
Egress_and_Envelopment.uniprot_ppi.robust_bias_aware	387	564	200	14.0	11	375	1	8
Egress_and_Envelopment.uniprot_ppi.rwr	616	11335	200	6.0	1	616	1	0
