source	target
Q969H0	Q16394
Q969H0	Q9Y3Q8
Q969H0	Q96BA8
Q07666	P05408
Q07666	P0CG48
Q07666	P41240
P04156	Q15223
P04156	Q9Y3Q8
P12236	P56181
P12236	Q9BRK4
P19320	Q9BUL8
P19320	P54920
P19320	P52789
P19320	P0CG48
P19320	Q9UBQ5
Q9P0L0	P56181
Q9P0L0	Q9UBQ5
Q92793	O95639
Q92793	O75177
Q92793	P10914
Q92793	P15692
P28331	P56181
P28331	P0CG48
Q15717	Q8WUH6
Q15717	P52789
Q15717	O43865
Q15717	Q5JUX0
Q96AD5	P36955
Q96AD5	P0CG48
Q9Y3Q8	Q8N5R6
Q9Y3Q8	Q9UKB1
Q9Y3Q8	P21673
Q9Y3Q8	Q15369
Q9Y3Q8	Q15714
Q9Y3Q8	P51116
O75477	Q7L5A8
O75477	P0CG48
Q15714	Q9NRP0
Q96BA8	O43741
Q96BA8	O43889
Q96BA8	P01031
Q96BA8	Q06455
Q9UKV8	P15328
Q9UKV8	P0CG48
Q9UKV8	Q16666
P05408	Q9NRR5
P05408	Q9UMX0
P60953	P56181
P60953	P0CG48
P67775	Q9BUL8
P67775	O43865
Q9HCE1	P56181
Q9HCE1	Q12926
Q9HCE1	Q96FQ6
P63000	Q9BRK4
P63000	Q15382
P05067	Q15772
P05067	Q9BX68
P05067	O76095
P05067	Q9NZL4
P05067	Q8N5R6
P05067	P54920
O95376	O14933
O95376	Q15382
O95376	Q8N5R6
P07686	P52789
P07686	Q9BUL8
P61956	Q96IT1
P61956	O43865
P61956	P0CG48
P36897	P08567
P36897	P0CG48
P63027	Q96FQ6
P63027	P54920
Q96IT1	Q9NWS9
Q96IT1	P22087
Q96IT1	Q8IYH5
Q96IT1	O00267
Q96IT1	Q13185
Q96IT1	Q13263
Q8IWL3	P56181
Q8IWL3	P52789
Q8IWL3	P35914
Q3MHD2	Q16666
Q3MHD2	P35914
Q3MHD2	P0CG48
Q9Y570	Q9BUL8
Q9Y570	Q9NZL4
Q9Y570	P52789
Q9NQC7	Q5JUX0
Q9NQC7	Q9UBQ5
Q13185	Q16666
Q14999	Q9BX68
Q14999	P0CG48
Q9UGI8	P52789
Q9UGI8	O43865
Q13617	Q53RE8
Q13617	P0CG48
Q9UMX0	P0CG48
Q9UMX0	P52789
Q9UMX0	O43865
Q9NWS9	Q9BRK4
P49748	Q16666
P49748	P35914
P15056	Q15382
P15056	P0CG48
P00519	P01024
P00519	P0CG48
P52789	P06737
P52789	Q99426
P52789	Q8IVT5
P52789	P29144
P52789	P19367
P52789	P00533
P52789	P07900
P52789	O60260
O75886	P54920
O75886	P0CG48
Q13620	Q53RE8
Q13620	P0CG48
P49902	Q9NRS6
P49902	Q9NZL4
P34897	P56181
P34897	Q9BX68
P09651	P01024
P09651	Q9HCD5
Q9Y5K5	Q96FQ6
Q9Y5K5	P0CG48
P46531	Q16666
P46531	Q16394
Q9UBU9	P56181
Q9UBU9	Q96FQ6
Q9UBU9	Q9HCD5
Q9UBU9	O43865
Q9UBU9	Q16666
Q00403	P10914
Q00403	P35914
P41240	Q8TEW0
P41240	P07948
Q8TEW0	Q15223
O14786	P49763
Q9NPJ6	P01024
Q9NPJ6	Q9NZL4
P00488	P08567
P00488	Q99962
Q96FQ6	P26038
Q96FQ6	Q9NQC3
Q96FQ6	P22626
