source	target
Q8NFQ8	Q16394
Q8NFQ8	P0CG48
Q9HCD5	P09651
Q9HCD5	Q14999
Q96BA8	Q06455
Q96BA8	Q969H0
Q96BA8	O43889
Q96BA8	O43741
Q96BA8	P01031
P61956	Q96IT1
P61956	O43865
O00560	Q15223
O00560	Q16666
P29144	Q9H159
P29144	P52789
P49763	P17948
P49763	O14786
P49763	P15692
P49763	O60462
Q9Y5S9	Q16666
Q9Y5S9	Q8WUH6
Q92838	Q9NRP0
Q92838	O43865
Q16666	Q8IWA0
Q16666	Q9UKB1
Q16666	Q9UBQ5
Q16666	Q9UKV8
Q16666	P26368
Q16666	Q9HCE1
Q16666	O14965
Q16666	P68400
Q16666	P46531
Q16666	Q5SSJ5
Q16666	O00267
Q16666	P51116
Q16666	P29590
Q16666	P49748
Q16666	Q13185
Q16666	Q99426
Q16666	Q3MHD2
Q16666	P49790
Q16666	P60953
P51659	P08567
P51659	P0CG48
P11021	P36955
P11021	Q9NZL4
P11021	Q8WUH6
P11021	O43865
Q8IVT5	P52789
Q8IVT5	Q9BUL8
Q8IVT5	P15531
Q8NBM4	Q96FQ6
Q8NBM4	P0CG48
O95639	Q9BRK4
O95639	P33240
O95639	P27448
P36897	P0CG48
P36897	P08567
P08567	Q8IWA0
P08567	Q04771
P08567	P26038
P08567	P00488
P08567	P16871
Q8WUH6	Q15717
P21281	P54920
P21281	O43865
Q15223	P12830
Q15223	Q8TEW0
Q15223	P04156
Q15223	P11362
Q13428	Q96FQ6
Q13428	P0CG48
Q9P0L0	P56181
Q9P0L0	Q9UBQ5
Q13620	P0CG48
Q13620	Q53RE8
Q969H0	Q16394
Q969H0	Q9Y3Q8
O60216	P01024
O60216	Q92956
Q96FQ6	P55809
Q96FQ6	O75396
Q96FQ6	P22626
Q96FQ6	P26038
Q96FQ6	Q04323
Q96FQ6	Q9HCE1
Q96FQ6	O95292
Q96FQ6	Q9NQC3
Q99426	P52789
O95292	P0CG48
O95292	P56181
O95292	Q15772
Q96PU5	P36955
Q96PU5	P0CG48
P26368	Q9BXS6
Q9H159	Q969R5
Q9H159	Q8IYH5
Q9H159	O75592
Q9H159	P0CG47
Q9H159	P27448
Q9H159	P29590
P49902	Q9NZL4
P49902	Q9NRS6
Q5SSJ5	Q9BXS6
P52597	Q9BUL8
P52597	Q8N5R6
Q8IYH5	Q96IT1
Q9Y5M8	Q15382
Q9Y5M8	Q92956
