source	target
P11021	Q8WUH6
P11021	P36955
P11021	Q9NZL4
Q9BV68	P35914
Q9BV68	P0CG48
P01375	Q15382
P01375	P0CG48
P63027	P54920
P63027	Q96FQ6
Q9H0R8	Q96FQ6
Q9H0R8	P15531
Q15041	Q9NRS6
Q15041	P35914
P49763	O14786
P49763	P17948
P49763	P15692
P49763	O60462
Q2QGD7	Q99962
Q2QGD7	O76095
P01024	Q9NPJ6
P01024	Q04206
P01024	P40337
P01024	P21980
P01024	P02751
P01024	P01031
P01024	O60216
P01024	P09651
P01024	P00519
P00519	P0CG48
P67775	O43865
P67775	Q9BUL8
P68400	P36955
P68400	P21673
P68400	Q16666
P63000	Q15382
P63000	P15531
P63000	P0CG48
Q96AD5	P36955
Q96AD5	P0CG48
Q6IQ23	P15328
Q6IQ23	Q9NZL4
Q6IQ23	P54920
P40337	Q9UBQ5
Q969H0	Q96BA8
Q969H0	Q9Y3Q8
Q969H0	Q16394
Q16763	O76095
Q16763	P0CG48
Q04323	P0CG48
Q04323	Q96FQ6
Q13620	Q53RE8
Q13620	P0CG48
Q92956	P05067
Q92956	Q9NZL4
Q92956	Q9NRR5
Q92956	Q99873
Q92956	P31689
Q92956	O60216
Q92956	P55072
P49748	P35914
P49748	Q16666
P05067	Q9BX68
P05067	Q53RE8
P05067	Q15772
P05067	Q16666
P05067	Q8N5R6
P06737	P52789
P06737	P0CG48
P21281	O43865
P21281	P54920
Q92838	Q9NRP0
Q92838	O43865
Q9NZL4	Q9NPJ6
Q9NZL4	P49902
Q9NZL4	Q14318
Q9NZL4	Q9Y570
Q8WVK2	Q9BUL8
Q8WVK2	Q16666
Q99962	P00488
P36955	Q96PU5
P36955	P40692
P36955	Q969R5
P19367	P52789
P19367	Q9BUL8
P29590	Q9H159
P29590	Q16666
P60953	P56181
P60953	Q16666
O75177	P40763
O75177	Q9NVW2
O75177	Q09472
Q96HA8	Q9BRK4
Q96HA8	P35914
Q96HA8	P15531
P29144	Q9H159
P29144	P52789
P62987	P10914
P62987	Q96FQ6
P62987	O14933
Q6IBW4	Q9BRK4
Q6IBW4	P15328
Q8TEW0	P41240
Q8TEW0	Q15223
P01023	Q14576
P01023	Q15382
O76095	Q15369
O75477	Q7L5A8
O75477	P0CG48
Q14576	Q12926
Q14576	Q9BQ95
Q9UKB1	Q8TBF5
Q9UKB1	Q9Y3Q8
Q9UKB1	Q16666
Q9UBU9	P56181
Q9UBU9	Q96FQ6
Q9UBU9	Q16666
Q9HCD5	Q14999
Q9HCD5	Q15714
Q9HCD5	P09651
Q8N5R6	Q9Y3Q8
Q8N5R6	P51116
Q8N5R6	O43741
Q8N5R6	P40692
Q8N5R6	P52597
O43741	Q96BA8
O43741	Q9BRK4
P56181	P34897
P56181	P22314
