source	target
Q9UNE7	Q9Y4K3
Q9UNE7	Q9Y5Y2
Q14790	Q9NS56
Q14790	Q9UDY8
Q14790	Q99558
Q14790	Q92844
Q14790	Q8IUC6
Q14790	Q9UHD2
Q14790	Q9Y6K9
Q14790	Q9Y4K3
Q14790	Q15628
Q14790	Q9NZS9
Q14790	Q8WZ73
Q14790	Q7Z434
Q9HCE7	Q9UNE7
Q9HCE7	Q9UHD9
Q9HCE7	Q9UMX0
Q9HCE7	Q9Y3C5
Q9HCE7	Q9UHD2
Q9HCE7	Q9Y508
Q9HCE7	Q9Y4E8
Q9C0B0	Q9UMX0
Q9C0B0	Q9NVW2
Q9C0B0	Q9Y3C8
Q9C0B0	Q9NX47
Q9C0B0	Q9UBT2
Q9C0B0	Q9NZS9
P61086	Q9NZS9
P61086	Q9UKV5
P61086	Q13233
P61086	Q86UD3
P61086	Q96CA5
P61086	Q00987
P61086	Q9HCE7
P61086	Q9HBD1
P61086	Q14164
P61086	Q99942
P61086	Q9C040
P61086	Q6ZNA4
P61086	Q9H6Y7
P61086	Q86Y13
P61086	P62837
P61086	Q9C035
P61086	Q8N9I9
P61086	Q9H992
P61086	Q15843
P61086	Q96GF1
P61086	P62987
P61086	Q8IUQ4
P61086	Q96J02
P61086	Q9BYM8
P61086	P78317
P61086	Q96EQ8
P61086	P63165
P61086	P61088
P61086	P63279
P61086	Q9Y508
P61086	Q8TDB6
Q9UBT2	Q9UHD9
Q9UBT2	Q9Y4K3
Q99614	Q9UHD9
Q99614	Q9BYN0
P25942	Q13490
P25942	Q9Y4K3
P25942	Q9NYJ8
P25942	Q92844
P25942	Q9Y4E8
P25942	Q13114
P25942	Q13077
P25942	Q13489
P61088	Q8ND25
P61088	Q13490
P61088	Q15819
P61088	Q96FA3
P61088	Q9Y4K3
P61088	Q9NZS9
P61088	Q8IUQ4
P61088	Q13049
P61088	Q13546
P61088	Q9UDY8
P61088	Q86Y13
P61088	Q9P0P0
P61088	Q99942
