name	connected_components_id	isSeed	nrOfOccurrences	significance	trees	is_seed	spd	component_id
Q15223	0	1	30	1.0	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29	1	0.3333333333333333	0
O95639	0	1	30	1.0	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29	1	0.06896551724137931	0
O76095	0	1	30	1.0	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29	1	0.75	0
P01024	0	1	30	1.0	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29	1	0.2647058823529412	0
P0CG48	0	1	30	1.0	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29	1	0.04927211646136618	0
Q96FQ6	0	1	30	1.0	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29	1	0.3333333333333333	0
Q9NRP0	0	1	30	1.0	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29	1	0.23076923076923078	0
Q9BX68	0	1	30	1.0	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29	1	1.0	0
Q8TBF5	0	1	30	1.0	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29	1	0.3333333333333333	0
Q8WUH6	0	1	30	1.0	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29	1	0.5	0
Q12926	0	1	30	1.0	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29	1	0.031578947368421054	0
P52789	0	1	30	1.0	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29	1	0.35714285714285715	0
Q8WVF5	0	1	30	1.0	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29	1	0.3333333333333333	0
Q92956	0	1	30	1.0	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29	1	0.1	0
P56181	0	1	30	1.0	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29	1	0.2894736842105263	0
Q5JUX0	0	1	30	1.0	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29	1	0.42857142857142855	0
P05408	0	1	30	1.0	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29	1	0.42857142857142855	0
Q16666	0	1	30	1.0	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29	1	0.04896907216494845	0
O75177	0	1	30	1.0	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29	1	0.08108108108108109	0
P41240	0	1	30	1.0	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29	1	0.07692307692307693	0
Q96IT1	0	1	30	1.0	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29	1	0.30434782608695654	0
Q15772	0	1	30	1.0	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29	1	0.75	0
P36955	0	1	30	1.0	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29	1	0.5	0
P10914	0	1	30	1.0	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29	1	0.046511627906976744	0
Q96BA8	0	1	30	1.0	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29	1	0.14705882352941177	0
Q9NRS6	0	1	30	1.0	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29	1	0.7	0
O43865	0	1	30	1.0	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29	1	0.06666666666666667	0
Q9NZL4	0	1	30	1.0	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29	1	0.0759493670886076	0
Q86SE5	0	1	30	1.0	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29	1	0.05263157894736842	0
Q16394	0	1	30	1.0	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29	1	0.23529411764705882	0
Q15382	0	1	30	1.0	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29	1	0.29545454545454547	0
P21673	0	1	30	1.0	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29	1	0.06060606060606061	0
O14933	0	1	30	1.0	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29	1	0.08888888888888889	0
Q14576	0	1	30	1.0	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29	1	0.25	0
Q99962	0	1	30	1.0	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29	1	0.014705882352941176	0
Q7L5A8	0	1	30	1.0	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29	1	0.5	0
P35914	0	1	30	1.0	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29	1	0.34782608695652173	0
Q9BRK4	0	1	30	1.0	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29	1	0.03482587064676617	0
Q9HCD5	0	1	30	1.0	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29	1	0.16666666666666666	0
Q9H159	0	1	30	1.0	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29	1	0.35	0
Q9UBQ5	0	1	30	1.0	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29	1	0.14285714285714285	0
P15328	0	1	30	1.0	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29	1	0.7142857142857143	0
P54920	0	1	30	1.0	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29	1	0.11320754716981132	0
P08567	0	1	30	1.0	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29	1	0.5454545454545454	0
Q8N5R6	0	1	30	1.0	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29	1	0.10526315789473684	0
Q53RE8	0	1	30	1.0	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29	1	0.6	0
Q9Y3Q8	0	1	30	1.0	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29	1	0.11764705882352941	0
Q9BUL8	0	1	30	1.0	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29	1	0.16666666666666666	0
P15531	0	1	30	1.0	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29	1	0.06896551724137931	0
O95292	0	0	11	0.36666666666666664	1,2,4,7,10,13,15,18,21,24,27	0	0.014285714285714285	0
O43889	0	0	10	0.3333333333333333	0,3,6,9,12,15,18,21,24,27	0	0.015789473684210527	0
Q99426	0	0	3	0.1	6,15,24	0	0.05128205128205128	0
Q13617	0	0	10	0.3333333333333333	0,5,8,11,14,16,20,23,26,29	0	0.00554016620498615	0
P04156	0	0	7	0.23333333333333334	0,6,10,14,18,22,26	0	0.02564102564102564	0
Q09472	0	0	3	0.1	7,15,29	0	0.004597701149425287	0
P05161	0	0	10	0.3333333333333333	2,3,6,9,12,17,18,21,24,27	0	0.01	0
P63000	0	0	3	0.1	6,12,24	0	0.008298755186721992	0
P62714	0	0	3	0.1	7,15,26	0	0.012195121951219513	0
P19367	0	0	3	0.1	0,11,23	0	0.034482758620689655	0
Q9UI14	0	0	5	0.16666666666666666	2,6,12,19,26	0	0.030303030303030304	0
P0CG47	0	0	5	0.16666666666666666	1,10,15,21,27	0	0.006493506493506494	0
Q9UKV8	0	0	7	0.23333333333333334	1,6,10,14,18,22,26	0	0.01	0
P49768	0	0	3	0.1	2,19,29	0	0.01818181818181818	0
Q9UBU9	0	0	3	0.1	1,17,27	0	0.003006012024048096	0
Q13428	0	0	3	0.1	10,11,22	0	0.03076923076923077	0
P05067	0	0	11	0.36666666666666664	0,3,6,9,12,14,17,20,23,26,29	0	0.0029533372711163615	0
Q16763	0	0	11	0.36666666666666664	0,1,4,7,10,15,16,18,21,24,27	0	0.02702702702702703	0
P55072	0	0	3	0.1	1,17,29	0	0.007326007326007326	0
O75592	0	0	5	0.16666666666666666	3,8,14,20,26	0	0.034482758620689655	0
Q15717	0	0	10	0.3333333333333333	1,3,6,9,12,15,18,21,24,27	0	0.0025252525252525255	0
Q9NWS9	0	0	5	0.16666666666666666	4,8,14,20,26	0	0.09523809523809523	0
Q86VN1	0	0	5	0.16666666666666666	0,8,14,21,28	0	0.05405405405405406	0
Q8IWL3	0	0	5	0.16666666666666666	5,7,14,21,28	0	0.004573170731707317	0
P46531	0	0	8	0.26666666666666666	0,6,9,12,16,18,24,27	0	0.009345794392523364	0
P32121	0	0	11	0.36666666666666664	1,3,5,8,11,14,17,20,23,26,29	0	0.011904761904761904	0
Q9NQC7	0	0	11	0.36666666666666664	0,2,4,7,10,13,16,19,22,25,28	0	0.004056795131845842	0
Q04323	0	0	3	0.1	3,18,29	0	0.014492753623188406	0
Q12931	0	0	9	0.3	1,4,7,10,14,21,22,25,29	0	0.016	0
P22314	0	0	3	0.1	9,11,21	0	0.009615384615384616	0
O43741	0	0	8	0.26666666666666666	4,6,10,14,18,21,25,29	0	0.04411764705882353	0
Q13263	0	0	5	0.16666666666666666	4,9,15,21,27	0	0.007042253521126761	0
Q96PU5	0	0	6	0.2	1,5,10,15,20,28	0	0.011976047904191617	0
P36957	0	0	3	0.1	2,12,29	0	0.008403361344537815	0
P00533	0	0	3	0.1	7,14,23	0	0.0017331022530329288	0
Q9P0J0	0	0	3	0.1	4,15,25	0	0.03076923076923077	0
P31689	0	0	5	0.16666666666666666	5,6,13,20,27	0	0.010309278350515464	0
Q9Y5S9	0	0	11	0.36666666666666664	0,2,5,8,11,14,17,20,23,26,29	0	0.018018018018018018	0
P07948	0	0	8	0.26666666666666666	3,5,9,13,17,21,25,29	0	0.016129032258064516	0
O75477	0	0	10	0.3333333333333333	2,5,8,11,14,17,20,23,26,29	0	0.047619047619047616	0
Q9UMX0	0	0	11	0.36666666666666664	0,3,5,8,11,14,17,20,23,26,29	0	0.015463917525773196	0
P07686	0	0	3	0.1	4,16,26	0	0.07692307692307693	0
Q9UKB1	0	0	30	1.0	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29	0	0.008264462809917356	0
