source	target
Q08211	Q71U36
Q08211	Q9NR30
Q08211	Q9HCE1
P11940	P25705
P11940	Q16666
P11940	P68104
P11940	P19338
P11940	Q05639
P11940	Q8WWM7
P11940	P67809
P07900	Q71U36
P07900	P68104
P07900	P78371
P07900	P19338
P07900	Q96EY1
P07900	Q08380
P07900	P19525
P07900	P10809
P07900	P08238
P07900	P25705
P07900	P55072
P07900	Q16543
P08238	P78371
P08238	Q71U36
P08238	Q08380
P08238	P19525
P08238	P19474
P08238	Q16543
P08238	P25705
P08238	P55072
P08238	P10809
P08238	Q9BQE3
P05141	P07900
P05141	P12236
P05141	Q9BQE3
P05141	P06748
P05141	P25705
P05141	P10809
P05141	Q16543
P12236	Q16543
P19338	Q16778
P19338	Q92522
P19338	Q13243
P19338	P67809
P19338	Q08211
P19338	P84243
P19338	Q9NR30
P19338	Q9BQG0
P62736	P67809
Q13243	Q9HCE1
Q13243	Q13247
Q13243	Q9NR30
P55072	Q16543
P55072	Q9BQE3
P55072	P78371
P55072	Q9BTM1
P55072	Q05639
P55072	Q71U36
P62807	Q15056
P25705	Q9HCE1
P25705	Q9BQE3
P25705	P67809
Q71U36	Q96EY1
P50990	P50991
P50990	P78371
P50990	Q71U36
P50990	Q08380
P50990	Q9BQE3
P50990	P55072
Q13162	Q9HCE1
P50991	P62736
P50991	P55072
P50991	Q71U36
P50991	Q9BQE3
P50991	P78371
P50991	Q08380
P19474	P55072
P10809	P55072
P10809	Q71U36
P10809	Q08380
P10809	Q9BQE3
P10809	Q9HCE1
P10809	Q16778
P10809	Q9HCC0
P49368	Q9BQE3
P49368	Q08380
P49368	P50990
P49368	Q71U36
P49368	P50991
P49368	P55072
P49368	P78371
P40227	P49368
P40227	P50990
P40227	Q9BQE3
P40227	P78371
P40227	P50991
P40227	Q71U36
P40227	Q08380
P40227	P55072
Q16778	Q9H2X6
P78371	Q08380
P78371	Q71U36
P78371	Q9BQE3
Q05639	Q16543
P68104	Q9BQG0
P68104	Q9HCE1
P68104	Q16543
P68104	Q05639
P68104	Q9BQE3
Q15056	Q9HCE1
Q06830	Q13162
Q06830	Q71U36
Q08380	Q71U36
Q08380	Q99623
Q08380	Q9BQE3
Q16543	Q7Z434
Q16543	Q9HCE1
Q16543	Q9BQE3
O95816	P05165
O95816	Q08380
O95816	P55072
O95816	Q08211
O95816	P07437
O95816	P07900
O95816	P06748
O95816	Q71U36
O95816	P19338
P67809	Q92522
P67809	Q8WWM7
P67809	Q08211
P67809	Q9NR30
P67809	P68104
P67809	Q9HCE1
P04406	P07900
P04406	Q06830
P04406	P06733
P04406	P06748
P04406	P10809
P04406	P68104
P04406	P08238
P04406	Q9BQE3
P04406	P07437
P04406	Q71U36
P05165	P05166
P16989	Q08211
P16989	P67809
P06748	P19525
P06748	P25705
P06748	Q92522
P06748	P55072
P06748	Q16543
P06748	Q16778
P06748	P62807
P06748	P07900
P06748	Q13162
P06748	P08238
P06748	Q71U36
P06748	P78371
P06748	Q9BQE3
P06748	P67809
P06748	Q9BQG0
P06748	Q9NR30
P06748	P16989
P06748	P68104
P06748	P19338
P06748	Q9HCE1
P06748	P19474
P05166	Q9HCE1
P07437	P55072
P07437	P67809
P07437	Q08380
P07437	Q16543
P07437	P08238
P07437	Q9BQE3
P07437	Q71U36
P07437	Q99623
P07437	P78371
P07437	P68104
P07437	P07900
P07437	P50990
Q16666	Q9HCE1
Q16666	Q9BQG0
Q16666	Q8NF91
Q16666	Q9NR30
Q16666	Q92522
Q96RQ3	Q9HCC0
P26196	Q8WWM7
P26196	P67809
P84243	Q16778
Q08170	Q13247
Q9HAV7	Q9HCE1
O95793	P07437
O95793	P00338
O95793	Q08211
O95793	P50991
O95793	P06733
O95793	Q99623
O95793	P67809
O95793	P19525
O95793	Q16666
O95793	Q9NR30
O95793	P05141
O95793	Q9HCE1
O95793	P19338
O95793	P11940
O95793	P25705
O95793	Q71U36
O95793	P68104
O95793	P06748
O95793	P07195
O95793	Q9BQG0
O95793	P04406
O95793	P10809
O95793	P78371
O95793	Q08170
P00338	P08238
P00338	P06733
P00338	P07900
P00338	P49368
P00338	P07195
P00338	P62937
P06733	P62807
P06733	P08238
P06733	P22061
P06733	Q13162
P06733	P06748
P06733	P07195
P06733	P62937
P19525	Q08211
P19525	Q16543
P19525	Q7Z434
P19525	Q16666
P19525	Q9HCE1
P07195	P40227
P07195	P49368
P07195	Q71U36
P07195	P22061
P07195	P12277
P07195	Q99623
P07195	Q15056
P07195	P62937
Q8NCM8	Q96F46
P12277	Q9HCE1
O14654	P07900
O14654	O95793
O14654	Q71U36
O14654	Q96EY1
O14654	Q08380
O14654	P55072
O95786	Q7Z434
P48201	Q9HCE1
