source	target
P06733	P62937
P06733	P22061
P06733	P06748
Q9BTM1	P55072
Q99459	O14782
Q99459	P08238
P40227	Q9BQE3
P06748	P49759
P06748	O95816
P06748	P68104
P06748	Q16778
P06748	P08238
P06748	P62807
P06748	P19525
P06748	P05141
P06748	P55072
P06748	Q71U36
P06748	O95793
P06748	P19474
P06748	Q9BQG0
P06748	Q16543
P06748	Q13162
P06748	P78371
P06748	P04406
P06748	P16989
P06748	Q9NR30
P06748	P07900
P06748	Q92522
P06748	P08047
P06748	Q9NQC7
P06748	O15355
P06748	P27986
P06748	P29590
Q7L7L0	Q8IYW5
Q7L7L0	Q86WJ1
Q7L7L0	Q08945
Q7L7L0	P45973
Q7L7L0	P33992
Q7L7L0	Q5QJE6
Q7L7L0	P62987
Q7L7L0	O75582
Q7L7L0	Q9Y5B9
Q99623	O95793
Q99623	P07437
Q8N302	Q9NQZ6
Q8N302	Q9HCE1
P05165	P05166
P05165	O95816
P00338	P07900
O95786	Q7Z434
P63267	P62993
P63267	P50402
P63267	P49736
Q06830	P04406
Q86WJ1	P62807
Q92522	Q16666
P07437	Q9BQE3
P07437	Q9NRI5
P62987	P08238
P84243	Q16778
P84243	P19338
P84243	P08559
P84243	Q9Y496
P49759	O60814
Q13043	P19338
Q13043	O14782
O15066	O14782
O15066	Q9HCE1
P52757	Q93077
P52757	P25705
P26196	P67809
Q9Y5B9	P68104
Q9HCE1	P12277
Q9HCE1	P50542
Q9HCE1	P48201
Q9HCE1	Q9HAV7
Q9HCE1	Q15056
Q9HCE1	Q9NP66
Q9HCE1	Q8IXZ2
Q9BQE3	P49368
Q9BQE3	Q08380
Q9BQE3	P50991
Q9BQE3	P10809
Q9BQE3	P50990
Q05639	Q9ULM2
Q05639	P11940
Q05639	Q16543
Q8IWL3	O14734
Q8IWL3	Q7Z434
P45973	P19338
Q96EY1	P07900
Q96EK5	O14782
Q96EK5	P55072
P00846	Q00597
P00846	P08047
P00846	Q9H845
P00846	Q9H2H9
P00846	O00400
Q8WWM7	P67809
Q71U36	P50402
Q71U36	Q9H2H9
P55072	P26045
P55072	Q8IVM0
Q15056	P07195
Q15056	P62807
Q8IVM0	Q93077
Q8IYW5	P19338
Q9NRI5	O14782
P46108	P08238
P46108	Q93077
Q9NP66	Q9NQZ6
Q8IXZ2	O14782
Q9NR30	Q13243
Q9NR30	Q08211
P12236	Q16543
Q6P1K2	Q9NQZ6
Q6P1K2	P07900
Q9Y496	O14782
P07900	O14654
Q9NQC7	O60814
Q8NF91	Q16666
P08047	P19338
P08047	Q16666
Q16666	Q08945
Q16666	Q5QJE6
Q8N5R6	Q9BQD3
O60814	O15355
O14734	P50542
O14734	P08559
O14734	P26045
O14734	P01106
O14734	P05161
O14734	P29590
O14734	Q04864
P33992	P08238
O00400	P25705
P01106	P19338
Q9HCC0	P10809
Q9HCC0	Q96RQ3
O95816	O75815
O14782	Q9H4B6
O14782	Q92630
P56945	P19338
P56945	Q93077
Q9H2X6	Q16778
P11940	P25705
P11940	P67809
O75582	P08238
Q96F46	Q8NCM8
P08238	Q00597
P08238	P62993
P08238	Q92630
P08238	P05161
P08238	P49736
P49736	Q93077
P25705	Q9H845
P62736	P67809
Q93077	O75815
Q93077	P25054
Q7Z434	Q16543
Q7Z434	Q9BYX4
Q04864	P04406
Q13247	Q08170
Q9H4B6	O14654
Q9NQZ6	Q9ULM2
Q9NQZ6	Q9BQD3
Q9NQZ6	P27986
P25054	P19474
Q08170	O95793
