source	target
Q08211	Q71U36
Q08211	Q9NR30
Q08211	Q8IYW5
Q13247	Q14684
Q99832	Q9NRH3
Q99832	Q9BPW8
Q99832	Q9HBY8
Q99832	Q9NQW1
Q99832	Q9GZS0
Q99832	Q9H7D0
Q99832	Q9NXB0
Q99832	Q9NW82
Q99832	Q9BUR4
Q99832	Q9BQS8
Q99832	Q9Y3L5
Q99832	Q9BQE3
Q99832	Q9C0K7
Q99832	Q9UJT1
Q99832	Q9Y4R7
Q99832	Q9BYB4
Q99832	Q9UPM9
Q99832	Q9Y2I8
P07900	Q9Y2E6
P07900	Q9H0H3
P07900	Q96NX5
P07900	Q8NG66
P07900	Q9UGR2
P07900	Q719I0
P07900	Q9UQB9
P07900	P43250
P07900	Q8NER5
P07900	Q92772
P07900	Q8TDR2
P07900	Q9NVX7
P07900	Q8TD08
P07900	Q86V86
P07900	Q96QP1
P07900	Q96C12
P07900	Q8NBE8
P07900	Q14296
P07900	Q71U36
P07900	Q5T1V6
P07900	Q12809
P07900	P78371
P07900	Q9P215
P07900	Q86YJ5
P07900	Q9H2K8
P07900	Q9Y243
P07900	Q96BT7
P07900	P19338
P07900	Q96NJ5
P07900	Q9BYT3
P07900	Q9Y6S9
P07900	P53671
P07900	Q7L622
P07900	Q8N568
P07900	P80192
P07900	P32298
P07900	Q86UV7
P07900	Q96QS6
P07900	Q9NPJ1
P07900	Q16832
P07900	Q7Z624
P07900	P19525
P07900	P10809
P07900	Q8IWD4
P07900	Q86UX6
P07900	Q86UP8
P07900	P08238
P07900	Q96M98
P07900	P25705
P07900	Q6PIJ6
P07900	Q9UL19
P07900	P11801
P07900	Q8WY91
P07900	P13762
P07900	Q96AZ1
P07900	Q96S38
P07900	Q8NI29
P07900	Q86YV5
P07900	Q16543
P07900	Q9HBY8
P07900	Q8N165
P08238	P80192
P08238	P32298
P08238	P43250
P08238	Q96QP1
P08238	Q96AZ1
P08238	Q16832
P08238	Q96NX5
P08238	Q86YV5
P08238	P78371
P08238	Q96C12
P08238	Q8WY91
P08238	Q9H0H3
P08238	Q8TDR2
P08238	P13762
P08238	Q71U36
P08238	P53671
P08238	P19525
P08238	Q86YJ5
P08238	P19474
P08238	Q9BYT3
P08238	Q16543
P08238	Q9Y6S9
P08238	Q7L622
P08238	Q8N165
P08238	P25705
P08238	Q14296
P08238	Q96QS6
P08238	Q9UGR2
P08238	Q9NVX7
P08238	Q9UQB9
P08238	Q8IWD4
P08238	Q8NER5
P08238	Q86UP8
P08238	Q8NG66
P08238	Q8N568
P08238	P38405
