source	target
Q8NF91	Q16666
P07900	P56945
P07900	Q6P1K2
P07900	P08238
P07900	Q00597
Q7L7L0	P62987
Q7L7L0	Q86WJ1
Q7L7L0	Q5QJE6
Q7L7L0	P45973
Q7L7L0	Q9Y5B9
Q7L7L0	Q08945
Q7L7L0	O75582
Q7L7L0	Q8IYW5
Q13162	Q06830
Q13162	P06733
Q86WJ1	P62807
P12277	P07195
P22061	Q9BQB6
P22061	P06733
P22061	P07195
P07437	Q99623
P07437	Q9NRI5
P07437	P06576
P08238	P19525
P08238	Q08380
P08238	O00400
P08238	Q16543
P08238	P06748
P08238	P10809
P08238	P19474
P08238	Q71U36
P08238	P04406
P08238	Q9BQE3
P08238	P00338
P08238	P78371
P08238	Q99459
P08238	P46108
P08238	P06576
P08238	P05161
P08238	Q9UQL6
P08238	O75582
P08238	Q8NBE8
P08238	Q9UBU9
Q9H4B6	O14782
Q9H4B6	O14654
Q00597	P06748
Q00597	P00846
P19338	P84243
P19338	Q8IYW5
P19338	P08047
P56945	Q93077
P56945	P00338
O75815	Q93077
O75815	Q08211
P26196	Q8WWM7
P48201	Q9BQB6
P48201	P06576
P48201	P30049
P48201	Q9UBU9
P00338	P62937
P00338	P08559
Q9BTM1	P55072
Q8NCM8	Q96F46
Q9NP66	P10809
Q9NP66	Q9NQZ6
Q9NP66	Q6NSJ2
Q13247	Q08170
Q13247	Q13243
Q969P0	O60814
Q969P0	P06748
P04406	Q04864
Q9H2X6	Q16778
Q9NR30	Q13243
Q9NR30	P78362
Q9NR30	Q8IWL3
P26045	O14734
P26045	P55072
P55072	P50990
P55072	P40227
P55072	O95816
P55072	P49368
P55072	Q05639
P55072	O14654
P55072	Q96EK5
P62736	P50991
P62736	P67809
P62736	Q12791
Q04864	O14734
Q7Z434	Q16543
Q7Z434	O95786
P46108	Q93077
P30049	P25705
P25054	Q93077
P25054	P19474
Q99459	O14782
P49736	Q93077
P49736	P06748
P49736	P24666
Q8IWL3	O14734
Q8IWL3	Q9HAV7
Q96EK5	O14782
P25705	P67809
P25705	P11940
P25705	Q9H845
Q8IXZ2	Q08380
Q8IXZ2	O14782
Q71U36	Q96CS3
Q71U36	Q9H2H9
Q71U36	P45973
Q71U36	P06576
P07195	Q15056
P07195	Q99623
P07195	P50542
Q13043	Q16543
Q13043	O14782
Q9NRI5	O14782
P06748	P62987
P06748	P27986
P06748	P49759
P06748	Q9UBU9
P06748	Q9Y5B9
P06748	Q92630
P06748	P08047
P06748	P29590
P29590	O14734
P06576	P68104
P63267	Q96CS3
P63267	P50402
P63267	Q12791
P12236	Q16543
P12236	P05141
Q05639	Q9ULM2
Q08211	O95793
Q08211	Q8IVM0
Q08211	P52757
P27986	Q9NQZ6
Q96EY1	O14654
P68104	O95793
Q9H2H9	P00846
Q9BQD3	Q8N5R6
Q9BQD3	Q9NQZ6
Q8NBE8	O14734
Q9H845	P00846
Q08380	Q99623
P52757	Q93077
P84243	Q16778
P84243	P54198
P84243	Q9Y496
Q8WWM7	P11940
P50542	O14734
Q6P1K2	Q9NQZ6
O14654	O95793
P11940	O95793
P11940	Q9UBU9
P10809	Q16778
P10809	Q9HCC0
O95793	Q16666
O95793	Q9BQG0
O95793	Q99623
O95793	Q08170
Q96RQ3	Q9HCC0
P16989	P67809
Q5QJE6	Q16666
Q9UQL6	O60814
Q93077	Q8IVM0
P62807	Q15056
Q9ULM2	Q9NQZ6
Q9UBU9	Q16666
P67809	Q92522
Q16543	P50402
O14782	Q92630
O14782	Q9Y496
O95816	P05165
O14734	P08559
O14734	P05161
P49759	O60814
P78362	O60814
Q08945	Q16666
P00846	O00400
P00846	P08047
P05165	P05166
P54198	O60814
