source	target
Q9H845	P00846
Q9H845	P25705
Q8N302	Q9NQZ6
Q8N302	Q9HCE1
Q13247	Q08170
Q13247	Q13243
Q99623	P07195
P50991	P62736
P50991	P78371
Q06830	P04406
Q06830	Q71U36
P00846	Q00597
P00846	O00400
P00846	Q9H2H9
P00846	P08047
P07900	P19338
P07900	O14654
P07900	P10809
P07900	P55072
P07900	Q08380
P07900	P19525
P07900	P25705
P07900	Q6P1K2
P07900	Q00597
Q5QJE6	Q16666
Q5QJE6	Q7L7L0
P08047	P06748
P63267	P22681
P63267	Q92993
Q08170	O95793
Q9NQZ6	Q6P1K2
Q9NQZ6	P27986
Q9NQZ6	Q9BQD3
Q9NQZ6	Q9ULM2
Q9NQZ6	Q9NP66
P22061	P06733
P48201	Q9HCE1
P07437	P68104
P07437	Q04864
P07437	Q9NRI5
P07437	P49736
Q92522	P67809
P49368	Q13043
P49368	P00338
Q16543	P68104
Q9H2X6	Q16778
Q9HCC0	P10809
Q9HCC0	Q96RQ3
P11940	O75815
P11940	P68104
P50542	O14734
P50542	Q9HCE1
P05165	P05166
Q93077	O75815
Q93077	Q8IVM0
Q93077	P33992
Q93077	P56945
Q93077	P46108
Q93077	P49736
Q93077	P25054
P05161	P08238
P05161	O14734
Q8NF91	Q16666
Q15056	P07195
Q9Y5B9	P06748
Q9Y5B9	Q7L7L0
P25705	P05141
Q9H4B6	O14654
Q9H4B6	O14782
Q16666	Q9BQG0
Q16666	Q9NR30
Q13043	O14782
P08238	Q00597
P08238	P00338
P08238	P19474
P08238	P49736
P08238	O00400
P08238	P33992
P08238	O75582
P08238	P46108
P08238	Q92630
P08238	Q92993
P08238	Q99459
P08238	P62987
P68104	P06748
P68104	Q9BQE3
P68104	P68431
P68104	Q9HCE1
P68104	Q05639
P68104	Q9BQG0
P68104	P22681
P84243	Q16778
P84243	Q9Y496
P78371	P50990
P78371	P08559
P78371	P40227
P78371	P01106
Q8WWM7	P67809
Q9HAV7	Q9HCE1
Q9HAV7	Q8IWL3
Q9BTM1	P55072
P49736	Q7L7L0
P12236	P05141
P0C0S8	P68431
P0C0S8	Q92624
P10809	Q16778
P33992	Q7L7L0
P33992	O60814
P06748	P27986
P06748	P29590
Q8IVM0	P05141
P78362	O60814
P78362	P67809
Q7Z434	P19525
Q7Z434	Q9BYX4
Q7Z434	O95786
P16989	Q08211
P16989	P67809
P68431	P54198
P68431	Q16778
P68431	Q08945
O60814	P54198
O60814	O15355
O60814	P49759
O75582	Q7L7L0
P45973	Q7L7L0
P45973	P06733
Q9Y496	O14782
Q8IXZ2	O14782
Q8IXZ2	Q9HCE1
Q04864	O14734
Q9BQD3	Q8N5R6
P00338	P62937
P00338	O95793
P00338	P07195
P00338	P06733
P00338	P56945
Q96EY1	O14654
Q96EY1	Q71U36
Q92630	O14782
Q9HCE1	P05166
Q9HCE1	Q9NP66
Q9HCE1	O15066
Q08211	Q8IYW5
P25054	O14782
P25054	P40227
P62807	Q86WJ1
P62807	P06733
Q8IWL3	O14734
Q8NCM8	Q96F46
P08559	O14734
P26196	P67809
P40227	P07195
Q9H2H9	Q71U36
P01106	O14734
P07195	P12277
P62736	P67809
O14734	P29590
O14734	P26045
Q96EK5	P55072
Q96EK5	O14782
O15066	O14782
Q99459	O14782
P26045	P55072
Q9NR30	Q13243
Q8IYW5	Q7L7L0
O14782	Q9NRI5
P06733	Q13162
P06733	P49759
O15355	P67809
Q05639	Q9ULM2
P62987	Q7L7L0
Q08945	Q7L7L0
Q86WJ1	Q7L7L0
