name	rank	p_hyper	is_seed	spd	component_id
Q08211	0	0.0	1	0.41796875	0
Q9NR30	0	0.0	1	0.47058823529411764	0
Q13247	0	0.0	1	0.40540540540540543	0
Q9HCE1	0	0.0	1	0.08484162895927602	0
P11940	0	0.0	1	0.4122448979591837	0
P07900	0	0.0	1	0.13823529411764707	0
P08238	0	0.0	1	0.14974182444061962	0
P05141	0	0.0	1	0.43646408839779005	0
P12236	0	0.0	1	0.25210084033613445	0
P19338	0	0.0	1	0.42196531791907516	0
P62736	0	0.0	1	0.2564102564102564	0
Q13243	0	0.0	1	0.3865546218487395	0
P62937	0	0.0	1	0.29411764705882354	0
P55072	0	0.0	1	0.1446886446886447	0
P62807	0	0.0	1	0.09523809523809523	0
P25705	0	0.0	1	0.30319148936170215	0
Q71U36	0	0.0	1	0.18018018018018017	0
Q9BQE3	0	0.0	1	0.30392156862745096	0
P50990	0	0.0	1	0.24157303370786518	0
P22061	0	0.0	1	0.23684210526315788	0
Q13162	0	0.0	1	0.3508771929824561	0
P50991	0	0.0	1	0.2436548223350254	0
P19474	0	0.0	1	0.2125	0
P10809	0	0.0	1	0.25	0
Q96EY1	0	0.0	1	0.15730337078651685	0
P49368	0	0.0	1	0.20634920634920634	0
Q92624	0	0.0	1	0.04395604395604396	0
P40227	0	0.0	1	0.22009569377990432	0
Q16778	0	0.0	1	0.25	0
P78371	0	0.0	1	0.2204724409448819	0
Q05639	0	0.0	1	0.3387096774193548	0
P68104	0	0.0	1	0.3041095890410959	0
Q15056	0	0.0	1	0.2857142857142857	0
Q06830	0	0.0	1	0.34558823529411764	0
P63267	0	0.0	1	0.3125	0
Q08380	0	0.0	1	0.3310810810810811	0
Q16543	0	0.0	1	0.1259259259259259	0
O95816	0	0.0	1	0.2631578947368421	0
P67809	0	0.0	1	0.3072463768115942	0
P04406	0	0.0	1	0.2575107296137339	0
P05165	0	0.0	1	0.3181818181818182	0
P16989	0	0.0	1	0.4489795918367347	0
Q9HCC0	0	0.0	1	0.2972972972972973	0
P06748	0	0.0	1	0.29038112522686027	0
P05166	0	0.0	1	0.42105263157894735	0
P07437	0	0.0	1	0.27715355805243447	0
Q16666	0	0.0	1	0.07989690721649484	0
Q96RQ3	0	0.0	1	0.26666666666666666	0
Q99623	0	0.0	1	0.18354430379746836	0
P26196	0	0.0	1	0.2903225806451613	0
P84243	0	0.0	1	0.11475409836065574	0
Q08170	0	0.0	1	0.43636363636363634	0
Q92522	0	0.0	1	0.4444444444444444	0
Q9BQG0	0	0.0	1	0.453125	0
Q9HAV7	0	0.0	1	0.1568627450980392	0
Q7L7L0	0	0.0	1	0.1	0
Q9BTM1	0	0.0	1	0.5	0
Q93077	0	0.0	1	0.14285714285714285	0
Q8NF91	0	0.0	1	0.20588235294117646	0
O95793	0	0.0	1	0.34983498349834985	0
P00338	0	0.0	1	0.2222222222222222	0
P06733	0	0.0	1	0.19310344827586207	0
P19525	0	0.0	1	0.30612244897959184	0
P07195	0	0.0	1	0.23741007194244604	0
Q8N5R6	0	0.0	1	0.013157894736842105	0
Q8NCM8	0	0.0	1	0.13333333333333333	0
Q8WWM7	0	0.0	1	0.3611111111111111	0
P12277	0	0.0	1	0.21686746987951808	0
Q6NSJ2	0	0.0	1	0.023809523809523808	0
Q7Z434	0	0.0	1	0.09803921568627451	0
O14654	0	0.0	1	0.23931623931623933	0
Q9H2X6	0	0.0	1	0.08620689655172414	0
P24666	0	0.0	1	0.17777777777777778	0
Q96F46	0	0.0	1	0.018867924528301886	0
O95295	0	0.0	1	0.014705882352941176	0
P49458	0	0.0	1	0.08163265306122448	0
O14782	0	0.0	1	0.09090909090909091	0
O95786	0	0.0	1	0.11666666666666667	0
O60814	0	0.0	1	0.5625	0
P48201	0	0.0	1	0.125	0
P62633	145	9.420090914973153e-47	0	0.4380165289256198	0
Q99729	31	4.936131673814946e-32	0	0.5480769230769231	0
P62906	59	7.487936427622866e-41	0	0.6851851851851852	0
Q7L2E3	151	2.5995727850340113e-46	0	0.4835164835164835	0
Q15366	170	5.100807542711548e-42	0	0.4375	0
Q15050	109	9.064270705399284e-70	0	0.5277777777777778	0
Q9Y3U8	96	1.6257768365213433e-73	0	0.5912408759124088	0
Q13310	149	2.5164826796461366e-47	0	0.41134751773049644	0
Q9BUJ2	198	1.155860859469897e-43	0	0.3770491803278688	0
Q9UNX3	121	1.0795837750214328e-57	0	0.4765625	0
P62910	117	8.432405980719563e-63	0	0.5882352941176471	0
P62750	67	3.8135435416267875e-49	0	0.6857142857142857	0
Q07020	61	3.3624659758482346e-43	0	0.5758928571428571	0
Q02878	27	6.111798579565102e-30	0	0.5867768595041323	0
P62899	69	9.27750310797836e-52	0	0.7692307692307693	0
Q504Q3	98	1.5638627956865542e-73	0	0.34935897435897434	0
P62888	95	6.978800050920788e-72	0	0.5263157894736842	0
P62913	60	4.1384451141174106e-42	0	0.672316384180791	0
P62917	77	4.5177166666304976e-58	0	0.6353591160220995	0
Q99848	160	1.027980556827248e-44	0	0.42201834862385323	0
P83731	82	4.000686588540026e-62	0	0.6821192052980133	0
P62753	55	3.52661014360154e-39	0	0.6666666666666666	0
Q9GZQ8	20	4.2688707788628177e-29	0	0.2818181818181818	0
Q9UJV9	176	7.883566390994297e-44	0	0.391025641025641	0
Q9HCE7	189	4.1273093291799856e-44	0	0.1977401129943503	0
Q9H0R8	11	3.7265308829716494e-30	0	0.3068181818181818	0
Q9H492	9	1.4151632078390086e-28	0	0.2717948717948718	0
