name	rank	visiting_probability	is_seed	spd	component_id
Q08211	28	0.009766789001944734	1	0.3046875	0
Q9NR30	36	0.009713019656392265	1	0.37254901960784315	0
Q13247	14	0.009703456946587594	1	0.43243243243243246	0
Q9HCE1	49	0.010299175691899603	1	0.058823529411764705	0
P11940	52	0.009781882739331026	1	0.2938775510204082	0
P07900	5	0.009917393470304313	1	0.13970588235294118	0
P08238	51	0.009874534288057506	1	0.16523235800344235	0
P05141	54	0.009733706178503861	1	0.39779005524861877	0
P12236	23	0.009676081270714926	1	0.3025210084033613	0
P19338	75	0.009836026029672582	1	0.24566473988439305	0
P62736	77	0.009678761894014832	1	0.26495726495726496	0
Q13243	50	0.009703323980410317	1	0.2605042016806723	0
P62937	67	0.009691448638724582	1	0.36134453781512604	0
P55072	83	0.010176205037667974	1	0.1391941391941392	0
P62807	40	0.009716046511604674	1	0.12380952380952381	0
P25705	32	0.00972288505297565	1	0.3882978723404255	0
Q71U36	34	0.00987034711102949	1	0.2012012012012012	0
Q9BQE3	38	0.009795604348999606	1	0.3382352941176471	0
P50990	70	0.009747697998531809	1	0.33146067415730335	0
P22061	37	0.009680743919114615	1	0.32456140350877194	0
Q13162	7	0.009677471883465925	1	0.543859649122807	0
P50991	58	0.00977160428215501	1	0.28426395939086296	0
P19474	30	0.00966340401430021	1	0.275	0
P10809	45	0.009816649194038516	1	0.26838235294117646	0
Q96EY1	31	0.009679628146975632	1	0.24719101123595505	0
P49368	64	0.009788362163485305	1	0.25793650793650796	0
Q92624	12	0.009664946277544495	1	0.054945054945054944	0
P40227	33	0.00976357286929557	1	0.2583732057416268	0
Q16778	65	0.009727398213319246	1	0.31896551724137934	0
P78371	41	0.009781999549163227	1	0.2755905511811024	0
Q05639	8	0.009690145650653596	1	0.33064516129032256	0
P68104	25	0.009774443336726113	1	0.19726027397260273	0
Q15056	11	0.009678659089718634	1	0.23214285714285715	0
Q06830	71	0.009710457229897652	1	0.375	0
P63267	60	0.009645107473649604	1	0.75	0
Q08380	66	0.009786873747960154	1	0.30405405405405406	0
Q16543	80	0.0097988595879996	1	0.14814814814814814	0
O95816	81	0.00980104824332681	1	0.2894736842105263	0
P67809	79	0.009891686471350029	1	0.1855072463768116	0
P04406	44	0.009745960645595486	1	0.3090128755364807	0
P05165	6	0.009767929080427043	1	0.5454545454545454	0
P16989	53	0.00967209288588705	1	0.37755102040816324	0
Q9HCC0	56	0.009723157861299528	1	0.5945945945945946	0
P06748	43	0.009994681848788047	1	0.18874773139745918	0
P05166	57	0.009737530718217868	1	0.8421052631578947	0
P07437	26	0.009794465669842331	1	0.3333333333333333	0
Q16666	63	0.00983343845697465	1	0.06958762886597938	0
Q96RQ3	35	0.009707321972264664	1	0.3333333333333333	0
Q99623	19	0.009700864940326015	1	0.20253164556962025	0
P26196	39	0.009717520223746848	1	0.3118279569892473	0
P84243	17	0.009688591272697918	1	0.1721311475409836	0
Q08170	72	0.009683960194301929	1	0.36363636363636365	0
Q92522	27	0.009671318996821686	1	0.5714285714285714	0
Q9BQG0	1	0.009683180071726588	1	0.3046875	0
Q9HAV7	46	0.00965501206775341	1	0.2549019607843137	0
Q7L7L0	73	0.009646285399893734	1	1.0	0
Q9BTM1	29	0.009645803054969336	1	1.0	0
Q93077	4	0.009642218404457042	1	1.0	0
Q8NF91	18	0.009652040994927003	1	0.29411764705882354	0
O95793	78	0.009925485807244427	1	0.1782178217821782	0
P00338	21	0.009722183186603816	1	0.29411764705882354	0
P06733	3	0.009802876880067807	1	0.18275862068965518	0
P19525	82	0.009712687576682559	1	0.2755102040816326	0
P07195	10	0.009815788242207276	1	0.33093525179856115	0
Q8N5R6	24	0.009653048000302233	1	0.02631578947368421	0
Q8NCM8	47	0.009692894606666468	1	0.3333333333333333	0
Q8WWM7	16	0.009682787381868323	1	0.3055555555555556	0
P12277	74	0.009670899123180006	1	0.2891566265060241	0
Q6NSJ2	42	0.009648213905167844	1	0.07142857142857142	0
Q7Z434	59	0.009715664177183416	1	0.13725490196078433	0
O14654	9	0.009710782468519532	1	0.36752136752136755	0
Q9H2X6	76	0.009666561411827439	1	0.13793103448275862	0
P24666	13	0.009652108578869237	1	0.24444444444444444	0
Q96F46	22	0.009781858960167157	1	0.05660377358490566	0
O95295	61	0.009656068730382	1	0.058823529411764705	0
P49458	48	0.009650050920207608	1	0.12244897959183673	0
Q9NQZ6	55	0.009654612986641437	1	0.06666666666666667	0
P00846	15	0.009644876848365356	1	1.0	0
O14782	62	0.009646160522344634	1	0.6363636363636364	0
O95786	68	0.009673757822210588	1	0.16666666666666666	0
O60814	2	0.009644623395735132	1	0.8125	0
P48201	20	0.009654695336798082	1	1.0	0
O14734	69	0.009645164128254526	1	1.0	0
Q15022	167	0.0002713035594126461	0	0.1064516129032258	0
Q504Q3	185	0.00024831972545408053	0	0.09935897435897435	0
Q9GZQ8	151	0.00030441662468304233	0	0.1484848484848485	0
Q9HCE7	197	0.00023544258006047788	0	0.1016949152542373	0
Q9H0R8	115	0.00041053418893707963	0	0.1340909090909091	0
Q9UBU9	96	0.0005526004567691176	0	0.0531062124248497	0
Q9H492	104	0.0004753592263528141	0	0.15128205128205127	0
Q9NQC7	94	0.0005592538385425969	0	0.1257606490872211	0
