source	target
Q9BWE0	Q9UJX2
Q13363	Q96T58
Q13363	Q9P2K3
Q13363	Q13422
Q13363	Q92769
Q13363	Q92618
Q13363	Q9ULK4
Q13363	Q9UHF7
Q13363	Q8N3X6
Q13363	Q96MY1
Q13363	Q99592
Q13363	Q9UJX2
Q13363	Q8WW38
Q13363	Q9UKL0
Q13363	Q13547
Q13363	Q92766
Q13363	Q9UKV0
Q13363	Q96ST3
Q13363	Q9H2S9
Q13363	Q9Y5P3
Q13363	Q9UKS7
Q96B67	Q96PU5
P78527	Q14676
P78527	Q14191
P78527	Q00653
P78527	Q04206
P78527	Q9Y265
P63279	Q13422
P63279	Q12873
P63279	Q12888
P63279	Q13363
P63279	Q86Y37
P63279	Q12772
P63279	Q7Z333
P63279	Q01826
P63279	Q9UBW7
P63279	Q9Y4E5
P63279	Q9Y265
P63279	Q99497
P63279	Q8WUI4
P63279	Q9UJ78
P63279	Q8N2W9
P63279	Q13547
P63279	Q9Y6X2
P63279	Q02447
P63279	Q05516
P63279	Q02880
P63279	Q9UM63
P63279	Q8N3Z6
P63279	Q9UER7
P63279	P78527
P63279	Q9Y3V2
P63279	Q9H422
P63279	Q9H2Y7
P63279	Q9BZ95
P63279	Q9UKL3
P63279	Q9UHF7
P63279	Q96B23
P63279	Q9HCK0
P63279	Q13569
P63279	Q99576
P63279	Q86Z02
Q99497	Q9UER7
Q9H2P0	Q9UER7
Q00653	Q8IU54
Q00653	Q04206
Q00653	Q9BYH8
Q00653	Q9Y265
Q00653	Q13547
Q00653	Q8NI38
Q00653	Q99576
Q00653	Q96ST3
O75925	Q7Z333
O75925	P20591
O75925	Q9UKL3
O75925	P55854
O75925	P10275
O75925	P12757
O75925	Q01826
O75925	Q9Y4E5
O75925	Q8N2W9
O75925	O75928
O75925	Q02447
O75925	P63165
O75925	Q9UIS9
O75925	Q14676
O75925	P29590
O75925	Q12772
O75925	P61956
O75925	P15104
O75925	Q04206
O75925	P63279
O60229	P61956
O60229	P55854
P61956	Q02880
P61956	Q9Y5B9
P61956	Q12888
P61956	Q9UKL3
P61956	Q8N3Z6
P61956	Q14676
P61956	Q9Y265
P61956	Q9UJ78
P61956	Q9UKL0
P61956	Q92878
P61956	Q5W0Q7
P61956	Q96B23
P61956	Q14191
P61956	Q92769
P61956	Q6PEW1
P61956	Q7Z333
P61956	Q9Y6X2
P61956	P78527
P61956	Q9P2K3
P61956	P63279
P61956	Q12873
P61956	Q13569
P61956	Q13547
P61956	Q9Y4E5
P61956	Q09028
P61956	Q8N2W9
P61956	Q9UKV0
P61956	Q9UBW7
P61956	Q96HI0
P61956	Q9UIG0
P61956	Q9UER7
P63165	Q9UIS9
P63165	Q00653
P63165	Q02880
P63165	Q5W0Q7
P63165	Q01826
P63165	Q9UBW7
P63165	Q99576
P63165	Q14191
P63165	Q8N3Z6
P63165	Q8N2W9
P63165	Q9Y4E5
P63165	Q9UKV0
P63165	Q9UHF7
P63165	Q12772
P63165	Q9UJ78
P63165	Q96B23
P63165	Q9H2Y7
P63165	Q92766
P63165	Q9HCK0
P63165	Q99497
P63165	Q9UER7
P63165	Q12873
P63165	Q13569
P63165	Q02447
P63165	P63279
P63165	Q9H422
P63165	Q12888
P63165	Q96ST3
P63165	Q9Y3V2
P63165	Q05516
P63165	Q9UKL3
P63165	Q9Y6X2
P63165	Q7Z333
P63165	Q14865
P63165	Q6PEW1
Q9P2K3	Q9UHJ3
Q9UER7	Q9UIG0
Q9UER7	Q9UM63
Q9UER7	Q9Y5B9
Q9NPF5	Q9UER7
Q9NPF5	Q9UEE9
Q9NPF5	Q9Y265
P52701	P78527
P52701	Q92878
P52701	P54132
P52701	Q99638
P52701	Q9Y5B9
P43246	P46063
P43246	P52701
P43246	Q02880
P43246	P54132
P43246	Q99638
P43246	P61956
P43246	Q92878
P43246	Q9Y5B9
P61964	Q92769
P61964	Q96EZ8
P61964	Q9Y265
P61964	Q13547
Q12873	Q8TAQ2
Q12873	Q7Z333
Q12873	Q8N2W9
Q12873	Q53FE4
Q12873	Q92769
Q12873	Q96ST3
Q12873	Q13363
Q12873	Q13422
Q12873	Q13547
P56545	P57682
P56545	Q8WW38
P56545	Q9ULK4
P56545	Q92769
P56545	Q8IX07
P56545	Q99592
P56545	Q9UKL3
P56545	Q9UKL0
P56545	Q13422
P56545	P63279
P56545	Q13363
P56545	Q9UKS7
P56545	Q96MY1
P56545	Q9Y5P3
P46063	Q06330
Q14676	Q8TAQ2
Q14676	Q9UJX2
Q14676	Q92878
Q14676	Q92922
Q14676	Q8N2W9
Q14676	Q96GM5
Q09028	Q12873
Q09028	Q96ST3
Q09028	Q13547
Q09028	Q96T58
Q09028	Q9UGU5
Q09028	Q96N64
Q09028	Q8IX07
Q09028	Q8WW38
Q09028	Q13422
Q09028	Q92769
Q09028	Q99497
P51668	Q9NTX7
P51668	Q04206
P51668	Q96PU5
P51668	Q9P0N8
P51668	P78545
P51668	Q9P2E8
P51668	Q9UK22
P16104	Q14191
P16104	P54132
P16104	Q9Y5B9
P16104	P29590
P16104	Q14676
P16104	P51531
P16104	Q9NPF5
P16104	P78527
P16104	Q12888
P16104	Q9Y265
P16104	P51532
P16104	P40692
P16104	Q9UIG0
P16104	Q92878
Q12888	Q9UKL0
Q12888	Q9UHF7
Q12888	Q14676
Q12888	Q8N2W9
Q12888	Q96GM5
Q12888	Q9UJX2
P40692	P78527
P40692	P43246
P40692	P52701
P40692	Q92878
P40692	P54132
P40692	Q99638
P40692	Q9Y2M0
P40692	Q9Y265
P49427	Q9P0N8
P49427	Q04206
P49427	Q96PU5
P55854	Q9UER7
P55854	Q13569
P55854	P56693
P55854	Q5W0Q7
P55854	Q9Y6X2
P55854	P63279
P55854	Q96HI0
P55854	Q9H2Y7
P55854	Q12873
P55854	Q8N2W9
Q96PU5	Q99576
Q04206	Q9Y6X2
Q04206	Q92769
Q04206	Q8IU54
Q04206	Q7Z4G1
Q04206	Q8WUB8
Q04206	Q9UER7
Q04206	Q12888
Q04206	Q99576
Q04206	Q9ULK4
Q04206	Q9Y265
Q04206	Q92782
Q04206	Q9H0A8
Q04206	Q96ST3
Q04206	Q9BYH8
Q04206	Q13547
Q04206	Q8N2W9
P15104	P63279
P15104	Q9UKL3
P15104	Q13569
P15104	Q9H422
P15104	Q86Z02
P15104	P19838
P15104	Q9Y6X2
P51610	P61964
P51610	Q13547
P51610	Q09028
P51610	Q92769
P51610	Q96ST3
P51610	Q71SY5
P52757	Q92769
P52757	Q9UMS4
P52757	Q9Y5B9
P52757	P55854
P52757	P78527
P52757	P61956
P52757	Q96GM5
Q9H422	Q9UIS9
Q9H422	Q9UER7
Q92922	Q969G3
Q92922	Q9UIG0
Q92922	Q96GM5
Q92922	Q96ST3
Q92922	Q9BZ95
Q96GM5	Q9H8M2
Q96T58	Q9ULK4
Q8TAQ2	Q9Y265
Q8TAQ2	Q92922
Q8TAQ2	Q8WUB8
Q8TAQ2	Q9H2P0
Q8TAQ2	Q96GM5
Q8TAQ2	Q92769
Q8TAQ2	Q9H8M2
Q8TAQ2	Q96ST3
Q8TAQ2	Q969G3
Q8TAQ2	Q9UIG0
Q8TAQ2	Q92782
Q8TAQ2	Q9UKL0
Q92878	Q9ULK4
Q92878	Q9UER7
Q9H6T3	Q9Y265
Q9NX70	Q9ULK4
Q9NX70	Q9UMS4
Q05516	Q13547
Q05516	Q96ST3
Q05516	Q8WUI4
Q05516	Q9UKV0
Q05516	Q06455
Q05516	Q92769
P51965	Q04206
P51965	Q9UK22
P51965	P63279
P51965	Q96PU5
P56524	P61956
P56524	Q9H2S9
P56524	P63165
P56524	Q9UKV0
P56524	Q8WUI4
P56524	Q09028
P56524	Q05516
P56524	P63279
P56524	Q13363
P56524	Q9UKS7
P56524	Q13422
P56524	Q12888
P56524	Q96ST3
P56524	Q00653
P12956	P52701
P12956	Q9NTX7
P12956	Q8N2W9
P12956	Q96RP7
P12956	P78545
P12956	Q09028
P12956	P56545
P12956	P52757
P12956	P78527
P12956	P43246
P12956	Q9Y5B9
P12956	P61956
P12956	Q14191
P12956	Q14687
P12956	Q12888
P12956	P46063
P12956	P16104
P12956	P13010
P12956	P46100
P12956	Q9BUH6
P54132	Q9Y2M0
P54132	P63279
P54132	Q14191
P54132	Q12888
P54132	Q96EZ8
P54132	P55854
P54132	Q92878
P54132	P61956
P54132	P63165
P78545	Q9ULK4
P78545	Q04206
Q9BZ95	Q9H8M2
Q9BZ95	Q9UER7
P13010	P52757
P13010	P63279
P13010	Q00653
P13010	P78527
P13010	Q12888
P13010	P46063
P13010	Q14191
P13010	P43246
P13010	P16104
P13010	Q9BUH6
P13010	P52701
P13010	Q9Y5B9
P13010	Q02880
P13010	P61956
P13010	Q9NTX7
P13010	Q14676
P13010	Q8N2W9
P13010	P46100
P13010	P78545
P20591	P54132
P20591	Q9UGU5
P20591	P63279
P20591	Q04206
P20591	Q9UKL3
P20591	P63165
P20591	Q13569
P20591	Q9UER7
P20591	Q6PEW1
P20591	Q12873
P20591	Q05516
Q15393	Q99638
Q15393	Q9UMS4
Q92769	Q969G3
Q92769	Q9UIS9
Q92769	Q9UKN5
Q92769	Q99497
Q92769	Q9UKS7
Q92769	Q9H2S9
Q92769	Q9UHJ3
Q92769	Q9P2K3
Q92769	Q9UER7
Q92769	Q99576
Q92769	Q9Y466
Q92769	Q9BWE0
Q92769	Q9UBW7
Q92769	Q96ST3
Q92769	Q96T58
Q92769	Q9UKL0
Q86XP3	Q9Y265
Q86XP3	Q9UMS4
P30281	Q13363
P20585	P43246
P20585	P52701
P20585	P40692
P20585	Q99638
P46100	Q99638
P46100	Q9UER7
P46100	P56524
P46100	P54132
P46100	Q92878
P46100	P78527
P46100	Q9Y5B9
P46100	P61956
P46100	Q14191
Q9UIS9	Q9Y6X2
Q13547	Q99638
Q13547	Q8N2W9
Q13547	Q92769
Q13547	Q9UER7
Q13547	Q14687
Q13547	Q96ST3
Q13547	Q96EK2
Q13547	Q9H2P0
Q13547	Q9UBW7
Q13547	Q9UM63
Q13547	Q86X95
Q13547	Q8WUI4
Q13547	Q9P2K3
Q13547	Q5FWF5
Q13547	Q14865
Q13547	Q96N64
Q13547	Q9UKS7
Q13547	Q99497
Q13547	Q969G3
Q13547	Q9UKL3
Q13547	Q92618
Q13547	Q92922
Q13547	Q99576
Q13547	Q9UHJ3
Q13547	Q92766
Q13547	Q99583
Q13547	Q8TBJ5
Q13547	Q9Y466
Q13547	Q9BWE0
Q13547	Q9H8N7
Q13547	Q9UKV0
Q13547	Q8IV32
Q13547	Q9UKN5
Q13547	Q96T58
Q13547	Q8WW38
Q13547	Q9NPF5
Q13547	Q96GM5
Q13547	Q9UHF7
Q13547	Q9Y6X2
Q13547	Q9UKL0
Q13547	Q9UIS9
Q13547	Q8TAQ2
Q13569	Q7Z333
Q14191	Q9Y5B9
Q14191	Q14676
Q96G25	Q9NVC6
Q96G25	Q9NX70
Q96G25	Q9ULK4
Q9NVC6	Q9ULK4
Q9NVC6	Q9NX70
Q969G3	Q9UKL0
Q969G3	Q96GM5
