source	target
P12931	P78347
P28370	Q8TAQ2
P29590	Q93009
P29590	P48730
P29590	O14734
P29590	Q6NUS6
O75928	P78347
P17028	Q9Y5A6
P17028	Q5UIP0
Q5UIP0	P60022
Q5UIP0	P02545
Q5UIP0	Q9NVP2
O75533	P62136
Q9Y4E8	Q93009
P61956	Q93009
P61956	Q15717
P61956	P08670
Q04206	Q93009
Q04206	Q9H0A8
Q04206	P08670
Q9NPH0	O60262
Q9NPH0	Q07021
Q96G25	Q9NVC6
Q9Y265	Q8TAQ2
Q9Y265	Q13509
Q9Y265	Q9UHK0
P63165	P54132
Q9Y2M0	P54132
Q96GX1	Q9Y2G8
Q96GX1	P50402
P20585	P43246
P20585	P52701
P78527	P78347
P48681	Q5VSY0
P48681	Q9UBU9
P51668	O76064
P30281	P62136
P56524	Q96ST3
Q9H2P0	Q8TAQ2
Q14676	Q8TAQ2
O14981	Q15717
P18859	P19838
P51965	Q93009
P51965	Q9UK22
Q09028	Q96ST3
Q14191	P54132
P84103	Q96SB4
P84103	Q9UBU9
P84103	Q9NX70
P84103	Q15717
P0CG48	Q93009
P0CG48	O14964
P0CG48	P10321
P0CG48	Q71U36
P0CG48	P14735
P63167	Q12888
P13010	Q12888
P12004	P62136
P09884	Q14683
P09884	Q9UBU9
P55209	Q9Y5B9
Q96FJ2	P49736
Q12873	Q8TAQ2
Q96GM5	Q8TAQ2
P51531	Q8TAQ2
P51531	Q96ST3
Q92878	P54132
P49427	P67870
P07947	P29692
P07947	Q96QD9
P07947	Q15717
P19838	Q9H0A8
P19838	Q96IJ6
O95602	Q9Y5B9
O95602	Q9UBU9
Q14203	P62136
Q14203	Q96GY0
Q9UQL6	Q93009
Q9UQL6	P62879
Q9UQL6	P62873
Q9UQL6	Q71U36
Q92769	Q8TAQ2
Q8IUQ4	P29692
Q9ULK4	Q9NVC6
Q9ULK4	Q13363
Q8ND90	Q8N5R6
Q8ND90	Q9UER7
Q8ND90	Q96GS6
Q8IYN2	Q9UBU9
P12268	P27694
P12268	P49736
P12268	Q96B97
Q9NVP2	P51610
P02545	Q93009
P02545	P55081
P02545	Q15717
O60506	P62136
Q13137	Q8N5R6
Q13137	Q8WUI4
Q9Y2G8	Q6NUS6
Q9Y2G8	Q13509
Q9Y2G8	Q16827
Q9Y2G8	P10321
Q9Y2G8	Q71U36
P56545	P29692
P56545	Q13363
Q9UKL0	O00327
Q07021	P29692
Q96GY0	Q15717
Q8WYH8	Q969G3
Q8WYH8	P54257
Q15393	Q93009
Q15393	Q13368
Q96GS6	O60760
Q93008	P49736
P51532	Q8TAQ2
Q5VSY0	O14964
Q5VSY0	P55081
Q5VSY0	Q13976
Q99856	Q12888
O60519	Q15717
P60022	P54257
P60022	P30419
P60022	P08670
P60022	O60551
P60022	P14735
P60022	O75439
Q9UER7	Q93009
Q9UER7	P35659
Q8WUI4	Q96ST3
P24863	Q9NVC6
Q96B97	P06241
Q96B97	Q9UBU9
Q16666	Q93009
P17844	Q9UMS4
P17844	O15379
Q96EY1	Q93009
Q86XP3	Q9UMS4
Q15717	P27694
Q15717	P51610
Q15717	Q96SB4
Q15717	Q92922
Q15717	Q8TAQ2
Q15717	P35659
Q15717	Q9P1Z3
O60262	P62879
O60262	Q96QD9
O60262	Q13368
O60262	P08754
O60262	P62873
O60262	Q9UHK0
O60262	O14775
P27694	O14775
P22681	P06241
P22681	Q16827
Q9NX70	Q9NVC6
Q9NX70	Q9UMS4
O60264	Q8TAQ2
Q9UBU9	Q8N8U2
Q9UBU9	P30419
Q9UBU9	P08754
Q9UBU9	O75439
P35659	Q12888
P67870	O00327
P67870	O60551
Q92922	Q8TAQ2
P06241	Q9Y3Q4
P06241	P62873
P50402	Q8TAQ2
O95153	Q7L4P6
P12956	P78347
Q9Y3Q4	Q9P1Z3
Q13547	Q93009
Q13547	O00458
Q13547	Q9NPF5
Q13547	Q13976
P52701	P54132
P55854	P54132
Q969G3	Q8NHQ1
Q969G3	P37198
Q969G3	Q8TAQ2
O43513	Q9NVC6
Q7L4P6	Q93009
Q13363	Q96ST3
O15379	P78347
O15379	P62136
Q9UKV0	Q96ST3
O76064	P54132
P51610	P62136
Q12888	P54132
Q96EZ8	P54132
O60437	Q93009
P62136	O00327
