source	target
Q504Q3	Q92878
Q504Q3	Q9NVP2
Q504Q3	Q99856
Q504Q3	Q9Y265
Q13363	Q96T58
Q13363	Q504Q3
Q13363	Q92769
Q13363	Q9ULK4
Q13363	Q8N3X6
Q13363	Q96MY1
Q13363	Q99592
Q13363	Q8WW38
Q13363	Q8IZ40
Q13363	Q9Y4X4
Q13363	Q9UKL0
Q13363	Q13547
Q13363	Q92766
Q13363	Q96ST3
Q13363	Q9H6U6
Q13363	Q9H2S9
Q13363	Q9Y5P3
Q9BVM2	Q9Y265
P78527	Q14676
P78527	Q14191
P78527	Q00653
P78527	Q504Q3
P78527	Q04206
P78527	Q13111
P78527	Q9Y265
P78527	Q01201
Q5I0X7	Q99856
Q9NRL2	Q9UIG0
Q00653	Q8IU54
Q00653	Q8NFZ5
Q00653	Q04206
Q00653	Q9BYH8
Q00653	Q9Y265
Q00653	Q01201
Q00653	Q13547
Q00653	Q8NI38
Q00653	Q99576
Q00653	Q96ST3
P49736	Q96NL8
P49736	Q8WYH8
P49736	Q14683
P49736	Q9BRF8
P49736	Q12873
P49736	Q9NVP2
P49736	Q6MZT1
P49736	P84103
P49736	Q2TAA2
P49736	Q6P1X6
P49736	Q8IYJ1
P49736	P78527
P49736	Q56VL3
P49736	Q9Y2C5
P49736	Q9Y4E8
P49736	Q8TBF8
P49736	Q14C86
Q8NHQ1	Q9H7H0
Q8NHQ1	Q9UQR1
Q8NHQ1	Q969G3
Q8ND90	Q9BZL3
Q8ND90	Q9H7H0
Q8ND90	Q9UER7
Q8ND90	Q96G25
Q9UER7	Q9UIG0
Q9UER7	Q9Y5B9
Q9NPF5	Q9UER7
Q9NPF5	Q9UEE9
Q9NPF5	Q9Y265
P52701	P78527
P52701	Q92878
P52701	Q13111
P52701	Q14683
P52701	Q07864
P52701	P54132
P52701	Q9UIF7
P52701	Q9UBT6
P52701	Q99638
P52701	Q9Y5B9
P43246	P46063
P43246	P52701
P43246	Q92889
P43246	Q14683
P43246	Q9UBT6
P43246	Q02880
P43246	P54132
P43246	Q9UIF7
