source	target
P67870	Q9Y5B9
P67870	O60551
P67870	O14775
P51965	Q04206
P55081	Q5VSY0
P55081	P02545
Q96GM5	Q14676
Q96GM5	Q5UIP0
Q8N5R6	Q8ND90
Q8N5R6	P50402
P56524	P19838
P56524	P62873
O15379	P19838
O15379	Q71U36
P78527	P19838
Q8WUI4	Q9UBU9
Q14191	Q9Y5B9
Q13363	Q9UKV0
P78347	P12931
P78347	P27694
P51532	P17844
O14734	P29590
Q9NPH0	O60262
Q9NPH0	Q07021
P13010	Q9Y5B9
Q9UER7	Q9Y5B9
O76064	Q14676
Q8IYA8	Q96FJ2
Q9Y5A6	P17028
Q96G25	Q8ND90
P63165	Q9UKV0
P24863	O43513
Q8WYH8	Q9UBU9
P28370	Q92922
P28370	Q09028
Q9UQL6	P19838
Q9UQL6	P62879
P43246	P19838
Q14683	P27694
P18859	P19838
Q8TAQ2	P27694
Q5UIP0	P60022
Q5UIP0	P19838
Q5UIP0	P27694
Q16666	Q9Y5B9
Q16666	P10321
Q9NVC6	O43513
O00327	Q9UKL0
O00327	P62136
Q14203	Q9Y5B9
Q14203	Q96GY0
Q14203	P30419
Q14203	P54257
Q7L4P6	O95153
Q7L4P6	Q93009
P30281	P12004
P49736	P17844
P49736	Q96FJ2
P49736	Q13368
Q9NVP2	Q9UBU9
Q07021	P50402
Q07021	Q96QD9
P22681	P12931
P22681	Q16827
O60264	P27694
P51531	Q04206
P51668	Q04206
P51668	Q9UK22
Q15717	O60519
Q15717	Q9P1Z3
Q15717	P19838
Q15717	Q14676
P56545	P29692
P55209	Q9Y5B9
Q86XP3	O75533
Q86XP3	Q9UBU9
Q12873	P19838
P48730	P29590
Q9ULK4	Q04206
Q969G3	P12931
O60506	P19838
O60506	Q13509
P84103	Q9UBU9
P29590	P19838
P29590	Q6NUS6
Q9Y4E8	Q9UBU9
Q9Y4E8	P0CG48
Q9NX70	Q9UMS4
Q9NX70	O43513
P62136	Q14676
Q93008	P0CG48
Q12888	P19838
Q92769	P19838
Q92769	P35659
Q96EY1	Q04206
Q96B97	P12931
Q96SB4	P17844
Q9P1Z3	Q9Y3Q4
P12956	Q9Y5B9
P63167	Q96FJ2
O43513	Q04206
Q9UMS4	P17844
Q96ST3	P19838
Q96GS6	O60760
Q96GS6	Q8ND90
Q15393	P17844
Q15393	P27694
Q9UKL0	P50402
P51610	P27694
O60262	P62873
O60262	P08754
O60262	P62879
O60262	O14775
O60262	Q13368
O60262	Q9UHK0
O60262	Q96QD9
Q13137	P0CG48
Q13137	Q99608
Q8NHQ1	P50402
P49427	Q04206
Q96IJ6	P19838
Q8IYN2	Q9UBU9
P02545	P17844
Q9H2P0	P50402
Q92878	P19838
O75928	Q8IUQ4
O75928	P61956
P07947	P29692
Q9Y265	P19838
Q9Y265	Q9UHK0
P55854	P54132
Q13547	P19838
Q13547	O00458
Q13547	Q9UKV0
P61956	Q9Y5B9
P61956	Q9UKV0
P37198	Q9NVV9
P37198	Q9UBU9
Q9Y2G8	Q6NUS6
Q9Y2G8	Q16827
Q9Y2G8	Q13509
Q9Y2G8	Q71U36
Q9Y2G8	P10321
Q9Y2G8	Q96GX1
Q93009	P27694
Q09028	P0CG48
O95602	Q9Y5B9
O60437	P0CG48
Q8N8U2	Q9UBU9
P60022	P30419
P60022	O60551
P60022	P54257
P60022	O75439
P60022	P08670
P60022	P14735
Q9NPF5	P12004
Q96EZ8	P54132
P0CG48	Q99856
P0CG48	P00374
P0CG48	P14735
Q9UBU9	P08754
Q9UBU9	P48681
Q9UBU9	O75439
P12268	P19838
P09884	P27694
P54132	P27694
P54132	Q9Y2M0
P12004	Q9Y2M0
Q92922	P50402
P06241	P12931
P06241	Q9Y3Q4
P06241	P62873
P52701	Q9Y5B9
P29692	P19838
Q9H0A8	P19838
Q9H0A8	Q04206
P50402	P12931
P50402	Q96GX1
P20585	P27694
Q5VSY0	P48681
Q5VSY0	P00374
Q5VSY0	Q99608
Q9Y5B9	Q96QD9
P19838	Q13509
P19838	P08670
