source	target
O60760	Q96GS6
O75533	Q9UMS4
Q16827	Q9Y2G8
Q16827	P22681
P0CG48	Q93009
P0CG48	P62879
P0CG48	P14735
P0CG48	P10321
P0CG48	Q71U36
Q8WUI4	Q13137
Q8WUI4	Q9UQL6
O14981	Q15717
Q9Y3Q4	Q9P1Z3
Q9Y3Q4	P06241
Q969G3	P51532
Q969G3	P0C7W6
O75928	P63165
P30281	P12004
Q13363	Q9UKL0
Q9H2P0	P51532
Q86XP3	Q9Y265
P09884	P12004
Q96GY0	P23497
P63167	Q96FJ2
P63167	P49736
P62879	O60262
Q96GM5	P51532
Q96GM5	Q5UIP0
P12268	P49736
O43513	Q9NVC6
O60506	P17844
P51531	Q9Y265
P67870	Q96EZ8
P67870	O60551
P78527	Q14191
Q93008	Q9Y265
P54132	Q14191
Q8TAQ2	Q9Y265
P27694	Q93009
P27694	Q15717
P27694	O14775
P27694	Q5UIP0
P27694	P08670
P07947	Q9UMS4
P07947	Q96QD9
P49427	Q04206
Q92878	P52701
Q92878	P61956
O00458	Q92769
O00458	P56524
Q9UER7	Q93009
P13010	Q14191
O00327	Q9UKL0
Q96GS6	Q8ND90
P37198	P49736
Q8N5R6	Q8ND90
O60437	Q93009
P20585	P12004
Q9Y2G8	Q6NUS6
Q9Y2G8	Q13509
Q9Y2G8	P10321
Q9Y2G8	Q71U36
Q9Y2G8	Q96GX1
O60262	Q13368
O60262	O14775
O60262	Q9UHK0
O60262	Q96QD9
O60262	P08754
O60262	P62873
O60262	Q9NPH0
Q9P1Z3	Q15717
P62136	Q9Y265
P62136	P12004
P55209	Q09028
Q9UK22	P51965
P43246	P12004
P19838	Q9Y265
P19838	Q96IJ6
P19838	P18859
Q8IUQ4	P49736
P56545	Q9UKL0
P17028	Q9Y5A6
P17028	Q5UIP0
Q96ST3	P51532
P06241	P22681
P06241	P12956
P06241	P62873
P06241	P30419
Q14203	Q9UBU9
Q14203	Q15393
P29692	Q07021
P29692	P49736
Q9Y5B9	Q14191
Q5VSY0	P48681
Q5VSY0	Q99608
O95153	Q7L4P6
Q15393	Q93009
Q15393	Q13368
Q15393	Q13509
Q9UBU9	Q8IYN2
Q9UBU9	Q8N8U2
Q9UBU9	O75439
Q9UBU9	P30419
Q9UBU9	P08754
Q9UBU9	P48681
P51610	Q09028
Q8WYH8	P49736
Q8WYH8	P54257
Q14676	Q14191
Q8NHQ1	P50402
O60551	P60022
Q13547	Q93009
P24863	Q9NVC6
P51668	P49736
P55854	P23497
P51965	Q93009
Q96B97	P22681
O76064	P12004
Q9NX70	Q9NVC6
P35659	Q92769
P35659	Q12888
Q92922	P51532
Q9ULK4	Q9NVC6
Q16666	Q93009
P12956	Q14191
P29590	Q93009
P29590	P48730
P29590	O14734
P29590	Q6NUS6
Q7L4P6	Q93009
Q04206	Q9H0A8
Q04206	Q93009
P02545	Q93009
Q12888	Q99856
Q9NVP2	Q09028
Q9NVP2	P49736
P56524	Q8ND90
Q9Y4E8	Q93009
P60022	P14735
P60022	O75439
P60022	Q5UIP0
P60022	P30419
P60022	P54257
P60022	P08670
P50402	Q9UKL0
O15379	P17844
Q9UQL6	Q93009
Q9UQL6	P62873
Q14683	Q9UMS4
P61956	Q93009
P61956	Q14191
Q9Y2M0	P12004
P28370	Q9Y265
P52701	P12004
Q9UKV0	P51532
Q96EY1	Q93009
O95602	Q9Y265
Q96EZ8	Q9Y265
P49736	P84103
Q12873	P17844
Q12873	Q13426
Q07021	Q96GX1
Q07021	Q9NPH0
Q07021	Q96QD9
P84103	Q96SB4
P23497	Q99856
Q96SB4	P17844
O60264	Q9Y265
P63165	Q14191
P63165	Q99856
Q13137	Q99608
Q9UKL0	P51532
O60519	Q15717
P51532	Q9NVC6
Q9UMS4	P17844
Q13426	Q93009
Q8ND90	Q96G25
Q9Y265	Q9UHK0
Q96G25	Q9NVC6
