source	target
P20585	P27694
P07947	Q9UMS4
P07947	Q96QD9
P06241	Q96B97
P06241	Q9Y3Q4
P06241	P62873
Q13547	Q92769
Q13547	Q13976
Q9UKL0	Q92769
Q9NPH0	O60262
Q9NPH0	Q07021
Q9Y5B9	Q14203
Q9Y5B9	P67870
Q16666	Q93009
P43246	P27694
P43246	P13010
Q9P1Z3	Q15717
Q9P1Z3	Q9Y3Q4
Q8N5L8	Q5VSY0
Q8N5L8	Q8ND90
O00458	Q92769
Q12888	O76064
P50402	P49736
P50402	Q96GX1
P51610	Q92769
P12931	Q96B97
P12931	P18206
Q9Y4E8	Q93009
Q15717	O60519
Q15717	Q92769
Q15717	Q99856
P52701	P13010
Q9H0A8	Q04206
Q14191	Q14676
Q8WUI4	Q92769
Q96ST3	Q92769
Q8N5R6	Q8WYH8
Q9NVP2	P49736
P02545	Q93009
O75928	Q8IUQ4
O75928	O15379
O75928	P78347
Q13137	P0CG48
O95602	Q9Y265
Q9Y2G8	Q6NUS6
Q9Y2G8	P10321
Q9Y2G8	Q96GX1
Q9Y2G8	Q16827
Q9Y2G8	Q13509
Q9Y2G8	Q71U36
Q93008	Q9Y265
P51965	Q93009
O43513	Q9NVC6
Q9UKV0	O15379
P29590	Q92769
P29590	P48730
P29590	O14734
P29590	Q6NUS6
P78527	Q9Y265
P84103	O60506
P84103	P49736
Q15393	Q93009
Q15393	Q14203
Q15393	Q13368
O60262	Q9UHK0
O60262	O14775
O60262	P62873
O60262	P62879
O60262	P08754
O60262	Q13368
O60262	Q96QD9
Q9ULK4	Q9NVC6
P54132	O76064
P54132	Q9Y2M0
P62136	Q14203
P17028	Q9Y5A6
Q8IYN2	Q9UBU9
P29692	P49736
P51532	Q92769
Q8NHQ1	Q969G3
Q96EY1	Q93009
Q96IJ6	P19838
Q969G3	Q92769
Q6NUS6	Q07021
P12004	P09884
Q92922	P51531
P28370	Q9Y265
P12268	P49736
O95153	Q7L4P6
Q5VSY0	Q13976
Q5VSY0	P18206
Q5VSY0	O14964
Q96GY0	Q14203
Q96G25	Q9NVC6
P12956	P49736
Q12873	Q92769
P19838	P18859
P19838	Q92769
P55854	Q9UBU9
Q9NPF5	Q9Y265
Q8TAQ2	Q92769
Q07021	P49736
P56524	Q9UQL6
P56524	Q09028
Q96FJ2	P49736
Q96FJ2	Q8IYA8
Q8ND90	Q9UER7
Q8ND90	Q96GS6
Q8IYA8	P63167
O75533	P49736
Q8WYH8	P49736
Q96GM5	P51531
Q14683	P09884
P51668	O76064
P51668	Q9UK22
Q86XP3	Q9Y265
Q86XP3	O60506
Q13363	Q92769
Q13363	P30281
P22681	Q96B97
P22681	P0CG48
P22681	Q16827
O60264	Q92769
Q7L4P6	Q93009
Q92878	O76064
Q99856	P0CG48
P37198	P49736
Q9UER7	Q9H2P0
Q9UER7	Q92769
P35659	Q92769
Q9NX70	Q9NVC6
P63165	P0CG48
P61956	Q92769
P56545	Q92769
P24863	Q9NVC6
P24863	P49736
Q8N8U2	Q9UBU9
P13010	P09884
Q96SB4	P17844
P78347	Q92769
P17844	Q92769
P49427	P67870
P49427	Q04206
P55209	Q14203
Q09028	Q92769
Q96GS6	O60760
P0CG48	Q9Y2M0
P0CG48	P10321
P0CG48	P62879
P0CG48	O14964
O00327	P67870
Q96EZ8	Q9Y265
Q96EZ8	P67870
Q96B97	Q9UBU9
Q14676	O76064
Q9UBU9	Q92769
Q9UBU9	P08754
Q9UMS4	O76064
Q04206	Q92769
Q04206	Q71U36
P49736	P09884
P49736	O14775
P49736	Q13509
P49736	Q13368
Q9Y265	Q9UHK0
P51531	Q92769
