source	target
Q09028	P55209
Q96EZ8	P67870
Q9Y5A6	P17028
Q99856	P63165
P12268	P49736
Q9H2P0	P50402
P29590	P67870
P29590	P48730
P29590	O14734
Q14676	P50402
Q14683	P49736
Q8WYH8	P49736
Q9Y2M0	P12004
Q9UKV0	P56524
P61956	P67870
Q96GY0	Q14203
Q8TAQ2	Q12873
P62879	O60262
P62879	P0CG48
P29692	P07947
P29692	Q13509
P02545	P12004
P12931	P22681
P20585	P12004
O60264	Q12873
Q92878	Q9UER7
P35659	Q9UER7
Q9Y4E8	P49736
P17844	P49736
P49427	P67870
Q13547	P12004
Q13547	Q13976
Q9ULK4	Q96G25
Q9Y5B9	P67870
Q9NX70	Q96G25
Q9NX70	P84103
Q15717	Q9P1Z3
Q15717	O60519
Q15717	P07947
Q15717	Q96B97
P52701	P12004
P19838	Q12873
P19838	Q96IJ6
P19838	P18859
Q15393	O60506
P51965	Q9UK22
P51965	O76064
Q8WUI4	P56524
P55854	P07947
P55854	Q16665
O15379	Q12873
Q6NUS6	Q9Y2G8
Q6NUS6	Q9UBU9
Q92922	Q96ST3
Q8N8U2	Q9UBU9
Q9NVC6	Q96G25
Q96EY1	Q04206
Q96FJ2	P49736
Q8IUQ4	P49736
Q8IYN2	Q9UBU9
P28370	Q9Y265
P28370	P51532
P0CG48	P12004
P0CG48	Q71U36
P0CG48	P10321
Q9P1Z3	Q9Y3Q4
P56545	P12956
Q9NPF5	P12004
Q9NVP2	P49736
Q92769	Q12873
P51610	Q96ST3
Q93009	Q9UER7
Q93009	P27694
Q93009	Q7L4P6
P30281	P12004
P51531	Q12873
P37198	P49736
O00327	P67870
P78527	P12004
Q04206	Q9H0A8
Q04206	P12004
Q16666	P67870
Q16666	Q96SB4
Q8N5R6	Q13137
Q8N5R6	P50402
Q7L4P6	O95153
P54132	P27694
Q96GS6	O60760
Q96GS6	Q8ND90
P51668	P49736
P51668	Q9UK22
Q969G3	Q96ST3
Q969G3	Q9UBU9
O76064	P12004
Q8NHQ1	P50402
P13010	P12004
O00458	P56524
P51532	Q96ST3
P63167	P49736
P63167	Q8IYA8
Q96GM5	Q13137
P78347	P12956
Q12888	P56524
P43246	P12004
P63165	P12004
P63165	O75928
P09884	P12004
P24863	P49736
Q96B97	Q9UBU9
Q96B97	P22681
Q96B97	O14964
Q9Y265	Q9UHK0
Q9Y265	Q13509
P62136	P12004
P62136	Q71U36
Q14191	P12004
Q93008	P49736
P06241	P07947
P06241	Q9Y3Q4
P06241	P62873
Q9UQL6	P12004
Q07021	P49736
Q07021	Q9NPH0
Q9Y2G8	Q71U36
Q9Y2G8	Q16827
Q9Y2G8	Q13509
Q9Y2G8	P10321
Q9Y2G8	Q96GX1
P27694	P12004
Q5VSY0	Q13976
Q5VSY0	O14964
Q5VSY0	P51116
Q5VSY0	Q16665
O75533	P07947
Q9UKL0	P50402
Q9UKL0	Q13363
O75928	Q13363
Q14203	P55209
Q13363	Q12873
O95602	Q9UBU9
Q9UMS4	P07947
O43513	Q96G25
Q8ND90	P56524
Q8ND90	Q96G25
P50402	Q96GX1
P22681	P07947
P22681	Q16827
P12956	P12004
P84103	P07947
P84103	Q96SB4
Q9UBU9	Q86XP3
Q9UBU9	P08754
Q9UBU9	Q96QD9
Q9UBU9	O14964
O60506	Q86XP3
O60506	P49736
O60262	Q9NPH0
O60262	P08754
O60262	Q96QD9
O60262	O14775
O60262	Q9UHK0
O60262	P62873
O60262	Q13368
P55209	P07947
P49736	O14775
P49736	Q13368
P07947	P51116
