source	target
Q9BWF2	P12004
Q9UMS4	P07947
Q16633	Q8IUQ4
Q16633	P78347
Q9Y5B9	P61956
Q9Y5B9	Q7L2Z9
Q9Y5B9	Q15717
Q8ND90	Q8N5R6
Q8ND90	Q96G25
Q8ND90	Q96GS6
Q8NHQ1	Q969G3
Q8NFQ8	Q8TF71
Q8NFQ8	P0CG48
Q9Y5A6	P38398
Q9Y5A6	P17028
P09884	P12004
P62873	O60262
P62873	P56524
P60022	Q5UIP0
P60022	O60551
P60022	P08670
P60022	P30419
P60022	P14735
P60022	O75439
P60022	Q12851
P60022	P54257
Q5UIP0	Q12873
Q04206	Q96ST3
Q04206	Q9UJW3
Q04206	P08670
Q04206	Q71U36
Q9NVV9	P07947
Q9NVV9	P05067
Q13363	Q96ST3
Q13363	Q15717
O43513	P29590
O43513	Q96G25
Q93008	Q7L190
Q93008	P0CG48
Q9ULK4	Q92878
Q9ULK4	Q15717
Q13404	P0CG48
P54132	Q92878
P54132	P61956
P56524	Q96ST3
P56524	P05067
P56524	Q15717
O75928	P61956
O75928	Q8IUQ4
P27694	O60506
Q8TF71	Q6NXE6
Q8TF71	Q9H0H5
Q8TF71	Q9NZ08
Q8TF71	Q86T26
Q9Y265	P0CG48
Q9Y265	Q13509
Q9Y265	Q9UHK0
P51531	Q96ST3
O00458	Q92769
O00458	Q13547
Q9NX70	Q96G25
Q96GY0	P23497
Q96GY0	Q15717
Q96GY0	P05067
P52701	P12004
Q8IYA8	Q96FJ2
Q8IYA8	P63167
Q9Y5F6	P05067
Q14683	Q14676
Q14683	Q9UQL6
Q8WYH8	Q969G3
Q8WYH8	P54257
Q14203	P55209
P62136	O60506
P18859	P19838
P43360	P78347
P43360	Q6NXE6
P28370	Q16666
P28370	Q92922
Q96GS6	O60760
Q8TAQ2	Q96ST3
Q8TAQ2	Q15717
Q15393	O60506
Q9UER7	P0CG48
P49959	P0CG48
P49959	P30419
O60437	P0CG48
Q14191	P12004
Q14191	P61956
P78527	P07947
O75558	Q969G3
O75558	P51172
O75558	P05067
P51668	P0CG48
P51668	Q9UK22
Q96B97	P12268
Q96B97	P0CG48
Q96B97	Q9H0H5
Q96B97	Q15717
P12931	Q969G3
P12931	P05067
P35659	Q12888
Q9UJW3	O60519
Q9Y4E8	P0CG48
Q9UKL0	P61956
Q9UKL0	O00327
P38398	O60506
P51532	Q96ST3
O60519	Q15717
Q7Z7J5	Q7L190
O60262	P62879
O60262	Q13368
O60262	Q9NPH0
O60262	O14775
O60262	Q8N5S1
O60262	Q96QD9
O60262	Q9UHK0
O60262	P08754
O95153	Q7L4P6
O60264	Q96ST3
O60264	O95602
Q13426	P12956
Q13426	P17844
Q13426	Q93009
O00327	P67870
P24863	Q96G25
P24863	P49736
Q8IYN2	Q9UBU9
Q8IYN2	P05067
Q9NPF5	P12004
Q9NVC6	Q96G25
P48730	P29590
P43246	P12004
Q13547	Q96ST3
Q99856	P0CG48
Q99856	P05067
Q99856	Q15717
P56545	P0CG48
P84103	O60506
P84103	P05067
P13010	Q07021
O14734	P29590
Q8TEE9	Q96ST3
Q9UBU9	O95602
Q9UBU9	Q8N8U2
Q9UBU9	Q9NZ08
Q9UBU9	O75439
Q9UBU9	Q96QD9
Q9UBU9	P08754
P63167	Q12888
P19838	Q96IJ6
P19838	Q9H0A8
P19838	Q96ST3
P19838	Q15717
Q12873	Q96ST3
P63165	Q96ST3
P67870	Q96EZ8
P67870	O60551
O75533	P07947
Q8N6Y0	Q969G3
Q8N6Y0	Q96EZ8
Q9UKV0	Q96ST3
P78347	P0CG48
P49736	Q07021
P49736	Q13368
P49736	O14775
P49736	P05067
O76064	P0CG48
Q13137	P0CG48
P55209	P07947
Q9P1Z3	Q15717
Q9P1Z3	Q9Y3Q4
Q09028	Q96ST3
Q09028	Q15717
Q9UK22	P51965
Q9UK22	Q86T26
P30281	P12004
P30281	P05067
Q9UQL6	Q07021
Q9NVP2	P51610
Q86XP3	O60506
Q9Y2G8	Q6NUS6
Q9Y2G8	Q16827
Q9Y2G8	Q71U36
Q9Y2G8	P51172
Q9Y2G8	P10321
Q9Y2G8	Q96GX1
Q9Y2G8	Q13509
P49427	P0CG48
P06241	P07947
P06241	Q9Y3Q4
Q93009	Q7L4P6
Q93009	P0CG48
P17844	O60506
P05067	Q96SB4
P05067	Q7L4P6
P05067	Q16666
Q14676	Q7L190
P20585	P12004
P50402	Q07021
P50402	Q6NUS6
P55854	P07947
Q96EY1	P0CG48
Q96GM5	Q969G3
Q9Y2M0	P0CG48
Q9H2P0	Q8WUI4
P37198	Q969G3
P23497	P61956
Q8WUI4	O15379
Q8WUI4	Q96ST3
Q92922	Q96ST3
P22681	P07947
P22681	P0CG48
Q16666	Q96SB4
Q16666	Q07021
P12956	Q12851
P51610	Q96ST3
O14981	Q15717
P29692	Q07021
P02545	P12004
Q92769	Q15717
Q12888	Q7L190
Q969G3	P0C7W6
P61956	P08670
P0CG48	P62879
P0CG48	P10321
P0CG48	P14735
P07947	Q8N5S1
Q7L190	Q16827
Q07021	Q9NPH0
Q07021	Q96GX1
