name	rank	visiting_probability	is_seed	spd	component_id
Q9UBU9	10	0.006838442839355329	1	0.0741106719367589	0
Q13363	109	0.006149831254587308	1	0.2733333333333333	0
P78527	16	0.006144239047522725	1	0.3191489361702128	0
P55209	55	0.006016982919479865	1	0.2887323943661972	0
P12931	56	0.006048549731861751	1	0.10869565217391304	0
Q14203	7	0.006126406944244213	1	0.11160714285714286	0
Q9UQL6	97	0.00616829751135613	1	0.19811320754716982	0
Q9H2P0	117	0.006031277181428374	1	0.4791666666666667	0
Q07021	130	0.006021780517864263	1	0.17916666666666667	0
P49736	95	0.006295699070536522	1	0.11141678129298486	0
P62136	70	0.006126950084146311	1	0.15024630541871922	0
Q93009	104	0.006183004449017338	1	0.18430034129692832	0
P50402	48	0.006117663878133257	1	0.3216374269005848	0
Q8IUQ4	57	0.006131941948918516	1	0.1597222222222222	0
P37198	69	0.0060209455518531975	1	0.1958762886597938	0
P61956	131	0.0062398256366742845	1	0.2619047619047619	0
Q8NHQ1	59	0.006016795660168488	1	0.07964601769911504	0
Q8ND90	67	0.006048115442092245	1	0.09821428571428571	0
P63165	66	0.00620427806489379	1	0.20574162679425836	0
Q9UER7	47	0.006162112896695136	1	0.31333333333333335	0
P52701	12	0.006101727356509072	1	0.45348837209302323	0
P43246	26	0.006127922000624354	1	0.3435114503816794	0
P0CG48	74	0.00635819535348828	1	0.11160220994475138	0
Q12873	88	0.006089833283842575	1	0.323943661971831	0
P56545	82	0.006040888372036966	1	0.27586206896551724	0
Q13137	2	0.006044724258416741	1	0.14556962025316456	0
Q14676	107	0.006148009335853211	1	0.2742857142857143	0
Q09028	77	0.0061610980938772075	1	0.3541666666666667	0
P51668	132	0.006082909011585678	1	0.14977973568281938	0
Q96EY1	14	0.00598983228915804	1	0.25	0
Q93008	22	0.005997833982603718	1	0.19594594594594594	0
Q9UMS4	41	0.006094084857370021	1	0.2857142857142857	0
Q96B97	114	0.006026543473841263	1	0.11442786069651742	0
Q9Y4E8	91	0.006009135279177356	1	0.15337423312883436	0
P22681	64	0.006019599698326392	1	0.1282051282051282	0
Q12888	62	0.0061767451833319624	1	0.362962962962963	0
Q99856	92	0.006024148493047636	1	0.42857142857142855	0
P49427	122	0.005997298448172172	1	0.29310344827586204	0
P55854	115	0.006074447822855436	1	0.21739130434782608	0
Q04206	102	0.006202014122204037	1	0.18037135278514588	0
Q9Y2M0	65	0.006001983604055111	1	0.17777777777777778	0
P12004	9	0.006238215639374042	1	0.2391304347826087	0
P27694	113	0.006284497311241411	1	0.17889908256880735	0
P51610	40	0.006072495913290504	1	0.3211009174311927	0
P17844	110	0.006053179066459959	1	0.2803347280334728	0
P67870	54	0.006103723853470897	1	0.15648854961832062	0
Q92922	3	0.006108978683405024	1	0.4576271186440678	0
Q96GM5	23	0.006069682197389629	1	0.31	0
Q8TAQ2	17	0.006173478857901271	1	0.45588235294117646	0
P63167	68	0.006115172923296219	1	0.0945273631840796	0
Q8IYN2	134	0.0059720402731573315	1	1.0	0
P12268	87	0.006000717018984157	1	0.2828282828282828	0
Q92878	93	0.006084833651483488	1	0.45161290322580644	0
