Sample	drugstone_link	link_raw
Replication_and_Transcription.amygdala.diamond	<a href=https://drugst.one/?id=8a9d8187f40c4aba92e398ff566ae239>Replication_and_Transcription.amygdala.diamond</a>	https://drugst.one/?id=8a9d8187f40c4aba92e398ff566ae239
Replication_and_Transcription.amygdala.domino	<a href=https://drugst.one/?id=bb5043f43de24cfd93aa0ea49f8d036c>Replication_and_Transcription.amygdala.domino</a>	https://drugst.one/?id=bb5043f43de24cfd93aa0ea49f8d036c
Replication_and_Transcription.amygdala.no_tool	<a href=https://drugst.one/?id=8dee859d5ee44c6fa90f826a07573e02>Replication_and_Transcription.amygdala.no_tool</a>	https://drugst.one/?id=8dee859d5ee44c6fa90f826a07573e02
Replication_and_Transcription.amygdala.robust	<a href=https://drugst.one/?id=7046a79ca3644972bc7d1b18577557c5>Replication_and_Transcription.amygdala.robust</a>	https://drugst.one/?id=7046a79ca3644972bc7d1b18577557c5
Replication_and_Transcription.amygdala.robust_bias_aware	<a href=https://drugst.one/?id=024b40c3aa064a6d9f1b4c4d21542dff>Replication_and_Transcription.amygdala.robust_bias_aware</a>	https://drugst.one/?id=024b40c3aa064a6d9f1b4c4d21542dff
Replication_and_Transcription.amygdala.rwr	<a href=https://drugst.one/?id=ad0326cf70064c83872d2e6ccfd4adf3>Replication_and_Transcription.amygdala.rwr</a>	https://drugst.one/?id=ad0326cf70064c83872d2e6ccfd4adf3
Replication_and_Transcription.brain.diamond	<a href=https://drugst.one/?id=d7768dcd8e934fbfaaf860e935737fce>Replication_and_Transcription.brain.diamond</a>	https://drugst.one/?id=d7768dcd8e934fbfaaf860e935737fce
Replication_and_Transcription.brain.domino	<a href=https://drugst.one/?id=d659c00f7cfc48e48c1ee6446975e545>Replication_and_Transcription.brain.domino</a>	https://drugst.one/?id=d659c00f7cfc48e48c1ee6446975e545
Replication_and_Transcription.brain.no_tool	<a href=https://drugst.one/?id=6f9ec00c3f2843be993c0dd6614ecbcb>Replication_and_Transcription.brain.no_tool</a>	https://drugst.one/?id=6f9ec00c3f2843be993c0dd6614ecbcb
Replication_and_Transcription.brain.robust	<a href=https://drugst.one/?id=fb1c729427e043c39614324d2934d3e1>Replication_and_Transcription.brain.robust</a>	https://drugst.one/?id=fb1c729427e043c39614324d2934d3e1
