Sample	custom_content_topology-nodes	custom_content_topology-edges	custom_content_topology-seeds	custom_content_topology-diameter	custom_content_topology-components	custom_content_topology-largest_component	custom_content_topology-max_dist_to_seed	custom_content_topology-isolated_nodes
Replication_and_Transcription.amygdala.diamond	332	9223	132	5.0	7	326	1	6
Replication_and_Transcription.amygdala.domino	217	1054	70	7.0	1	217	1	0
Replication_and_Transcription.amygdala.firstneighbor	6120	161414	132	5.0	1	6120	1	0
Replication_and_Transcription.amygdala.no_tool	132	647	132	5.0	12	120	0	10
Replication_and_Transcription.amygdala.robust	160	193	132	11.0	3	158	1	2
Replication_and_Transcription.amygdala.robust_bias_aware	160	181	132	15.0	4	156	1	2
Replication_and_Transcription.amygdala.rwr	324	6486	132	6.0	1	324	1	0
Replication_and_Transcription.brain.diamond	334	9116	134	5.0	7	328	1	6
Replication_and_Transcription.brain.domino	240	851	71	8.0	1	240	1	0
Replication_and_Transcription.brain.firstneighbor	6209	164592	134	5.0	1	6209	1	0
Replication_and_Transcription.brain.no_tool	134	652	134	5.0	12	122	0	10
Replication_and_Transcription.brain.robust	162	186	134	15.0	4	158	1	2
Replication_and_Transcription.brain.robust_bias_aware	162	185	134	11.0	5	157	1	3
Replication_and_Transcription.brain.rwr	331	6619	134	6.0	1	331	1	0
Replication_and_Transcription.dorsal_root_ganglia.diamond	333	8715	133	5.0	7	327	1	6
Replication_and_Transcription.dorsal_root_ganglia.domino	242	1144	76	5.0	1	242	1	0
Replication_and_Transcription.dorsal_root_ganglia.firstneighbor	6217	169599	133	5.0	1	6217	1	0
Replication_and_Transcription.dorsal_root_ganglia.no_tool	133	643	133	5.0	13	120	0	11
Replication_and_Transcription.dorsal_root_ganglia.robust	159	179	133	15.0	4	156	1	3
Replication_and_Transcription.dorsal_root_ganglia.robust_bias_aware	159	175	133	12.0	6	153	1	4
Replication_and_Transcription.dorsal_root_ganglia.rwr	245	4102	133	6.0	1	245	1	0
Replication_and_Transcription.hypothalamus.diamond	331	9140	131	5.0	6	326	1	5
Replication_and_Transcription.hypothalamus.domino	308	1478	80	6.0	1	308	1	0
Replication_and_Transcription.hypothalamus.firstneighbor	6131	162259	131	5.0	1	6131	1	0
Replication_and_Transcription.hypothalamus.no_tool	131	647	131	5.0	11	120	0	9
Replication_and_Transcription.hypothalamus.robust	152	166	131	13.0	5	147	1	3
Replication_and_Transcription.hypothalamus.robust_bias_aware	152	167	131	16.0	5	147	1	3
Replication_and_Transcription.hypothalamus.rwr	323	6426	131	6.0	1	323	1	0
Replication_and_Transcription.salivary_gland.diamond	334	7840	134	4.0	8	327	1	7
Replication_and_Transcription.salivary_gland.domino	240	1279	68	5.0	1	240	1	0
Replication_and_Transcription.salivary_gland.firstneighbor	6185	167472	134	4.0	1	6185	1	0
Replication_and_Transcription.salivary_gland.no_tool	134	630	134	5.0	13	121	0	11
Replication_and_Transcription.salivary_gland.robust	164	186	134	16.0	4	160	1	2
Replication_and_Transcription.salivary_gland.robust_bias_aware	164	205	134	12.0	4	160	1	2
Replication_and_Transcription.salivary_gland.rwr	338	6731	134	6.0	1	338	1	0
Replication_and_Transcription.uniprot_ppi.diamond	352	10444	152	4.0	9	344	1	8
Replication_and_Transcription.uniprot_ppi.domino	324	1563	73	6.0	1	324	1	0
Replication_and_Transcription.uniprot_ppi.firstneighbor	8024	226680	152	5.0	1	8024	1	0
Replication_and_Transcription.uniprot_ppi.no_tool	152	769	152	6.0	14	139	0	13
Replication_and_Transcription.uniprot_ppi.robust	186	233	152	13.0	5	182	1	4
Replication_and_Transcription.uniprot_ppi.robust_bias_aware	186	231	152	14.0	5	182	1	4
Replication_and_Transcription.uniprot_ppi.rwr	354	7479	152	7.0	1	354	1	0
