source	target
Q15427	Q15637
Q15427	Q86VP6
Q15427	Q96RT1
P07900	Q9Y6K9
P07900	Q6P1K2
P07900	Q00987
P07900	Q9P1W9
P07900	Q7Z6Z7
P07900	Q9UBU9
P07900	Q86VP6
P07900	Q14258
P07900	P55072
P07900	Q9BYM8
P17980	P54253
P17980	Q00987
P17980	Q9UBU9
P17980	Q9Y5K5
P17980	Q9BQD3
P17980	Q7Z6Z7
Q14258	Q15427
Q14258	Q92734
Q14258	Q15007
Q14258	Q7Z6Z7
Q14258	Q86VP6
Q14258	Q9UHL9
Q14258	Q9NP66
Q14258	Q6P1K2
Q14258	Q15717
Q14258	Q9BYM8
Q14258	Q5VTB9
Q9HD26	Q9UBU9
Q86VP6	Q92734
Q86VP6	Q8WW12
Q86VP6	Q9UBU9
Q7Z6Z7	Q8WW12
Q7Z6Z7	Q9Y5K5
P55072	Q15717
P55072	Q7Z6Z7
P55072	Q14258
P55072	Q00987
P55072	Q9GZZ9
Q15006	Q8N4V1
Q15006	Q8WW12
Q15006	Q15637
Q92734	Q9Y6K9
Q92734	Q93062
Q9NX40	Q9UBU9
Q00987	Q96PU4
Q00987	Q16666
Q00987	Q14258
Q00987	Q9NYB0
Q00987	Q9P1W9
P51784	Q86VP6
P51784	Q9UBU9
P51784	Q8WW12
P51784	Q14258
Q9BYM8	Q9Y6K9
Q9BYM8	Q9Y5K5
Q15717	Q9NP66
Q15717	Q86VP6
Q15717	Q8WW12
Q15717	Q8N4V1
Q15717	Q9NX40
Q15717	Q9BQ65
Q15637	Q8WW12
Q15637	Q93062
P02545	Q8WW12
P02545	Q9UBU9
P02545	Q9Y5K5
P02545	Q15637
P02545	P05412
P02545	Q15717
P02545	P55072
P02545	Q9ULM2
P02545	Q14258
P05067	Q14258
P05067	Q8N4V1
P05067	P05412
P05067	Q9BSJ6
P05067	P07900
P05067	Q00987
P05067	Q5KU26
P05067	Q8N4H5
P05067	Q9BYM8
P05067	Q9Y5K5
P05067	Q16666
P54253	Q8WVV9
P54253	Q96PU4
P54253	Q15637
P54253	P55072
P54253	Q93062
P54253	Q9P1W9
Q5VTB9	Q9NQZ6
Q5VTB9	Q9HD26
Q16666	Q9UBU9
Q16666	Q7Z6Z7
Q16666	Q92734
Q5KU26	Q9NQZ6
Q96PU4	Q9BYM8
P05412	Q15007
P05412	Q9UBU9
P05412	Q9NYB0
P05412	Q15717
P05412	Q15637
P05412	Q9Y6K9
P05412	Q9HD26
P05412	P18031
P05412	Q15427
P05412	P07900
P05412	P17980
P05412	P55072
P05412	Q00987
P05412	P51784
P05412	Q14258
P05412	Q86VP6
P27986	Q9NQZ6
Q8WW12	Q9NYB0
Q8WW12	Q9UBU9
Q8WW12	Q96RT1
Q8WW12	Q96PU4
P18031	Q8WW12
Q8N4V1	Q8WW12
Q8N4H5	Q9NX40
Q8N4H5	Q9BQ65
Q8WVV9	Q93062
Q8N1B4	Q9BSJ6
Q86VS8	Q9NQZ6
Q86TW2	Q8N4H5
Q86TW2	Q9UBU9
Q15007	Q15717
Q15007	Q16666
Q15007	Q8N1B4
O60341	P05412
O60341	Q6P1K2
O60341	Q9NP66
O60341	Q9Y5K5
O60341	Q96JM7
O60341	P17980
O60341	O96006
Q6P1K2	Q9NQZ6
Q9NP66	Q9NQZ6
O96006	Q9Y5K5
Q9BQD3	Q9NQZ6
Q8N302	Q9UBU9
Q8N302	Q9NQZ6
Q9P1W9	Q9Y6K9
P0C7P0	Q8N4H5
Q96C55	Q9NQZ6
Q9NQZ6	Q9UHL9
Q9NQZ6	Q9ULM2
Q9NQZ6	Q9UK11
O00308	Q9UBU9
O00308	P0C7X2
O00308	Q15637
P0C7X2	Q9NQZ6
P15622	Q9NQZ6
O60504	O96006
O60504	Q9NQZ6
Q8N9W6	Q93062
Q8N9W6	Q8WVV9
Q8N9W6	Q9GZZ9
Q8N9W6	Q92734
O95273	P05412
O95273	Q9BSJ6
O95273	Q9ULM2
O95273	Q9Y5K5
O15162	Q92734
O15162	P05067
O15162	P0C7X2
O15162	Q15637
Q66K41	Q8N9W6
Q66K41	Q93062
O43251	P55072
O43251	Q14258
O43251	Q15717
O43251	P54253
O43251	Q93062
O43251	Q8N9W6
O00159	Q8WW12
O00159	P05412
O00159	Q9Y6K9
O00159	P02545
O00159	Q8N302
