source	target
Q15007	Q16666
P55072	P25786
P55072	Q15717
P55072	P08238
P55072	Q92569
P55072	P07900
P55072	O96017
P55072	Q13131
P55072	O75815
P55072	P02545
P55072	Q6IQ23
P55072	Q92934
P55072	P31942
P55072	P07602
Q15427	Q86VP6
Q15427	P45984
Q15427	Q9UBY9
Q15427	Q96RT1
Q15427	P63279
Q15427	Q9Y5L4
Q15427	Q15022
Q15427	P98175
Q15427	Q15637
Q9ULM2	Q9NQZ6
Q9ULM2	O95273
O15162	P05067
O15162	Q15637
Q16666	P05067
Q16666	P52948
Q16666	P10644
Q16666	Q02535
Q16666	P23497
Q16666	Q9UBU9
Q16666	Q9HCE1
Q16666	Q8N653
Q16666	Q00987
Q16666	Q7Z6Z7
Q16666	Q01094
P10644	O96006
Q14BN4	Q9GZV8
Q14BN4	P17980
Q6IQ23	O96006
Q9Y5L4	Q9P1W9
O00308	P0C7X2
O00308	Q15637
O00308	Q9HCN4
O00308	O95429
Q7Z6Z7	Q8WW12
Q7Z6Z7	P17980
Q9NQZ6	Q5VTB9
Q9NQZ6	O60504
Q9NQZ6	Q9BQD3
Q9NQZ6	P0C7X2
P63279	P17980
P63279	O96006
Q8N4H5	P05067
Q96PU4	Q8WW12
Q96PU4	Q9BYM8
Q9BQD3	P17980
Q9P1W9	P52948
Q9P1W9	P08238
Q9P1W9	P07900
Q9P1W9	P54253
Q9P1W9	Q9Y6K9
Q9P1W9	Q92934
Q9P1W9	Q00987
Q9P1W9	P31942
Q9Y5K5	O96006
Q9Y5K5	O95273
Q9Y5K5	Q9BYM8
P07602	O96006
P54253	P17980
Q6DKK2	Q96JM7
Q6DKK2	Q9BSJ6
Q9HCN4	O96006
Q9H8W4	Q96JM7
Q9H8W4	Q9GZV8
O60341	O96006
O60341	P17980
O96017	Q9GZV8
P23497	Q96JM7
Q02535	Q9GZV8
O95429	Q9GZV8
Q15637	Q8WW12
O95273	Q9BSJ6
Q96JM7	O75461
Q96JM7	P45984
Q96JM7	Q92569
Q96JM7	Q8N653
Q96JM7	Q01094
Q96JM7	Q13131
Q9UBY9	Q9GZV8
Q15717	Q8WW12
Q5VTB9	Q9HD26
Q8WW12	Q86VP6
Q8WW12	Q9UBU9
Q8WW12	Q9HCE1
Q8WW12	P02545
Q8WW12	Q96RT1
P98175	Q9GZV8
Q9BSJ6	P05067
O96006	O60504
O96006	Q13131
O96006	Q9Y2J4
P25786	P17980
P25786	Q9GZV8
Q9Y2J4	P17980
Q9GZV8	O75815
Q9GZV8	Q15022
P17980	O75461
P07900	Q9BYM8
Q9Y6K9	Q9BYM8
P05067	Q9BYM8
