source	target
Q9Y2W1	Q9Y383
Q9Y2W1	Q9Y3B4
Q08211	Q99459
Q08211	Q9UJV9
Q08211	Q92905
Q08211	Q9H492
Q08211	Q9H0R8
Q08211	Q92841
Q08211	Q86VP6
Q08211	Q12905
Q08211	Q14999
Q08211	Q9UKV3
Q08211	Q12906
Q08211	Q9NR30
Q08211	Q15029
Q08211	Q9UQ35
Q08211	Q86V81
Q08211	Q9Y2W1
Q08211	Q9UKM9
Q08211	Q13573
Q08211	Q13151
Q08211	Q15022
Q08211	Q6P2Q9
Q08211	Q13616
Q08211	Q16629
Q08211	Q15428
Q08211	Q9UBU9
Q08211	Q96SB4
Q08211	Q9UPE1
Q08211	Q7L2J0
Q08211	Q13148
Q08211	Q13618
Q9NR30	Q9UQ35
Q9NR30	Q9Y2W1
Q9NR30	Q9UPE1
Q9NR30	Q9NRC8
Q15022	Q15029
Q15022	Q6P2Q9
Q15022	Q15287
Q15022	Q9UKM9
Q15022	Q5SSJ5
Q15022	Q16629
Q15022	Q15427
Q15022	Q9Y383
Q15022	Q9BUQ8
Q15022	Q9UKV3
Q15022	Q9UBU9
Q15022	Q86V81
Q15022	Q15459
Q15022	Q99567
Q15022	Q9ULR0
Q15022	Q9UMS4
Q15022	Q9HCS7
Q15022	Q9Y2W1
Q15022	Q9Y3B4
Q15022	Q9NQ29
Q15022	Q15393
Q15022	Q9BUZ4
Q15022	Q9BZJ0
Q15022	Q96PK6
Q15022	Q15637
Q15022	Q96DI7
Q13247	Q9UPE1
Q13247	Q9Y383
Q13247	Q86VP6
Q13247	Q13573
Q13247	Q14103
Q13247	Q9UJV9
Q13247	Q15428
Q13247	Q86VM9
Q13247	Q15637
Q13247	Q13595
Q13247	Q96SB4
Q13247	Q15427
Q13247	Q13616
Q13247	Q8WXA9
Q13247	Q92905
Q13247	Q8IYB3
Q13247	Q14999
Q13247	Q15287
Q13247	Q16629
Q13247	Q15022
Q9UJV9	Q9Y2W1
Q9UJV9	Q9UMS4
Q9UJV9	Q9ULR0
Q9UJV9	Q9UQ35
Q9UJV9	Q9UKM9
Q9UJV9	Q9UKV3
Q9H0R8	Q9UMS4
Q9H0R8	Q9H492
Q9H0R8	Q9UBU9
Q9H0R8	Q9NR30
Q9UBU9	Q9UJV9
Q9UBU9	Q9Y2W1
Q9UBU9	Q9ULR0
Q9UBU9	Q9UMS4
Q9UBU9	Q9UKM9
Q9H492	Q9UQ35
Q9H492	Q9UHX1
Q15427	Q86V81
Q15427	Q9Y3B4
Q15427	Q15428
Q15427	Q9UPE1
Q15427	Q99459
Q15427	Q15637
Q15427	Q9UQ35
Q15427	Q86VP6
Q15427	Q86XP3
Q15427	Q92905
Q15427	Q92841
Q15427	Q8IYB3
Q15427	Q15459
Q15427	Q6P2Q9
P11940	Q8WXA9
P11940	Q9H492
P11940	Q12906
P11940	Q14999
P11940	Q86VP6
P11940	Q86VM9
P11940	P19320
P11940	P26368
P11940	Q16666
P11940	Q6P2Q9
P11940	Q14103
P11940	P38919
P11940	P78362
P11940	Q13618
P11940	Q15459
P11940	P78406
P11940	Q9UKM9
P11940	Q01081
P11940	Q9UBU9
P11940	Q13616
P11940	P63165
P11940	P19338
P11940	Q9NRC8
P11940	Q9H0R8
P11940	P60520
P11940	Q13595
P11940	Q9Y383
P11940	Q13148
P11940	Q13573
P11940	Q00839
P11940	P62318
P11940	Q9UHX1
P11940	Q92905
P11940	Q86V81
P11940	P67809
P11940	Q96SB4
P78362	P84103
P78362	Q9Y383
P78362	Q6P2Q9
P78362	Q9Y2W1
P78362	Q9NQ29
P78362	Q9UKV3
P78362	Q8WXA9
P78362	Q15287
P78362	Q9H307
P78362	Q9UKX7
P78362	Q14498
P78362	Q13247
P78362	Q9NR30
P78362	Q13618
P78362	Q9C009
P78362	Q01081
P78362	Q07955
P78362	Q9UBU9
P78362	Q8IYB3
P78362	Q05519
P78362	Q13243
P78362	Q9H0R8
P78362	Q86VM9
P78362	Q13523
P78362	Q96SB4
P78362	Q9UQ35
P78362	Q16629
P78362	Q13595
P78362	Q86VP6
P17980	Q9BUZ4
P17980	Q9H0R8
P17980	Q13573
P17980	Q9UBU9
P17980	Q9H307
P17980	Q9NRC8
P17980	Q9HCK8
P17980	P63279
P17980	Q99459
P49792	Q9C009
P49792	Q8WYP5
P49792	Q9UBU9
P49792	Q9BW27
P49792	Q8WUM0
P49792	P63279
P49792	P63165
P49792	Q8NFH3
P49792	Q99459
P49792	P57740
P49792	P60520
P49792	Q9UKM9
P49792	Q12769
P49792	P52597
P49792	Q13123
P49792	Q15029
P49792	Q14974
P49792	P62826
P49792	P55072
P49792	P61956
P49792	Q13573
P49792	Q9P0U3
P49792	Q14999
P49792	Q8IYB3
P49792	Q9NRC8
P49792	Q6P2Q9
P49792	Q15022
P49792	P52294
P49792	P52272
P49792	Q92841
P49792	Q9UKX7
P49792	Q2TAY7
P49792	Q92973
P49792	Q8NFH5
P49792	Q08211
P49792	Q96EE3
P49792	Q12905
P49792	Q13616
P49792	Q9BVL2
Q00839	Q6P2Q9
Q00839	Q07955
Q00839	Q13148
Q00839	Q08211
Q00839	Q14103
Q00839	Q9UBU9
Q00839	Q8WXA9
Q00839	Q9H0R8
Q00839	Q15029
Q00839	Q5SSJ5
Q00839	Q13618
Q00839	Q13123
Q00839	Q86VP6
Q00839	Q16666
Q00839	Q15459
Q00839	Q2TAY7
Q00839	Q13595
Q00839	Q14999
Q00839	Q86V81
Q00839	Q9UJV9
Q00839	Q86VM9
Q00839	Q12906
Q00839	Q9Y2W1
Q00839	Q13573
Q00839	Q15428
Q00839	Q9H492
Q00839	Q12905
Q00839	Q14498
Q00839	Q99459
Q00839	Q13151
Q00839	Q15287
Q00839	Q05519
Q00839	Q9UKM9
Q00839	Q16629
Q00839	Q9NR30
Q00839	Q01081
Q00839	Q92905
Q00839	Q9UQ35
Q00839	Q7L2J0
Q00839	Q13616
Q13435	Q9Y3B4
Q13435	Q15427
Q13435	Q13618
Q13435	Q6P2Q9
Q13435	Q86VP6
Q13435	Q15637
Q13435	Q9UQ35
Q13435	Q15393
Q13435	Q9UJV9
Q13435	Q9NRC8
Q13435	Q99459
Q13435	Q9Y2W1
Q13435	Q8IYB3
Q13435	Q15022
Q13435	Q9C009
Q13435	Q13573
Q13435	Q7L2J0
Q13435	Q9HCS7
Q13435	Q14999
Q13435	Q15428
Q13435	Q15287
P63279	Q12888
P63279	Q9BTX1
P63279	Q9H307
P63279	Q6P2Q9
P63279	Q08211
P63279	Q9ULR0
P63279	Q92621
P63279	Q14103
P63279	Q92905
P63279	Q00839
P63279	Q15022
P63279	Q15427
P63279	Q07955
P63279	Q96EE3
P63279	Q96SK2
P63279	Q96PK6
P63279	Q9BUZ4
P63279	Q8IY92
P63279	Q8NFH5
P63279	Q9NR30
P63279	Q8TEM1
P63279	Q9UBU9
P63279	Q86V81
P63279	Q9BW27
P63279	Q14974
P63279	Q9UHX1
P63279	Q9NRG9
P55735	Q9NRC8
P55735	Q8WYP5
P55735	P57740
P55735	Q96HA1
P55735	Q9BW27
P55735	Q8NFH3
P55735	Q12769
P55735	Q9UMS4
P55735	Q8NFH4
P55735	Q8WUM0
P55735	Q96EE3
P55735	Q16666
P55735	Q13618
P19338	Q9H0R8
P19338	Q96SB4
P19338	Q12905
P19338	Q13573
P19338	P26599
P19338	Q9UJV9
P19338	Q15061
P19338	Q13243
P19338	P63162
P19338	Q14103
P19338	Q9H492
P19338	P60520
P19338	P67809
P19338	P62314
P19338	Q86V81
P19338	Q15427
P19338	Q92905
P19338	P84103
P19338	Q14974
P19338	Q13616
P19338	Q08211
P19338	P46060
P19338	Q14498
P19338	Q8IYB3
P19338	Q13148
P19338	P26368
P19338	P78362
P19338	Q12906
P19338	Q14999
P19338	Q9UPE1
P19338	Q8WXA9
P19338	Q9NR30
P19338	P62316
P19338	Q9UBU9
P19338	Q00839
P19338	Q15022
P19338	P23246
P19338	Q01081
P19338	Q6P2Q9
P19338	Q9UHX1
P19338	Q86VM9
P19338	Q9NRC8
P19338	Q99459
P19338	Q86VP6
P19338	Q13618
P19338	P37198
Q13148	Q13573
Q13148	Q13618
Q13148	Q9NR30
Q13148	Q13151
Q13148	Q92841
Q13148	Q96SB4
Q13148	Q99459
Q13148	Q9UBU9
Q13148	Q9UMS4
Q13148	Q9UJV9
Q13148	Q16629
Q13148	Q14999
Q13148	Q9UKM9
Q13148	Q13247
Q13148	Q9Y383
Q13148	Q86VP6
Q13148	Q9H492
Q13148	Q14498
Q14999	Q9UKM9
Q14999	Q15061
Q14999	Q9NRG9
Q14999	Q2TAY7
Q14999	Q9UKV3
Q14999	Q15428
Q14999	Q9Y2W1
Q14999	Q15287
Q14999	Q9UMS4
Q14999	Q9UQ35
Q14999	Q96DI7
Q14999	Q8NFH3
Q14999	Q15393
Q14999	Q16629
Q14999	Q8NFH5
Q14999	Q9UHX1
Q14999	Q9NRC8
Q14999	Q9Y3B4
Q14999	Q15029
Q14999	Q86V81
Q14999	Q8TEM1
Q14999	Q92841
Q14999	Q99459
Q14999	Q15459
Q14999	Q9H307
Q14999	Q5SSJ5
Q14999	Q96PK6
Q14999	Q9NR30
Q14999	Q9BUQ8
Q14999	Q92621
Q14999	Q6P2Q9
Q14999	Q15637
Q14999	Q86XP3
Q14999	Q92973
Q13616	Q14498
Q13616	Q92905
Q13616	Q99459
Q13616	Q86VP6
Q13616	Q15393
Q13616	Q15287
Q13616	Q13618
Q13616	Q14103
Q13616	Q5SSJ5
Q13616	Q16629
Q13616	Q9UMS4
Q13616	Q96PK6
Q13616	Q92841
Q13616	Q86V81
Q13616	Q8WXA9
Q13616	Q15427
Q13616	Q96ME1
Q13616	Q9UBU9
Q9NQ29	Q9UPE1
Q9NQ29	Q9Y383
Q9NQ29	Q9Y2W1
Q9NQ29	Q9UQ35
Q9NQ29	Q9UKV3
Q9HD26	Q9UBU9
Q9HD26	Q9P0T4
Q86VP6	Q96SB4
Q86VP6	Q96PK6
Q86VP6	Q9Y3B4
Q86VP6	Q99459
Q86VP6	Q8IY92
Q86VP6	Q8IYB3
Q86VP6	Q8WW12
Q86VP6	Q9UHX1
Q86VP6	Q9UKM9
Q86VP6	Q9Y2W1
Q86VP6	Q9UQ35
Q86VP6	Q9UMS4
Q86VP6	Q9UBU9
Q86VP6	Q92841
Q86VP6	Q99567
Q86VP6	Q9Y383
Q86VP6	Q9UPE1
Q86VP6	Q92905
Q13618	Q96SB4
Q13618	Q99567
Q13618	Q9UHX1
Q13618	Q9H0R8
Q13618	Q15287
Q13618	Q15029
Q13618	Q14498
Q13618	Q92621
Q13618	Q86VM9
Q13618	Q15428
Q13618	Q9NR30
Q13618	Q9UBU9
Q13618	Q9UJV9
Q13618	Q5SSJ5
Q13618	Q15459
Q13618	Q8IYB3
Q13618	Q14103
Q13618	Q99459
Q13618	Q8WWY3
Q13618	Q9UKX7
Q13618	Q14974
Q13618	Q86VP6
Q13618	Q9HCS7
Q13618	Q96PK6
Q13618	Q9UKV3
Q13618	Q9UMS4
Q13618	Q92905
Q13618	Q86V81
Q13618	Q15637
Q13618	Q9Y383
Q13618	Q6ZUT1
Q13618	Q15427
Q13618	Q7L2J0
Q13618	Q2TAY7
Q13618	Q9UQ35
Q13618	Q15393
Q13618	Q92841
Q13618	Q6P2Q9
Q92905	Q96EE3
Q92905	Q9UQ35
Q92905	Q9UHX1
Q92905	Q9UMS4
Q92905	Q9Y383
Q92905	Q96SB4
Q92905	Q96ME1
Q92905	Q99459
Q92905	Q96PK6
Q92905	Q9UBU9
Q13595	Q6ZUT1
Q13595	Q9Y3B4
Q13595	Q92905
Q13595	Q86VM9
Q13595	Q9H307
Q13595	Q8IYB3
Q13595	Q15022
Q13595	Q9UJV9
Q13595	Q7L2J0
Q13595	Q9H0R8
Q13595	Q5SSJ5
Q13595	Q9H492
Q13595	Q15459
Q13595	Q13618
Q13595	Q9UBU9
Q13595	Q16629
Q13595	Q9NQ29
Q13595	Q9Y2W1
Q13595	Q15393
Q13595	Q99459
Q13595	Q9ULR0
Q13595	Q9UQ35
Q13595	Q9Y383
P38919	Q15022
P38919	P61326
P38919	Q96SB4
P38919	Q08170
P38919	Q13616
P38919	Q07955
P38919	Q96DI7
P38919	Q9H307
P38919	P84103
P38919	Q13243
P38919	Q9UBU9
P38919	Q9UNP9
P38919	Q14498
P38919	Q9HCS7
P38919	Q15459
P38919	P78362
P38919	Q13595
P38919	P62316
P38919	Q9Y2W1
P38919	Q14999
P38919	P52272
P38919	P62826
P38919	Q15287
P38919	Q6ZUT1
P38919	P43243
P38919	Q8IYB3
P38919	Q16629
P38919	Q86VM9
P38919	Q12905
P38919	Q9UKV3
P38919	Q9UMS4
P38919	Q13151
P38919	Q9BZJ0
P38919	Q9UKM9
P38919	Q15029
P38919	Q86VP6
P38919	Q13523
P38919	Q99459
P38919	Q9UQ35
P38919	Q12906
P38919	Q6P2Q9
P38919	Q00839
P38919	P62314
P38919	Q13247
P38919	P52597
P38919	Q13435
P38919	Q15393
P38919	Q13573
P38919	Q13618
P38919	P67809
P38919	P62318
P38919	Q86V81
P38919	Q9UJV9
P38919	P62995
P38919	Q92841
P61326	Q15393
P61326	P62316
P61326	Q08170
P61326	Q14498
P61326	Q00839
P61326	Q12905
P61326	Q9UMS4
P61326	Q6ZUT1
P61326	Q13247
P61326	Q96SB4
P61326	Q9H307
P61326	P62995
P61326	P78362
P61326	Q13595
P61326	Q13573
P61326	P67809
P61326	Q9Y2W1
P61326	Q9UJV9
P61326	Q92841
P61326	Q9HCS7
P61326	P62314
P61326	Q96DI7
P61326	Q9UNP9
P61326	Q13523
P61326	Q9BZJ0
P61326	Q8IYB3
P61326	P84103
P61326	Q15287
P61326	Q07955
P61326	Q16629
P61326	Q86V81
P61326	Q9UBU9
P61326	Q15029
P61326	Q13243
P61326	Q15022
P61326	Q15459
P61326	P62318
P61326	P62826
