source	target
Q9HCE1	Q8WW12
Q9HCE1	O00308
P55072	O43251
P55072	P54253
P55072	Q6IQ23
P55072	Q9GZZ9
P55072	O96017
P55072	Q92934
P55072	P61956
P55072	O75815
P55072	P08238
P55072	Q92569
P55072	P25786
P55072	P02545
P55072	P62714
P55072	P31942
P55072	Q13131
P55072	Q00987
O75815	Q9GZV8
O15162	P05067
O15162	Q92734
O15162	P0C7X2
Q8WW12	Q7Z6Z7
Q8WW12	Q96RT1
Q8WW12	Q9UBU9
Q8WW12	Q15717
Q8WW12	Q86VP6
Q8WW12	Q15637
Q8WW12	Q96PU4
Q8WW12	P02545
P0C7X2	Q9NQZ6
P0C7X2	O00308
O96017	Q9GZV8
Q15637	O00308
P07900	Q9P1W9
P07900	Q9BYM8
O43251	Q8N9W6
Q6DKK2	Q96JM7
Q6DKK2	Q9BSJ6
Q9HD26	Q5VTB9
Q9HD26	P35222
O96006	Q9Y5K5
O96006	P63279
O96006	O60504
O96006	Q6IQ23
O96006	O75928
O96006	P61956
O96006	O60341
O96006	Q9HCN4
O96006	Q13131
O96006	Q9Y2J4
O00308	O95429
O00308	P63279
O00308	Q9HCN4
O00308	Q9UBU9
Q8N4H5	P05067
P98175	Q9GZV8
P98175	Q15427
Q9NQZ6	Q5VTB9
Q9NQZ6	O60504
Q9NQZ6	Q9BQD3
Q9NQZ6	Q9ULM2
Q02535	Q9GZV8
Q02535	Q16666
Q9UBU9	Q16666
P08238	Q9P1W9
Q9UBY9	Q9GZV8
Q9UBY9	Q15427
Q9Y5K5	O95273
Q00987	P17980
Q00987	Q9P1W9
P31942	Q9P1W9
O75461	P17980
O75461	Q96JM7
Q92569	Q96JM7
Q92734	Q8N9W6
Q92734	Q16666
Q9Y5L4	Q15427
Q9Y5L4	Q9P1W9
Q15007	Q16666
Q15007	Q15717
Q9Y6K9	Q9P1W9
Q9Y6K9	Q9BYM8
Q9P1W9	P52948
Q9P1W9	P54253
Q9P1W9	Q92934
Q96RT1	Q15427
Q86VP6	Q15427
Q14BN4	Q9GZV8
Q14BN4	P17980
O95273	Q9BSJ6
O95273	O75928
O95273	Q9ULM2
Q96JM7	O60341
Q96JM7	P62714
Q96JM7	Q9H8W4
Q96JM7	Q01094
Q96JM7	P35222
P05067	Q9BYM8
P05067	Q9BSJ6
P05067	Q16666
Q8N9W6	Q9GZZ9
Q15427	Q15022
Q9GZV8	O95429
Q9GZV8	P25786
Q9GZV8	Q9H8W4
Q9GZV8	Q15022
P62714	Q16666
Q96PU4	Q9BYM8
Q01094	Q16666
Q9BQD3	P17980
P17980	Q9Y2J4
Q7Z6Z7	Q16666
P52948	Q16666
