source	target
P05067	Q8N4H5
P05067	O15162
P05067	Q9BSJ6
P05067	Q16666
P05067	Q9BYM8
Q16666	Q15007
Q16666	P52948
Q16666	Q7Z6Z7
Q16666	Q00987
Q16666	Q92734
Q9GZZ9	Q8N9W6
Q9GZZ9	P55072
Q15717	Q8WW12
Q15717	Q15007
Q15717	P55072
O96006	O60504
Q9NQZ6	Q9ULM2
Q9NQZ6	P15622
Q9NQZ6	P27986
Q9NQZ6	Q9BQD3
Q9NQZ6	Q14129
Q9NQZ6	P0C7X2
Q9NQZ6	O60504
Q9NQZ6	Q5VTB9
P02545	Q8WW12
P02545	P55072
P18031	Q8WW12
P18031	P07307
Q9BQD3	P17980
Q8N9W6	Q92734
Q8N9W6	O43251
Q15427	Q86VP6
Q15427	Q96RT1
Q15427	Q9Y5L4
Q92734	O15162
Q15637	Q8WW12
Q15637	O15162
Q9HD26	Q9UBU9
Q9HD26	Q9HCE1
Q9HD26	Q5VTB9
P54253	Q9P1W9
P54253	P55072
Q13438	P07307
Q13438	P55072
P0C7X2	O00308
P0C7X2	O15162
Q9BYM8	P07900
Q9BYM8	Q9Y6K9
Q9BYM8	Q96PU4
Q9BQ66	O15162
Q9BQ66	P15622
Q9HCE1	Q8WW12
Q9HCE1	P17980
Q9HCE1	O00308
O15162	Q9NRY6
Q96RT1	Q8WW12
P07307	Q86TM6
P07307	Q9BUN8
P07307	P62829
P07307	P81408
P07307	Q9NRD1
P07307	P11021
P27986	Q9UKT9
Q9BSJ6	O95273
O95273	Q9ULM2
Q9Y6K9	Q9P1W9
Q86VP6	Q8WW12
P31942	Q9P1W9
P31942	P55072
P55072	Q86TM6
P55072	P07900
P55072	Q9BUN8
P55072	O43251
P55072	Q7Z6Z7
P55072	P62829
P55072	P81408
P55072	Q92934
P55072	Q9NRD1
P55072	P08238
P55072	P11021
P55072	Q00987
Q9P1W9	P52948
Q9P1W9	P07900
Q9P1W9	Q00987
Q9P1W9	Q92934
Q9P1W9	P08238
Q9P1W9	Q9Y5L4
Q15006	Q8WW12
Q15006	Q9UKT9
Q9UKT9	Q14129
Q7Z6Z7	Q8WW12
Q96PU4	Q8WW12
Q8WW12	Q9UBU9
P17980	Q9UBU9
